,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,133.58,156.74,145.08,161.95,139.11,199.33,163.45,204.22,193.73,181.98,131.73,123.76,145.9,305.28,117.01,142.57,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.2,-,-,-,-,-
2,Trading Asset Securities,-,90.67,61.6,82.41,72.36,131.04,63.5,131.31,90.61,100.82,106.25,159.72,201.11,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,224.25,224.25,218.34,227.49,234.31,270.15,262.83,294.76,294.83,294.55,288.23,291.45,324.88,145.9,335.48,117.01,142.57,-,-,146.85
4,Cash Growth,-4.30%,-16.99%,-16.93%,-22.82%,-20.53%,-8.29%,-8.81%,1.13%,-9.25%,101.88%,-14.08%,149.07%,127.88%,-,-,-20.32%,-,-,-,-
5,Accounts Receivable,-,187.43,206.02,186.27,187.96,198.45,207.44,198.3,256.42,232.22,216.78,161.08,164.54,170.64,168.6,168.99,167.88,-,-,-
6,Other Receivables,-,2.34,10.41,1.38,11.07,4.54,0.02,3.87,4.42,5.8,0.87,7.95,7.03,3.47,3.74,3.1,0.03,-,-,-
7,Receivables,-,189.77,216.44,187.65,199.03,202.99,207.46,202.17,260.84,238.02,217.64,169.03,171.57,174.1,172.33,172.09,167.91,-,-,-
8,Inventory,-,50.85,52.32,59.94,60.65,61.18,62.32,61.8,53.96,65.71,46.65,43.49,37.27,49.46,33.26,32.07,27.05,-,-,-
9,Other Current Assets,-,20.07,8.76,22.49,15.9,14.33,15.86,21.52,14.86,18.95,29.62,21.98,22.58,218.32,38.88,67.96,51.58,-,-,-
10,Total Current Assets,-,484.95,495.86,497.57,509.9,548.65,548.47,580.24,624.48,617.23,582.15,525.95,556.3,587.79,579.95,389.14,389.11,-,-,-
11,"Property, Plant & Equipment",-,357.65,361.4,361.88,365.34,330.78,290.75,296.14,276.01,221.88,209.34,209.85,212.77,208.09,208.77,181.75,165.73,-,-,-
12,Long-Term Investments,-,76.92,47.76,47.76,47.76,71.76,71.76,56.76,56.76,56.76,56.76,56.76,56.76,47.76,47.76,47.76,47.76,-,-,-
13,Goodwill,-,24.37,24.37,25.43,25.43,32.92,32.92,32.92,32.92,46.31,46.31,46.31,46.31,46.31,46.31,46.31,46.31,-,-,-
14,Other Intangible Assets,-,43.22,44.84,47.22,49.61,51.37,50.77,38.01,40.04,41.59,43.23,44.75,46.35,42.19,43.31,44.58,44.86,-,-,-
15,Long-Term Deferred Tax Assets,-,22.58,19.53,17.69,16.7,13.71,12.41,9.65,10.26,5.88,4.6,4.41,3.94,5.19,5.03,4.95,4.96,-,-,-
16,Long-Term Deferred Charges,-,2.55,2.95,2.07,1.96,0.97,0.47,0.57,0.93,1.06,2.01,2.32,3.01,4.75,5.98,5.96,7.17,-,-,-
17,Other Long-Term Assets,-,2.78,27.37,26.95,27.46,24.34,72.3,49.53,42.46,27.17,54.04,54.66,22.09,6.43,6.74,7.14,5.82,-,-,-
18,Total Assets,-,1015,1024,1027,1044,1075,1080,1064,1084,1018,998.46,945,947.53,948.52,943.85,727.59,711.71,-,-,-
19,Accounts Payable,-,11.9,17.17,12.02,14.37,19.44,29,42.84,51.18,26.17,28.89,15.88,11.18,11.2,17.36,10.89,12.34,-,-,-
20,Accrued Expenses,-,11.67,12.77,16.49,17.62,9.84,8.46,14.45,21.42,9.16,15.47,8.53,13.4,7.35,11.97,9.41,14.59,-,-,-
21,Short-Term Debt,-,-,1.51,-,1.51,0.75,2.86,1.35,2.86,0.6,1.47,-,0.88,0.37,2.16,-,0.39,-,-,-
22,Current Portion of Long-Term Debt,-,5.77,2.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,-,3.84,6.05,5.82,7.36,5.82,3.2,2.97,3.98,3.32,4.54,4.7,5.21,4.44,-,-,-,-,-
24,Current Income Taxes Payable,-,3.27,0.57,1.44,0.11,1.31,0.42,5.41,7.41,12.49,2.3,1.93,0.26,0.06,0.03,2.96,1.27,-,-,-
25,Current Unearned Revenue,-,2.09,2.3,1.29,2,2.62,2.94,2.22,2.84,3.19,2.13,2.32,1.7,10.2,11.24,11.23,8.28,-,-,-
26,Other Current Liabilities,-,4.36,2.07,4.66,1.18,2.36,1.91,7.32,1.42,1.81,0.9,4.8,1.32,2.96,0.61,2.97,0.65,-,-,-
27,Total Current Liabilities,-,39.05,42.74,41.95,42.61,43.67,51.41,76.79,90.09,57.39,54.48,38.01,33.44,37.35,47.8,37.46,37.52,-,-,-
28,Long-Term Debt,-,15,15,16.25,16.25,17.5,17.5,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Leases,-,3.54,4.14,5.48,5.75,9.14,8.73,7.93,8.1,1.6,2.42,3.48,3.96,3.33,4.75,-,-,-,-,-
30,Long-Term Unearned Revenue,-,2.93,3.01,1.6,1.68,1.77,1.85,1.94,2.02,2.18,2.77,2.7,4.35,3.15,3.14,3.48,2.81,-,-,-
31,Long-Term Deferred Tax Liabilities,-,5.52,5.95,6.54,6.81,6.09,6.42,6.91,8.16,4.67,4.88,5.29,5.52,5.44,5.66,5.87,6.09,-,-,-
32,Other Long-Term Liabilities,-,0.89,0.89,3.44,3.39,3.29,4.29,4.13,4.08,3.6,3.6,4.46,3.6,3.5,3.5,3.5,3.5,-,-,-
33,Total Liabilities,-,66.93,71.73,75.25,76.48,81.45,90.19,97.7,112.45,69.44,68.15,53.94,50.87,52.77,64.84,50.32,49.92,-,-,-
34,Common Stock,-,55.86,55.86,55.86,55.86,55.86,55.86,55.58,55.58,55.58,55.58,55.58,55.58,55.58,55.58,41.68,41.68,-,-,-
35,Additional Paid-In Capital,-,732.16,732.16,735.89,735.89,735.33,734.8,725.16,725.16,724.62,723.91,717.56,717.56,717.56,717.56,536.66,536.66,-,-,-
36,Retained Earnings,-,159.76,163.25,154.56,154.03,174.98,172.39,157.45,156.16,152.3,136.96,113.35,115.68,111.09,93.28,84.73,68.35,-,-,-
37,Treasury Stock,-,-17.03,-17.03,-14.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
