,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,52.24,59.33,66.11,64.19,47.23,79.19,62.75,56.88,143.65,100.42,123.71,48.27,61.64,75.65,68.54,64.77,59.77,79.27,83.38,42.66
1,Other Revenue,-,-4.49,4.49,-,12.16,-7.93,7.93,-,8.24,-0.73,0.73,-,20.36,-2.71,2.71,-,19.85,-9.94,9.94,-
2,Revenue,52.24,54.84,70.6,64.19,59.39,71.25,70.68,56.88,151.89,99.7,124.44,48.27,81.99,72.94,71.25,64.77,79.62,69.33,93.32,42.66
3,Revenue Growth (YoY),-12.05%,-23.04%,-0.11%,12.84%,-60.90%,-28.53%,-43.20%,17.84%,85.25%,36.69%,74.65%,-25.47%,2.99%,5.20%,-23.65%,51.84%,-,-,-,-
4,Cost of Revenue,-45.36,12.18,18.83,14.35,20.93,13.7,16.44,19.49,59.89,38.57,55.77,12.37,34.55,17.35,14.76,12.16,18.25,16.2,37.06,9.54
5,Gross Profit,97.59,42.66,51.77,49.84,38.46,57.55,54.24,37.39,92,61.12,68.67,35.9,47.44,55.58,56.49,52.61,61.37,53.13,56.26,33.11
6,"Selling, General & Admin",-100.07,37.83,28.27,33.98,30.34,35.52,29.01,26.04,34.93,25.33,26.14,23.36,33.97,26.38,31.63,23.33,28,22.85,22.86,16.03
7,Research & Development,-46.85,12.65,17.8,16.4,19.43,19.04,16.89,14.44,15.95,18,10.52,19.95,14.7,21.16,19.08,13.7,23.23,14.34,18.88,17.92
8,Other Operating Expenses,272.72,-3.52,0.63,0.57,0.54,0.5,0.11,0.15,3.59,-1.06,-0.8,-0.59,7.59,-6.38,-0.19,-0.24,5.44,-2.4,-1.88,-0.47
