,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,265.15,220.79,240.61,327.21,363.91,352.7,390.74,491.71,497.89,392.03,301.26
1,Other Revenue,-0.89,0.89,-,0.99,-10.5,10.5,-,26.49,-3.7,3.7,-
2,Revenue,264.26,221.69,240.61,328.2,353.41,363.2,390.74,518.2,494.19,395.73,301.26
3,Revenue Growth (YoY),-25.23%,-38.96%,-38.42%,-36.67%,-28.49%,-8.22%,29.70%,-,-,-,-
4,Cost of Revenue,232.25,186.96,205.35,279.37,303.14,313.92,335.56,448.19,432.82,346.13,262.04
5,Gross Profit,32,34.73,35.25,48.83,50.27,49.28,55.18,70.01,61.37,49.6,39.22
6,"Selling, General & Admin",37.03,31.39,32.31,34.61,38.97,36.92,29.86,31.93,28.41,27.35,30.55
7,Research & Development,4.69,4.4,6.46,4.72,6.7,7.49,7.66,9.88,5.86,4.26,6.57
8,Other Operating Expenses,0.84,0.61,0.51,0.68,-4.07,0.3,-5.04,13.32,-10.33,-0.1,-0.39
9,Operating Expenses,43.28,37.17,40.72,39.52,41.51,44.9,34.18,52.66,23.9,32.99,37.71
10,Operating Income,-11.28,-2.44,-5.46,9.31,8.75,4.38,20.99,17.36,37.48,16.61,1.51
11,Interest Expense,-0.27,-0.1,-,-,-0.04,-0.01,-0.11,-0.11,-0.11,-0.07,-0.01
12,Interest & Investment Income,0.6,0.93,1.16,1.62,1.87,2.05,0.72,0.66,0.52,0.42,0.43
13,Other Non Operating Income (Expenses),-0.14,0.12,-0.01,-0.58,0.57,-0.73,0.34,-0.64,-0.04,-0.12,-0
14,EBT Excluding Unusual Items,-11.09,-1.48,-4.31,10.35,11.16,5.7,21.94,17.26,37.84,16.83,1.92
15,Gain (Loss) on Sale of Assets,-0,-,0,4.38,-,-,0.01,-0.06,-0,-0,-
16,Asset Writedown,0.06,-0.01,-,-0.12,0.14,-0.06,-,0.01,-0.02,-0,-
17,Other Unusual Items,-0.02,2.01,0.34,2.58,-0.42,0.42,-,14.11,-0.03,0.03,-
18,Pretax Income,-11.05,0.51,-3.97,17.19,10.88,6.06,21.95,31.32,37.79,16.86,1.92
19,Income Tax Expense,-0.54,0.87,-0.28,2.61,1.68,-0.34,3.43,3.91,5.46,0.63,0.71
20,Net Income,-10.5,-0.35,-3.69,14.58,9.2,6.4,18.52,27.41,32.33,16.23,1.21
21,Net Income to Common,-10.5,-0.35,-3.69,14.58,9.2,6.4,18.52,27.41,32.33,16.23,1.21
22,Net Income Growth,-,-,-,-46.81%,-71.55%,-60.54%,1426.90%,-,-,-,-
23,Shares Outstanding (Basic),215,85,184,143,172,161,132,118,115,128,121
24,Shares Outstanding (Diluted),215,85,184,143,172,161,132,118,115,128,121
25,Shares Change (YoY),25.20%,-47.20%,39.38%,21.38%,49.62%,25.84%,9.06%,-,-,-,-
26,EPS (Basic),-0.05,-0.00,-0.02,0.10,0.05,0.04,0.14,0.23,0.28,0.13,0.01
27,EPS (Diluted),-0.05,-0.00,-0.02,0.10,0.05,0.04,0.14,0.23,0.28,0.13,0.01
28,EPS Growth,-,-,-,-56.18%,-80.99%,-68.65%,1300.00%,-,-,-,-
29,Free Cash Flow,-35.58,-16.36,-99.12,7.79,-31.82,1.46,-59.92,13.3,2.26,11.33,-96.81
30,Free Cash Flow Per Share,-0.17,-0.19,-0.54,0.05,-0.18,0.01,-0.45,0.11,0.02,0.09,-0.80
31,Dividend Per Share,-,-,-,0.120,-,-,-,0.180,-,-,-
32,Dividend Growth,-,-,-,-33.33%,-,-,-,-,-,-,-
33,Gross Margin,12.11%,15.67%,14.65%,14.88%,14.22%,13.57%,14.12%,13.51%,12.42%,12.53%,13.02%
34,Operating Margin,-4.27%,-1.10%,-2.27%,2.84%,2.48%,1.21%,5.37%,3.35%,7.58%,4.20%,0.50%
35,Profit Margin,-3.97%,-0.16%,-1.53%,4.44%,2.60%,1.76%,4.74%,5.29%,6.54%,4.10%,0.40%
36,Free Cash Flow Margin,-13.47%,-7.38%,-41.20%,2.37%,-9.00%,0.40%,-15.34%,2.57%,0.46%,2.86%,-32.13%
37,EBITDA,-6.71,2.66,-0.9,13.87,13.23,9.51,25.47,21.83,41.34,20.98,5.37
38,EBITDA Margin,-2.54%,1.20%,-0.37%,4.23%,3.74%,2.62%,6.52%,4.21%,8.37%,5.30%,1.78%
39,D&A For EBITDA,4.57,5.1,4.57,4.57,4.48,5.13,4.48,4.48,3.86,4.37,3.86
40,EBIT,-11.28,-2.44,-5.46,9.31,8.75,4.38,20.99,17.36,37.48,16.61,1.51
41,EBIT Margin,-4.27%,-1.10%,-2.27%,2.84%,2.48%,1.21%,5.37%,3.35%,7.58%,4.20%,0.50%
42,Effective Tax Rate,-,168.53%,-,15.18%,15.44%,-,15.61%,12.49%,14.45%,3.73%,36.87%
43,Revenue as Reported,264.26,221.69,240.61,328.2,353.41,363.2,390.74,518.2,494.19,395.73,301.26
