,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,216.18,241.85,259.03,352.06,343.95,378.71,433.95,150.76,-,114.26,-
1,Cash & Short-Term Investments,216.18,241.85,259.03,352.06,343.95,378.71,433.95,150.76,-,114.26,130.83
2,Cash Growth,-37.15%,-36.14%,-40.31%,133.53%,-,231.45%,231.68%,-,-,-,-
3,Accounts Receivable,89.13,70.19,59.99,27.48,52.82,52.21,50.3,20.24,-,54.93,-
4,Other Receivables,4.21,4.13,4.32,6.32,3.31,3.52,4.93,1.5,-,2.38,-
5,Receivables,93.34,74.31,64.31,33.8,56.12,55.74,55.22,21.74,-,57.31,-
6,Inventory,146.86,145.92,155.23,148.38,160.57,147.22,165.46,169.84,-,143.1,-
7,Prepaid Expenses,-,-,-,0.92,-,2.17,-,1.92,-,-,-
8,Other Current Assets,38.19,30.24,30.82,32.53,36.26,24.39,23.78,24.25,-,20.56,-
9,Total Current Assets,494.56,492.32,509.39,567.69,596.9,608.22,678.42,368.51,-,335.23,-
10,"Property, Plant & Equipment",417.22,404.23,389.94,365.03,284.24,251.57,240.76,231.49,-,210.8,-
11,Other Intangible Assets,90.09,91.22,92.36,90.38,91.21,92.33,93.44,94.56,-,77.86,-
12,Long-Term Deferred Tax Assets,17.39,15.33,14.24,12.48,13.34,13.39,11.78,10.96,-,10.73,-
13,Long-Term Deferred Charges,1.8,1.99,2.26,2.68,3.05,2.17,1.09,1.2,-,0.95,-
14,Other Long-Term Assets,11.4,9.39,8.94,7.84,30.47,29.84,33.24,31.88,-,27.48,-
15,Total Assets,1032,1014,1017,1046,1019,997.51,1059,738.59,-,663.05,-
16,Accounts Payable,54.27,40.41,36.33,52.48,55.56,50.74,63.24,86.66,-,101.56,-
17,Accrued Expenses,15.08,19.2,11.94,24.26,16.37,20.5,10.27,19.83,-,9.66,-
18,Short-Term Debt,30.43,20.02,-,-,-,-,11.02,11.01,-,11.01,-
19,Current Portion of Long-Term Debt,10.05,10.05,9.85,9.59,-,-,-,-,-,-,-
20,Current Portion of Leases,-,-,-,0.35,0.1,0.03,-,0.24,-,-,-
21,Current Income Taxes Payable,1.96,0.27,1.26,1.17,2.86,2.01,2.6,2.17,-,3.43,-
22,Current Unearned Revenue,6.95,7.2,10.58,11.68,10.41,4.23,4.06,7.38,-,5.97,-
23,Other Current Liabilities,24.19,17.29,25.66,21.35,8.81,4.13,29.35,10.58,-,9.44,-
24,Total Current Liabilities,142.93,114.45,95.62,120.89,94.11,81.64,120.53,137.86,-,141.08,-
25,Long-Term Debt,63.08,63.08,64.91,64.91,79.25,79.25,79.16,79.27,-,60.61,-
26,Long-Term Leases,-,-,-,-,0.08,0.08,-,-,-,-,-
27,Long-Term Unearned Revenue,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,-,0.05,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,0.02,-,-,-,-,-,-
29,Total Liabilities,206.02,177.54,160.55,185.83,173.49,161,199.73,217.17,-,201.74,-
30,Common Stock,160.68,160.68,160.68,160.68,160.68,160.68,160.68,120.33,-,120.33,-
31,Additional Paid-In Capital,373.36,373.36,373.36,373.36,373.36,373.36,373.36,94.66,-,94.29,-
32,Retained Earnings,292.39,302.9,322.53,326.22,311.67,302.47,324.96,306.44,-,246.69,-
33,Shareholders' Equity,826.44,836.94,856.57,860.26,845.71,836.51,859,521.42,-,461.31,443.86
34,Total Liabilities & Equity,1032,1014,1017,1046,1019,997.51,1059,738.59,-,663.05,-
35,Total Debt,103.56,93.15,74.76,74.86,79.43,79.36,90.17,90.51,-,71.62,0.54
36,Net Cash (Debt),112.62,148.69,184.27,277.2,264.52,299.34,343.78,60.24,-,42.64,130.29
37,Net Cash Growth,-57.43%,-50.33%,-46.40%,360.14%,-,602.02%,163.85%,-,-,-,-
38,Net Cash Per Share,0.52,1.75,1.00,1.93,1.54,1.86,2.60,0.51,-,0.33,1.07
39,Filing Date Shares Outstanding,160.68,160.68,160.68,160.68,160.68,160.68,160.68,118.21,115.01,120.33,121.32
40,Total Common Shares Outstanding,160.68,160.68,160.68,160.68,160.68,160.68,160.68,118.21,115.01,120.33,121.32
41,Working Capital,351.63,377.88,413.77,446.8,502.79,526.58,557.89,230.65,-,194.14,-
42,Book Value Per Share,5.14,5.21,5.33,5.35,5.26,5.21,5.35,4.41,-,3.83,3.69
43,Tangible Book Value,736.34,745.72,764.22,769.88,754.5,744.19,765.56,426.87,-,383.45,367.73
44,Tangible Book Value Per Share,4.58,4.64,4.76,4.79,4.70,4.63,4.76,3.61,-,3.19,3.06
45,Buildings,-,145.46,-,114.11,-,117.62,-,117.62,-,115.41,-
46,Machinery,-,157.95,-,124.82,-,121.8,-,120.76,-,119.92,-
47,Construction In Progress,-,233.92,-,250.92,-,131.46,-,104.76,-,79.3,-
