,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,431.2,283.85,248.2,278.46,535.93,279.25,301.82,336.36,1033,-,-,90.57,-,71.04,71.04
1,Trading Asset Securities,20.1,-,-,-,101.39,101.02,100.64,100.27,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,451.3,283.85,248.2,278.46,637.33,380.27,402.46,436.63,1033,-,90.57,90.57,71.04,71.04,71.04
3,Cash Growth,-29.19%,-25.36%,-38.33%,-36.23%,-38.30%,-,344.38%,382.11%,1353.95%,-,27.48%,-,-,-,-
4,Accounts Receivable,692.25,674.17,605.15,625.54,660.49,682.4,600.42,667.29,582.74,-,-,488.23,-,516.54,516.54
5,Other Receivables,1.87,1.74,2.23,1.97,1.83,2.47,1.97,0.76,1.09,-,-,0.61,-,0.99,0.99
6,Receivables,694.12,675.91,607.38,627.5,662.32,684.87,602.39,668.05,583.84,-,-,488.84,-,517.53,517.53
7,Inventory,291.14,257.4,301.62,231.98,218.57,217.17,206.78,209.01,177.47,-,-,184.91,-,113.91,113.91
8,Prepaid Expenses,-,0.06,-,0.18,-,0.05,-,0.25,-,-,-,0.19,-,0.01,0.01
9,Other Current Assets,34.79,28.73,40.15,17.08,36.21,15.33,22.5,60.29,65.23,-,-,58.14,-,22,22
10,Total Current Assets,1471,1246,1197,1155,1554,1298,1234,1374,1859,-,-,822.65,-,724.5,724.5
11,"Property, Plant & Equipment",947.7,839.94,821.68,805.18,765.02,740.75,737.6,741.84,660.23,-,-,638.94,-,551.69,551.69
12,Other Intangible Assets,37.13,37.39,37.69,37.93,38.23,38.53,38.83,39.13,39.38,-,-,39.52,-,40.04,40.04
13,Long-Term Deferred Tax Assets,44.79,40.15,39.73,38.46,32.97,31.03,28.18,26.44,5.05,-,-,5.33,-,3.81,3.81
14,Long-Term Deferred Charges,0.2,0.23,0.25,0.27,0.3,0.32,0.36,0.42,0.59,-,-,0.64,-,1.12,1.12
15,Other Long-Term Assets,41.67,53.09,44.71,37.42,32.27,19.92,20.11,20.42,30.03,-,-,13.45,-,11.22,11.22
16,Total Assets,2543,2217,2141,2074,2423,2128,2059,2202,2595,-,-,1521,-,1332,1332
17,Accounts Payable,340.19,386.71,374.91,275.05,167.45,171.76,179.53,294.82,229.62,-,-,172.47,-,200.35,200.35
