,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3455,3336,3861,2068,2835,2822,2905,3080,2957,3173,-,-,-,-,-,-
1,Market Cap Growth,18.22%,18.22%,32.94%,-32.88%,-4.12%,-11.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3550,3210,3730,1982,2750,2655,2642,2405,2281,3665,-,-,-,-,-,-
3,Last Close Price,20.84,20.12,23.29,12.23,16.77,16.69,17.07,18.10,17.38,18.65,-,-,-,-,-,-
4,PE Ratio,-,-,-205.04,-,-,-,-,-,-,29.94,-,-,-,-,-,-
5,PS Ratio,2.55,2.46,2.83,1.60,2.22,2.26,2.47,2.47,2.22,2.36,-,-,-,-,-,-
6,PB Ratio,2.21,2.13,2.44,1.31,1.75,1.73,1.77,1.85,1.77,1.90,-,-,-,-,-,-
7,P/TBV Ratio,2.18,2.18,2.50,1.34,1.80,1.77,1.82,1.89,1.82,1.95,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-28.98,-,-16.65,-,-,-,-,75.58,-,-,-,-,-,-
9,P/OCF Ratio,-,-,214.90,-,-92.49,-22.81,-,-,-,40.46,-,-,-,-,-,-
10,EV/Sales Ratio,2.62,2.37,2.73,1.54,2.15,2.13,2.25,1.93,1.71,2.72,-,-,-,-,-,-
11,EV/EBITDA Ratio,122.16,112.70,98.46,92.94,-,461.00,96.76,33.48,-,19.69,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-168.62,-55.66,-,-54.61,-,-,-,25.89,-,-,-,-,-,-
13,EV/FCF Ratio,-12.28,-,-28.00,-,-16.14,-,-,-,-,87.28,-,-,-,-,-,-
14,Debt / Equity Ratio,0.35,0.35,0.10,0.07,0.07,0.34,0.13,0.08,0.09,0.21,-,0.84,0.84,0.75,0.75,0.75
15,Debt / EBITDA Ratio,18.80,32.29,2.17,1.64,-,10.12,31.36,2.98,-,2.54,-,2.44,3.24,2.05,1.62,1.62
16,Debt / FCF Ratio,-,-,-1.19,-,-0.67,-,-,-,-,8.50,-,-,-8.68,-,55.24,110.48
17,Asset Turnover,0.58,0.69,0.58,0.58,0.63,0.57,0.55,0.49,-,-,-,-,-,0.96,-,
18,Inventory Turnover,5.22,5.01,5.10,4.50,5.87,6.29,5.59,5.40,5.99,-,-,-,-,-,8.25,-
19,Quick Ratio,1.23,1.23,1.55,1.56,2.04,1.69,2.30,2.78,2.23,2.17,-,-,1.01,-,1.20,1.20
20,Current Ratio,1.58,1.58,2.01,2.18,2.61,2.02,2.80,3.42,2.77,2.50,-,-,1.43,-,1.48,1.48
21,Return on Equity (ROE),-4.37%,1.23%,-0.46%,-4.40%,-0.98%,-2.02%,-0.67%,-0.24%,-,-,19.21%,21.01%,20.66%,30.58%,-,
22,Return on Assets (ROA),-1.11%,0.13%,0.36%,-2.94%,0.01%,-1.47%,-0.21%,-3.61%,-,-,-,-,-,11.93%,-,
23,Return on Capital (ROIC),-1.37%,0.17%,0.45%,-3.38%,0.01%,-1.68%,-0.24%,-4.51%,-,-,9.68%,7.29%,10.95%,14.48%,-,
24,Return on Capital Employed (ROCE),-,-,-1.39%,-2.24%,-,-2.94%,-,-,-,7.65%,-,-,22.21%,-,15.09%,7.54%
25,Earnings Yield,-0.93%,-0.96%,-0.49%,-1.55%,-1.16%,-0.57%,0.14%,1.11%,2.38%,3.34%,-,-,-,-,-,-
26,FCF Yield,-8.37%,-8.66%,-3.45%,-8.19%,-6.01%,-9.52%,-3.65%,-3.46%,-2.05%,1.32%,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.63%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,20.11%,-,-,-,-,-,-,40.99%,40.23%,21.02%,21.45%,21.45%,15.92%,15.92%
29,Buyback Yield / Dilution,1.31%,15.74%,2.02%,0.34%,-12.50%,-28.60%,-32.92%,-33.55%,-32.25%,0.12%,-0.62%,-0.58%,-,-,-,-
30,Total Shareholder Return,1.31%,15.74%,2.02%,0.34%,-12.50%,-28.60%,-32.92%,-33.55%,-31.61%,0.12%,-0.62%,-0.58%,-,-,-,-
