,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,368.88,353.39,307.55,292.66,371,286.54,295.39,273.01,299.02,358.93,382.96,304.08,328.93,318.6,318.6
1,Other Revenue,-20.97,20.97,-,31.15,-12.32,12.32,-,20.79,-11.73,11.73,-,0.84,-0.4,0.2,0.2
2,Revenue,347.9,374.37,307.55,323.81,358.68,298.86,295.39,293.8,287.29,370.66,382.96,304.93,328.53,318.8,318.8
3,Revenue Growth (YoY),-3.00%,25.26%,4.12%,10.21%,24.85%,-19.37%,-22.87%,-3.65%,-12.55%,16.27%,20.13%,-,-,-,-
4,Cost of Revenue,343.63,356.42,300.01,330.4,342.71,296,280.85,289.34,264.62,323.25,315.46,251.06,252.12,235.07,235.07
5,Gross Profit,4.28,17.95,7.54,-6.59,15.97,2.87,14.54,4.46,22.67,47.41,67.49,53.87,76.41,83.73,83.73
6,"Selling, General & Admin",6.77,6.36,5.83,8.81,5.98,4.99,5,8.33,4.33,5.03,4.5,6.12,11.16,7.26,7.26
7,Research & Development,9.11,8.87,6.79,9.99,8.4,8.75,8.81,12.05,6.87,10.32,11.43,10.46,12.27,8.68,8.68
8,Other Operating Expenses,-1.66,-2,-8.88,1.16,0.15,0.9,0.7,14.51,-6.26,-1.33,-0.86,2.83,-0.51,2.05,2.05
9,Operating Expenses,14.86,16.78,4.48,19.86,15.88,15.18,16.31,39.11,-2.1,14.78,18.02,19.22,28.33,20.12,20.12
10,Operating Income,-10.58,1.17,3.06,-26.45,0.09,-12.31,-1.76,-34.65,24.77,32.63,49.47,34.65,48.08,63.61,63.61
11,Interest Expense,-3.76,-3.02,-3.36,-3.06,-4.45,-2.56,-3.42,-4.08,-7.98,-10.16,-9.35,-8.71,-7.46,-8.4,-8.4
12,Interest & Investment Income,1.16,1.12,1.51,3.76,2.07,1.55,1.68,1.96,0.06,0.03,0.12,0.16,0.17,0.11,0.11
13,Currency Exchange Gain (Loss),-1.11,1.11,-,-0.36,-0.49,0.49,-,0.97,-0.41,0.41,-,-0.17,0.09,-0.05,-0.05
14,Other Non Operating Income (Expenses),0.33,-0.27,-,-0.5,0.06,-0.15,-0.02,-0.51,0.09,-0.05,-0.02,-0.57,-0.1,-0.05,-0.05
15,EBT Excluding Unusual Items,-13.95,0.11,1.2,-26.61,-2.71,-12.98,-3.53,-36.31,16.53,22.86,40.22,25.36,40.78,55.22,55.22
16,Gain (Loss) on Sale of Investments,0.1,-,-,-1.39,0.38,0.37,0.37,0.27,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.03,-,0.03,0.47,-,-,-,-,-,-,-,0.8,-,-,-
18,Asset Writedown,-8.37,5.01,-5.01,3.55,-3.72,1.43,-1.44,2.39,-2.39,2.06,-2.06,1.97,-2.54,0.27,0.27
19,Other Unusual Items,0.48,-0.96,0.48,0.13,-0.01,0.01,-,18.19,0.44,-0.44,-,9.95,-0.16,0.08,0.08
20,Pretax Income,-21.77,4.17,-3.3,-23.86,-6.05,-11.17,-4.6,-15.46,14.58,24.48,38.16,38.08,38.08,55.57,55.57
21,Income Tax Expense,-4.55,-0.68,-1.48,-6,-2.06,-2.84,-1.82,-14.47,-1.72,2.77,4.84,3.41,5.71,7.67,7.67
22,Net Income,-17.22,4.84,-1.82,-17.86,-3.99,-8.32,-2.78,-0.99,16.29,21.7,33.32,34.67,32.37,47.9,47.9
23,Net Income to Common,-17.22,4.84,-1.82,-17.86,-3.99,-8.32,-2.78,-0.99,16.29,21.7,33.32,34.67,32.37,47.9,47.9
24,Net Income Growth,-,-,-,-,-,-,-,-,-49.66%,-54.69%,-30.44%,-,-,-,-
25,Shares Outstanding (Basic),139,165,169,191,165,169,169,170,128,127,127,128,129,126,126
26,Shares Outstanding (Diluted),139,165,169,191,165,169,169,170,128,127,127,128,129,126,126
27,Shares Change (YoY),-15.74%,-2.02%,-0.34%,12.50%,28.60%,32.92%,33.55%,32.25%,-0.12%,0.62%,0.58%,-,-,-,-
28,EPS (Basic),-0.12,0.03,-0.01,-0.09,-0.02,-0.05,-0.02,-0.01,0.13,0.17,0.26,0.27,0.25,0.38,0.38
29,EPS (Diluted),-0.12,0.03,-0.01,-0.09,-0.02,-0.05,-0.02,-0.01,0.13,0.17,0.26,0.27,0.25,0.38,0.38
30,EPS Growth,-,-,-,-,-,-,-,-,-49.60%,-54.97%,-30.84%,-,-,-,-
31,Free Cash Flow,-217.29,3.55,-85.78,10.48,-61.5,-32.44,-86.87,-87.86,101.04,-32.97,-40.86,14.77,-90.62,4.27,4.27
32,Free Cash Flow Per Share,-1.56,0.02,-0.51,0.05,-0.37,-0.19,-0.51,-0.52,0.79,-0.26,-0.32,0.12,-0.70,0.03,0.03
33,Dividend Per Share,-,-,-,-,-,-,-,0.110,-,-,-,-,-,-,-
34,Gross Margin,1.23%,4.79%,2.45%,-2.04%,4.45%,0.96%,4.92%,1.52%,7.89%,12.79%,17.62%,17.67%,23.26%,26.26%,26.26%
35,Operating Margin,-3.04%,0.31%,1.00%,-8.17%,0.03%,-4.12%,-0.60%,-11.79%,8.62%,8.80%,12.92%,11.36%,14.63%,19.95%,19.95%
36,Profit Margin,-4.95%,1.29%,-0.59%,-5.52%,-1.11%,-2.79%,-0.94%,-0.34%,5.67%,5.86%,8.70%,11.37%,9.85%,15.03%,15.03%
37,Free Cash Flow Margin,-62.46%,0.95%,-27.89%,3.24%,-17.15%,-10.86%,-29.41%,-29.90%,35.17%,-8.89%,-10.67%,4.84%,-27.58%,1.34%,1.34%
38,EBITDA,4.23,18.02,17.87,-11.64,13.63,1.46,11.78,-21.11,35.18,45.97,59.88,45.06,57.42,72.94,72.94
39,EBITDA Margin,1.22%,4.81%,5.81%,-3.59%,3.80%,0.49%,3.99%,-7.18%,12.25%,12.40%,15.64%,14.78%,17.48%,22.88%,22.88%
40,D&A For EBITDA,14.81,16.84,14.81,14.81,13.54,13.77,13.54,13.54,10.41,13.34,10.41,10.41,9.34,9.34,9.34
41,EBIT,-10.58,1.17,3.06,-26.45,0.09,-12.31,-1.76,-34.65,24.77,32.63,49.47,34.65,48.08,63.61,63.61
42,EBIT Margin,-3.04%,0.31%,1.00%,-8.17%,0.03%,-4.12%,-0.60%,-11.79%,8.62%,8.80%,12.92%,11.36%,14.63%,19.95%,19.95%
43,Effective Tax Rate,-,-,-,-,-,-,-,-,-,11.33%,12.69%,8.94%,14.99%,13.80%,13.80%
44,Revenue as Reported,347.9,374.37,307.55,323.81,358.68,298.86,295.39,293.8,287.29,370.66,382.96,304.93,328.53,318.8,318.8
