,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,64624,32686,39025,29731,36165,18833,27780,51189,29908,29200,-
1,Market Cap Growth,9.94%,9.94%,7.91%,57.87%,30.19%,-63.21%,-7.12%,75.30%,-,-,-
2,Enterprise Value,64899,33149,36448,29167,35165,16784,24591,48418,26464,29594,-
3,Last Close Price,72.00,37.75,46.40,35.35,43.00,23.05,34.00,62.65,38.00,37.10,-
4,PE Ratio,-,-,-,13.85,-,-,-,-,-,-,-
5,Forward PE,-,-,88.22,18.81,-,-,-,-,-,-,-
6,PS Ratio,30.08,16.23,7.83,6.32,38.19,61.80,100.31,330.97,-,-,-
7,PB Ratio,11.10,5.92,7.84,5.45,12.56,6.04,6.90,10.36,7.30,6.69,-
8,P/TBV Ratio,5.83,5.83,7.56,5.33,12.18,6.18,7.16,11.03,7.91,7.36,-
9,P/FCF Ratio,-,-,-,19.87,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,12.44,-,-,-,-,-,-,-
11,EV/Sales Ratio,32.23,16.46,7.31,6.20,37.13,55.07,88.79,313.06,-,-,-
12,EV/EBITDA Ratio,-,-,-,16.44,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,17.64,-,-,-,-,-,-,-
14,EV/FCF Ratio,-44.23,-,-,19.50,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.65,0.65,0.66,0.50,0.74,0.50,0.26,0.11,0.06,0.07,6.11
16,Debt / FCF Ratio,-,-,-,1.84,-,-,-,-,-,-,-
17,Return on Capital Employed (ROCE),-,-,-,18.95%,-,-,-,-,-,-,-
18,Earnings Yield,-1.22%,-2.42%,5.73%,7.22%,-3.65%,-7.96%,-4.75%,-2.18%,-4.67%,-3.37%,-
19,FCF Yield,-2.27%,-4.49%,4.94%,5.03%,-6.30%,-12.11%,-7.57%,-3.13%,-4.22%,-2.10%,-
20,Buyback Yield / Dilution,-0.55%,-0.86%,-0.26%,-2.88%,-2.32%,0.10%,-3.57%,-73.72%,-283.18%,-558485.00%,-
21,Total Shareholder Return,-0.55%,-0.86%,-0.26%,-2.88%,-2.32%,0.10%,-3.57%,-73.72%,-283.18%,-558485.00%,-
