,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1025,849.39,3677,674.52,163.14,97.03,128.6,-,-,70.88
1,Revenue Growth (YoY),-72.13%,25.93%,2153.88%,595.20%,26.85%,-,-,-,-,-
2,Cost of Revenue,87.15,58.9,78.61,74.63,28.48,31.59,-1.38,1.9,-,-
3,Gross Profit,937.6,790.49,3598,599.89,134.65,65.43,129.98,-1.9,-,70.88
4,"Selling, General & Admin",615.63,547.89,542.59,509.43,242.24,350.14,72.52,153.51,99.52,41.82
5,Research & Development,594.39,679.35,574.67,727.71,595.38,559.44,563.52,527.88,240.71,185.17
6,Other Operating Expenses,109.95,117.15,160.04,153.27,44.07,13.63,0.21,0.01,0.1,-0.26
7,Operating Expenses,1320,1344,1277,1390,881.7,923.21,636.25,681.4,340.33,226.73
8,Operating Income,-382.38,-553.9,2321,-790.52,-747.05,-857.78,-506.27,-683.3,-340.33,-155.85
9,Interest Expense,-46.16,-48.58,-38.41,-27.46,-15.83,-6.74,-3.61,-1.52,-6.47,-4.17
10,Interest & Investment Income,102.24,88.83,78.86,19.03,8.49,10.63,12.13,30.83,10.7,2.26
11,Earnings From Equity Investments,-32.62,-18.6,-173.12,-,-,-,-,-,-,-
12,Currency Exchange Gain (Loss),27.13,-59.78,195.66,4.25,-4.25,-0.52,5.68,10.94,1.58,-0.59
13,Other Non Operating Income (Expenses),74.57,56.31,94.3,63.67,67.43,44.26,44.1,41.88,27.59,25.12
14,EBT Excluding Unusual Items,-257.22,-535.72,2478,-731.04,-691.21,-810.15,-447.98,-601.16,-306.93,-133.22
15,Gain (Loss) on Sale of Investments,7.87,-11.3,11.3,-,-,-1.81,1.81,-1.14,1.14,-0.11
16,Gain (Loss) on Sale of Assets,-,-,-,0.73,-0.73,-,-,-,-,-
17,Other Unusual Items,-,-,-,-0.02,0.05,0,-,0.06,-412.55,-97.38
18,Pretax Income,-249.35,-547.02,2490,-730.33,-691.88,-811.96,-446.16,-602.24,-718.34,-230.71
19,Income Tax Expense,-,0.17,-,-,-,-,-,-,-,-
20,Earnings From Continuing Operations,-249.35,-547.19,2490,-730.33,-691.88,-811.96,-446.16,-602.24,-718.34,-230.71
21,Minority Interest in Earnings,10.76,50.45,35.5,192.37,61.45,161.93,21.26,97.98,45.55,6.23
22,Net Income,-238.59,-496.75,2525,-537.96,-630.43,-650.03,-424.9,-504.26,-672.79,-224.48
23,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-140.68,-53.62
24,Net Income to Common,-238.59,-496.75,2525,-537.96,-630.43,-650.03,-424.9,-504.26,-532.12,-170.86
25,Shares Outstanding (Basic),845,838,838,836,814,817,815,789,469,206
26,Shares Outstanding (Diluted),845,838,838,836,814,817,815,789,469,206
27,Shares Change (YoY),0.86%,0.26%,2.88%,2.32%,-0.10%,3.57%,73.72%,283.18%,558485.00%,-
28,EPS (Basic),-0.28,-0.59,3.01,-0.64,-0.77,-0.80,-0.52,-0.64,-1.13,-0.83
29,EPS (Diluted),-0.28,-0.59,3.01,-0.65,-0.77,-0.80,-0.52,-0.64,-1.13,-0.83
30,Free Cash Flow,-591.29,-774.39,2523,-1138,-877.73,-1069,-644.62,-686.16,-375.88,-181.83
31,Free Cash Flow Per Share,-0.70,-0.92,3.01,-1.36,-1.08,-1.31,-0.79,-0.87,-0.80,-0.88
32,Operating Margin,-37.31%,-65.21%,63.12%,-117.20%,-457.93%,-884.07%,-393.68%,-,-,-219.88%
33,Profit Margin,-23.28%,-58.48%,68.67%,-79.75%,-386.45%,-669.95%,-330.41%,-,-,-241.06%
34,Free Cash Flow Margin,-57.70%,-91.17%,68.61%,-168.76%,-538.04%,-1101.50%,-501.26%,-,-,-256.54%
35,EBITDA,-304.46,-488.05,2380,-738.96,-706.89,-824.25,-492.07,-674.87,-333.14,-149.04
36,D&A For EBITDA,77.92,65.85,59.48,51.57,40.15,33.53,14.2,8.43,7.2,6.81
37,EBIT,-382.38,-553.9,2321,-790.52,-747.05,-857.78,-506.27,-683.3,-340.33,-155.85
38,Revenue as Reported,1025,849.39,3677,674.52,163.14,97.03,128.6,-,-,-
