,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,6378,9198,11731,7108,6949,3098,4338,-
1,Short-Term Investments,2868,721.35,965.27,1233,80.82,-,-,-
2,Trading Asset Securities,11473,5367,2770,732.97,929.8,957.38,1260,-
3,Cash & Short-Term Investments,20719,15286,15466,9074,7960,4056,5598,-
4,Cash Growth,33.96%,68.46%,94.31%,123.73%,42.19%,-,-,-
5,Accounts Receivable,1981,559.42,940.49,1028,1723,1345,816.4,-
6,Other Receivables,-,10.56,5.63,4.42,7.17,3.5,0.83,-
7,Receivables,1981,569.98,946.12,1033,1730,1348,817.23,-
8,Inventory,2023,1748,1825,1545,1786,1493,849.23,-
9,Prepaid Expenses,-,51.14,36.76,33.82,20.66,17.9,8.42,-
10,Restricted Cash,1254,1281,2800,1104,1822,1042,1376,-
11,Other Current Assets,475.84,340.37,1396,202.68,320.1,329.44,305.86,-
12,Total Current Assets,26453,19276,22470,12992,13638,8287,8955,-
13,"Property, Plant & Equipment",6274,4994,4601,4236,4028,3288,2383,-
14,Long-Term Investments,4339,996.57,837.96,185.13,368.6,430.91,35.77,-
15,Other Intangible Assets,450.11,441.82,449.68,445.81,446.63,436.46,419.87,-
16,Other Long-Term Assets,130.51,630.12,95.24,67.75,786.08,630.04,732.59,-
17,Total Assets,37647,26339,28453,17927,19268,13072,12526,-
18,Accounts Payable,18903,9420,9858,5914,5987,4700,2596,-
19,Accrued Expenses,2554,1621,1482,1219,1201,777.87,597.08,-
20,Short-Term Debt,1000,600,850.5,400,300,300,-,-
21,Current Portion of Long-Term Debt,237.85,473.05,416.03,423.15,468.53,430.22,340.17,-
22,Current Portion of Leases,173.35,280.57,418.77,294.82,399.18,54.38,24.56,-
23,Current Income Taxes Payable,235.35,114.37,89.42,43.65,27.85,9.39,11.91,-
24,Current Unearned Revenue,161.42,26.34,22.56,32.41,31.23,22.35,3.73,-
25,Other Current Liabilities,1709,1067,816.36,944.09,843.03,770.32,755.97,-
26,Total Current Liabilities,24975,13602,13954,9271,9257,7065,4330,-
27,Long-Term Debt,1081,924.62,863.94,1182,523.28,207.32,534.02,-
28,Long-Term Leases,214.82,187.34,197.37,418.68,518.93,312.59,16.36,-
29,Long-Term Unearned Revenue,633.67,676.16,572.1,535.33,531.48,457.55,360.93,-
30,Other Long-Term Liabilities,671.88,501.96,368.1,196.54,177.93,122.64,55.43,-
31,Total Liabilities,27576,15892,15955,11604,11009,8165,5296,-
32,Common Stock,1337,1337,1337,1143,1143,1012,1012,-
33,Additional Paid-In Capital,-,23555,23555,15983,15983,10520,10520,-
34,Retained Earnings,-16717,-16108,-13897,-11956,-9680,-7015,-4571,-
35,Comprehensive Income & Other,25451,1662,1502,1153,813.18,390.87,269.81,-
36,Shareholders' Equity,10071,10446,12498,6322,8259,4907,7230,-
37,Total Liabilities & Equity,37647,26339,28453,17927,19268,13072,12526,-
38,Total Debt,2707,2466,2747,2719,2210,1305,915.11,-
39,Net Cash (Debt),18013,12820,12720,6355,5750,2751,4683,-
40,Net Cash Growth,41.61%,101.74%,121.22%,130.98%,22.78%,-,-,-
41,Net Cash Per Share,13.47,9.59,10.72,5.56,5.33,2.72,4.13,-
42,Filing Date Shares Outstanding,1337,1337,1337,1143,1143,1143,1012,789.28
43,Total Common Shares Outstanding,1337,1337,1337,1143,1143,1012,1012,789.28
44,Working Capital,1478,5674,8516,3721,4381,1222,4625,-
45,Book Value Per Share,7.53,7.81,9.35,5.53,7.23,4.85,7.15,-
46,Tangible Book Value,9621,10004,12049,5877,7812,4471,6810,-
47,Tangible Book Value Per Share,7.20,7.48,9.01,5.14,6.84,4.42,6.73,-
48,Buildings,-,644.7,630.38,538.3,538.16,529.27,527.24,-
49,Machinery,-,3032,2897,2656,2444,1524,1227,-
50,Construction In Progress,-,1729,1287,996.94,788.01,893.88,548.85,-
51,Leasehold Improvements,-,141.07,-,95.8,-,36.08,20.29,-
