,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,64241,43518,35831,47730,52907,34510,-,-,-
1,Market Cap Growth,-8.82%,-8.82%,-32.28%,38.31%,-,-,-,-,-
2,Enterprise Value,45073,29743,21818,40863,46407,31474,-,-,-
3,Last Close Price,48.05,32.55,26.80,35.70,46.30,30.20,-,-,-
4,PS Ratio,1.88,1.27,1.69,2.59,3.73,2.46,-,-,-
5,PB Ratio,5.99,4.06,3.19,3.47,7.74,3.70,-,-,-
6,P/TBV Ratio,4.25,4.25,3.33,3.60,8.33,3.91,-,-,-
7,P/FCF Ratio,9.48,6.42,-,-192.71,-,-,-,-,-
8,P/OCF Ratio,4.83,4.83,27.85,40.06,-29.37,-,-,-,-
9,EV/Sales Ratio,1.32,0.87,1.03,2.21,3.27,2.25,-,-,-
10,EV/FCF Ratio,6.65,4.39,-,-164.98,-,-,-,-,-
11,Debt / Equity Ratio,0.27,0.27,0.24,0.22,0.43,0.27,0.27,0.13,-
12,Debt / FCF Ratio,0.42,0.42,-,-12.22,-,-,-,-,-
13,Earnings Yield,-4.67%,-6.90%,-12.45%,-9.73%,-10.09%,-16.74%,-,-,-
14,FCF Yield,10.55%,15.58%,-0.94%,-0.52%,-5.80%,-12.35%,-,-,-
15,Buyback Yield / Dilution,-14.81%,-12.70%,-17.00%,-9.99%,-12.93%,4.95%,-35.75%,-,-
16,Total Shareholder Return,-14.81%,-12.70%,-17.00%,-9.99%,-12.93%,4.95%,-35.75%,-,-
