,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,23319,8845,10934,5813,7303,5082,2255,877.02
1,Revenue Growth (YoY),113.28%,52.16%,49.71%,14.40%,223.86%,479.41%,-,-
2,Cost of Revenue,20725,8745,10511,6155,7896,6400,3186,1334
3,Gross Profit,2594,100.23,422.23,-341.76,-592.47,-1319,-930.89,-456.74
4,"Selling, General & Admin",1938,1338,1437,1216,1249,706.94,509.12,317.05
5,Research & Development,1675,1221,1097,823.16,884.24,526.41,480.94,259.08
6,Other Operating Expenses,-125.5,-41.45,-34.62,-55.07,-35.43,-45.81,-59.11,-5.2
7,Operating Expenses,3487,2518,2499,1984,2099,1188,931.28,570.93
8,Operating Income,-893.08,-2417,-2077,-2326,-2691,-2506,-1862,-1028
9,Interest Expense,-16.79,-22.74,-36.93,-35.29,-25.05,-11.97,-36.85,-24.81
10,Interest & Investment Income,136.32,211.87,139.38,89.98,85.6,57.67,48.15,35.86
11,Earnings From Equity Investments,47.52,-5.82,1.26,2.83,7.84,3.86,2.65,-2.45
12,Currency Exchange Gain (Loss),-1.65,-2.01,8.56,-26.76,-51.15,-1.24,-0.17,0.08
13,Other Non Operating Income (Expenses),-,-,0.15,-,-0.66,-,0.04,-
14,EBT Excluding Unusual Items,-727.67,-2236,-1964,-2295,-2675,-2458,-1848,-1019
15,Gain (Loss) on Sale of Investments,135.8,50.96,22.71,20.97,9.8,11.88,14.53,7.7
16,Gain (Loss) on Sale of Assets,-17.12,-26.7,1.36,-1.96,-0.11,2.22,-0.83,0.17
17,Pretax Income,-609,-2212,-1940,-2276,-2665,-2444,-1835,-1011
18,Income Tax Expense,0.06,0.02,0.03,0.05,0.05,-,-,-
19,Net Income,-609.06,-2212,-1940,-2276,-2665,-2444,-1835,-1011
20,Net Income to Common,-609.06,-2212,-1940,-2276,-2665,-2444,-1835,-1011
21,Shares Outstanding (Basic),1337,1337,1186,1143,1079,1012,1135,745
22,Shares Outstanding (Diluted),1337,1337,1186,1143,1079,1012,1135,745
23,Shares Change (YoY),12.70%,17.00%,9.99%,12.93%,-4.95%,35.75%,-,-
24,EPS (Basic),-0.46,-1.65,-1.64,-1.99,-2.47,-2.42,-1.62,-1.36
25,EPS (Diluted),-0.46,-1.65,-1.64,-1.99,-2.47,-2.42,-1.62,-1.36
26,Free Cash Flow,6838,-467.3,154.68,-379.5,-2462,-1308,-1160,-549.61
27,Free Cash Flow Per Share,5.11,-0.35,0.13,-0.33,-2.28,-1.29,-1.02,-0.74
28,Operating Margin,-3.83%,-27.33%,-18.99%,-40.01%,-36.85%,-49.32%,-82.58%,-117.18%
29,Profit Margin,-2.61%,-25.00%,-17.75%,-39.15%,-36.49%,-48.09%,-81.36%,-115.29%
30,Free Cash Flow Margin,29.32%,-5.28%,1.41%,-6.53%,-33.71%,-25.75%,-51.44%,-62.67%
31,EBITDA,-543.13,-2097,-1938,-2029,-2600,-2334,-1776,-933.94
32,D&A For EBITDA,349.94,320.76,138.74,296.95,91.27,172.03,86.45,93.72
33,EBIT,-893.08,-2417,-2077,-2326,-2691,-2506,-1862,-1028
34,Advertising Expenses,-,541.03,-,466.9,-,231.52,-,95.26
