,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,44.09,28,35.35,20.17,-
1,Trading Asset Securities,0.5,-,-,1.23,-
2,Cash & Short-Term Investments,44.59,28,35.35,21.4,-
3,Cash Growth,26.15%,30.81%,-,-,-
4,Accounts Receivable,8.19,10.22,10.18,14.54,-
5,Other Receivables,18.71,5.11,9.07,5.26,-
6,Receivables,26.9,15.33,19.25,19.8,-
7,Inventory,5.98,6.44,3.93,11.25,-
8,Prepaid Expenses,-,1.49,-,1.18,-
9,Other Current Assets,49.19,21.86,16.19,8.62,-
10,Total Current Assets,126.66,73.11,74.72,62.25,-
11,"Property, Plant & Equipment",380,339.53,269.76,169.28,-
12,Long-Term Investments,12.17,10.69,9.06,7.85,-
13,Other Intangible Assets,0.22,0.1,0.1,0.09,-
14,Long-Term Deferred Tax Assets,-,-,0.07,0.04,-
15,Other Long-Term Assets,70.66,68.62,60.95,47.74,-
16,Total Assets,589.71,492.06,414.66,287.25,-
17,Accounts Payable,14.6,15.75,13.85,21.05,-
18,Accrued Expenses,3.24,2.91,0.85,1.9,-
19,Short-Term Debt,5.44,7.04,0.02,1.45,-
20,Current Portion of Long-Term Debt,34.6,21.34,16.2,9.85,-
21,Current Portion of Leases,13.16,15.77,15.33,17.28,-
22,Current Income Taxes Payable,1.89,1.54,2.3,1.94,-
23,Current Unearned Revenue,3.19,3.03,1.66,4.4,-
24,Other Current Liabilities,48.36,4.96,9.7,3.29,-
25,Total Current Liabilities,124.46,72.34,59.9,61.16,-
26,Long-Term Debt,239.55,194.51,143.61,61.58,-
27,Long-Term Leases,35.71,50.84,47.9,55.5,-
28,Other Long-Term Liabilities,0.64,0.64,-,-,-
29,Total Liabilities,400.35,318.33,251.41,178.24,-
30,Common Stock,0.64,0.64,0.64,-,-
31,Additional Paid-In Capital,46.96,46.96,46.96,-,-
32,Retained Earnings,130.03,116.24,106.06,95.03,-
33,Comprehensive Income & Other,8.46,8.5,9.52,9.58,-
34,Total Common Equity,186.08,172.33,163.17,104.61,-
35,Minority Interest,3.28,1.4,0.08,4.4,-
36,Shareholders' Equity,189.36,173.73,163.25,109.01,-
37,Total Liabilities & Equity,589.71,492.06,414.66,287.25,-
38,Total Debt,328.45,289.5,223.06,145.66,-
39,Net Cash (Debt),-283.86,-261.5,-187.71,-124.26,-
40,Net Cash Per Share,-0.57,-0.52,-0.43,-0.33,-
41,Filing Date Shares Outstanding,500,500,500,375,375
42,Total Common Shares Outstanding,500,500,500,375,375
43,Working Capital,2.21,0.78,14.81,1.09,-
44,Book Value Per Share,0.37,0.34,0.33,0.28,-
45,Tangible Book Value,185.86,172.24,163.07,104.51,-
46,Tangible Book Value Per Share,0.37,0.34,0.33,0.28,-
47,Buildings,-,1.45,-,1.48,-
48,Machinery,-,284.63,-,98.87,-
