,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,2305,1875,1695,1540,-,-
1,Market Cap Growth,21.75%,21.75%,-,-,-,-
2,Enterprise Value,4547,3929,3167,2543,-,-
3,Last Close Price,4.61,3.75,3.15,2.87,-,-
4,PE Ratio,7.26,5.87,10.23,6.01,-,-
5,Forward PE,-,4.00,3.69,3.49,-,-
6,PS Ratio,1.06,0.86,0.84,0.72,-,-
7,PB Ratio,1.59,1.27,1.25,1.20,-,-
8,P/TBV Ratio,1.29,1.29,1.26,1.21,-,-
9,P/OCF Ratio,3.05,3.05,4.58,3.38,-,-
10,EV/Sales Ratio,2.10,1.81,1.56,1.19,-,-
11,EV/EBITDA Ratio,8.49,10.31,14.15,10.47,-,-
12,EV/EBIT Ratio,13.55,12.37,19.43,11.87,-,-
13,Debt / Equity Ratio,1.73,1.73,1.67,1.37,1.34,-
14,Debt / FCF Ratio,-,-,-,-,4.74,-
15,Return on Capital Employed (ROCE),8.74%,8.74%,4.97%,7.71%,22.14%,-
16,Earnings Yield,13.86%,17.03%,9.78%,16.63%,-,-
17,FCF Yield,-16.29%,-20.02%,-38.38%,-30.45%,-,-
18,Buyback Yield / Dilution,-23.08%,-14.29%,-33.33%,-16.67%,-,-
19,Total Shareholder Return,-19.82%,-14.29%,-33.33%,-16.67%,-,-
