,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,137.78,139.86,119.17,153.07,206.03
1,Revenue Growth (YoY),15.61%,-8.63%,-42.16%,-,-
2,Cost of Revenue,99.94,116.4,102.54,126.7,170.04
3,Gross Profit,37.84,23.47,16.64,26.38,35.99
4,"Selling, General & Admin",8.9,5.6,8.63,5.82,5.23
5,Other Operating Expenses,1.52,3.36,0.4,-0.08,0.45
6,Operating Expenses,10.41,10.21,9.03,6.64,5.67
7,Operating Income,27.42,13.26,7.61,19.74,30.31
8,Interest Expense,-8.95,-4.8,-4.59,-3.29,-3.02
9,Interest & Investment Income,0.03,0.03,0.12,0.02,0
10,Earnings From Equity Investments,0.66,1.64,1.21,4.84,5.15
11,Currency Exchange Gain (Loss),-2.59,0.18,-0.4,0.48,0.07
12,EBT Excluding Unusual Items,16.57,10.3,3.95,21.79,32.52
13,Gain (Loss) on Sale of Investments,-0.04,-0.01,0.46,-0.51,0.47
14,Gain (Loss) on Sale of Assets,16.01,-0.02,6.91,0.08,5.43
15,Legal Settlements,-0.03,-0.31,-0.25,-,-0.68
16,Other Unusual Items,-,-0.36,0.36,1.96,-
17,Pretax Income,32.86,10.96,11.42,23.31,37.73
18,Income Tax Expense,0.3,-0.2,0.56,0.61,1.51
19,Earnings From Continuing Operations,32.56,11.16,10.86,22.71,36.22
20,Minority Interest in Earnings,-1.84,-0.98,0.17,-1.05,-0.57
21,Net Income,30.72,10.18,11.03,21.66,35.65
22,Net Income to Common,30.72,10.18,11.03,21.66,35.65
23,Net Income Growth,178.57%,-52.99%,-69.07%,-,-
24,Shares Outstanding (Basic),500,500,438,375,375
25,Shares Outstanding (Diluted),500,500,438,375,375
26,Shares Change (YoY),14.29%,33.33%,16.67%,-,-
27,EPS (Basic),0.06,0.02,0.03,0.06,0.10
28,EPS (Diluted),0.06,0.02,0.03,0.06,0.10
29,EPS Growth,144.00%,-63.07%,-73.68%,-,-
30,Free Cash Flow,-41.18,-6.89,-76.39,16.56,14.14
31,Free Cash Flow Per Share,-0.08,-0.01,-0.17,0.04,0.04
32,Operating Margin,19.90%,9.48%,6.38%,12.90%,14.71%
33,Profit Margin,22.30%,7.28%,9.25%,14.15%,17.31%
34,Free Cash Flow Margin,-29.89%,-4.93%,-64.10%,10.82%,6.86%
35,EBITDA,42.35,6.45,22.2,8.79,45.27
36,D&A For EBITDA,14.92,-6.8,14.59,-10.95,14.95
37,EBIT,27.42,13.26,7.61,19.74,30.31
