,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,140.94,126.05,110.19,107.32,154.35,155.13,153.96,137.92,166.05,177.28,148.6,164.21,200.06,197.55,158.29
1,Other Revenue,-5.65,5.65,-,11.02,-6.3,6.3,-,12.83,-,-,-,14.74,-7.58,7.58,-
2,Revenue,135.29,131.7,110.19,118.33,148.05,161.43,153.96,150.75,166.05,177.28,148.6,178.95,192.48,205.14,158.29
3,Revenue Growth (YoY),-8.62%,-18.42%,-28.43%,-21.50%,-10.84%,-8.94%,3.60%,-15.76%,-13.73%,-13.58%,-6.12%,-,-,-,-
4,Cost of Revenue,108.18,107.88,89.85,106.63,114.78,128.43,120.14,122.99,130.98,140.35,116.44,147.62,155.08,166.29,126.73
5,Gross Profit,27.11,23.82,20.35,11.7,33.27,32.99,33.82,27.76,35.07,36.93,32.17,31.33,37.39,38.85,31.56
6,"Selling, General & Admin",13.39,14.04,12.56,13.03,13.28,10.6,10.15,9.44,10.8,13.3,9.65,9.33,8.01,9.13,10.32
7,Research & Development,7.35,6.32,5.26,5.33,7.34,5.84,5.93,6.93,6.63,7.31,6.14,8.54,7.75,7.05,5.75
8,Other Operating Expenses,-0.39,0.4,-1.3,1.63,0.94,1.45,0.47,1.92,0.73,0.26,0.79,1.22,0.88,1.02,0.4
9,Operating Expenses,19.94,21.96,15.82,17.77,21.56,18.38,17.5,18.65,17.02,22.16,15.84,17.09,18.03,18.8,17.05
10,Operating Income,7.17,1.85,4.52,-6.07,11.71,14.62,16.33,9.1,18.05,14.76,16.32,14.25,19.37,20.04,14.51
11,Interest Expense,-0.03,-0.05,-0.02,-0,-0.21,-0.03,-0.02,-0,-0.02,-,-0.1,-0.04,-0.02,-0.04,-
12,Interest & Investment Income,1.75,1.73,2.22,1.22,-,5.95,0.6,0.62,1.83,1.53,1.43,0.65,0.31,0.61,0.36
13,Currency Exchange Gain (Loss),-0.04,0.04,-,2.49,-3.07,3.07,-,4.57,0.5,-0.5,-,-4.38,1.83,-1.83,-
14,Other Non Operating Income (Expenses),2,-0.25,-0.48,-0.39,2.07,-2.82,0.71,-5.4,1.19,4.81,-0.83,4.82,-5.24,1.05,-0.84
15,EBT Excluding Unusual Items,10.85,3.32,6.24,-2.76,10.5,20.78,17.61,8.88,21.54,20.61,16.84,15.3,16.25,19.83,14.03
16,Gain (Loss) on Sale of Investments,0.35,0.38,0.1,0.74,2.1,-5.55,1.62,0.48,-0.39,-1.08,-0.06,1.48,0.6,-0.14,1.31
17,Gain (Loss) on Sale of Assets,0,0.01,-0.04,-0.04,0.02,-0.01,0.01,0.02,0,0.12,-0.02,-,0.02,0.05,0.02
18,Asset Writedown,-,-,-,1.52,-1.51,0.73,-0.76,-3.98,-0.4,-,-,-1.31,1.31,-1.58,-1.2
19,Other Unusual Items,-1.48,1.2,0.28,-0.32,0.12,-0.12,-,8.53,-1.18,1.18,-,3.22,0.24,-0.24,-
20,Pretax Income,9.73,4.91,6.58,-0.85,11.23,15.82,18.49,13.93,19.57,20.84,16.75,18.7,18.41,17.92,14.15
21,Income Tax Expense,0.8,-0.13,0.23,-0.84,0.64,1.09,2.77,0.46,1.92,2.28,1.67,1.67,1.73,1.51,1.68
22,Earnings From Continuing Operations,8.93,5.04,6.34,-0.01,10.6,14.73,15.72,13.46,17.64,18.56,15.08,17.02,16.68,16.41,12.47
23,Minority Interest in Earnings,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,8.96,5.04,6.34,-0.01,10.6,14.73,15.72,13.46,17.64,18.56,15.08,17.02,16.68,16.41,12.47
25,Net Income to Common,8.96,5.04,6.34,-0.01,10.6,14.73,15.72,13.46,17.64,18.56,15.08,17.02,16.68,16.41,12.47
26,Net Income Growth,-15.47%,-65.80%,-59.63%,-,-39.94%,-20.62%,4.23%,-20.90%,5.74%,13.11%,20.93%,-,-,-,-
27,Shares Outstanding (Basic),109,112,106,108,109,108,109,109,113,79,110,80,84,79,83
28,Shares Outstanding (Diluted),109,112,106,108,109,108,109,109,113,79,110,80,84,79,83
29,Shares Change (YoY),0.04%,3.36%,-3.25%,-1.37%,-3.58%,36.79%,-0.33%,36.93%,34.94%,0.23%,31.93%,-,-,-,-
30,EPS (Basic),0.08,0.05,0.06,-0.00,0.10,0.14,0.14,0.12,0.16,0.23,0.14,0.21,0.20,0.21,0.15
31,EPS (Diluted),0.08,0.05,0.06,-0.00,0.10,0.14,0.14,0.12,0.16,0.23,0.14,0.21,0.20,0.21,0.15
32,EPS Growth,-15.50%,-66.91%,-58.28%,-,-37.71%,-41.97%,4.58%,-42.24%,-21.64%,12.85%,-8.33%,-,-,-,-
33,Free Cash Flow,-6.36,2.8,14.39,20.28,-32.39,-10.46,-1.11,19.46,-12.14,6.95,-10.59,10.18,-10.45,-7.67,-9.13
34,Free Cash Flow Per Share,-0.06,0.03,0.14,0.19,-0.30,-0.10,-0.01,0.18,-0.11,0.09,-0.10,0.13,-0.12,-0.10,-0.11
35,Dividend Per Share,-,-,-,0.230,-,-,-,0.375,-,-,-,0.394,-,-,-
36,Dividend Growth,-,-,-,-38.67%,-,-,-,-4.77%,-,-,-,-,-,-,-
37,Gross Margin,20.04%,18.08%,18.46%,9.89%,22.47%,20.44%,21.97%,18.41%,21.12%,20.83%,21.64%,17.51%,19.43%,18.94%,19.94%
38,Operating Margin,5.30%,1.41%,4.11%,-5.13%,7.91%,9.05%,10.60%,6.04%,10.87%,8.33%,10.99%,7.96%,10.06%,9.77%,9.17%
39,Profit Margin,6.62%,3.83%,5.76%,-0.01%,7.16%,9.13%,10.21%,8.93%,10.62%,10.47%,10.15%,9.51%,8.67%,8.00%,7.88%
40,Free Cash Flow Margin,-4.70%,2.13%,13.05%,17.14%,-21.88%,-6.48%,-0.72%,12.91%,-7.31%,3.92%,-7.13%,5.69%,-5.43%,-3.74%,-5.77%
41,EBITDA,12.33,8.08,9.68,-0.92,15.69,19.55,20.31,13.09,21.34,18.48,19.62,17.54,22.24,23.34,17.38
42,EBITDA Margin,9.11%,6.14%,8.79%,-0.77%,10.60%,12.11%,13.19%,8.68%,12.85%,10.43%,13.20%,9.80%,11.56%,11.38%,10.98%
43,D&A For EBITDA,5.16,6.23,5.16,5.16,3.98,4.94,3.98,3.98,3.29,3.72,3.29,3.29,2.87,3.3,2.87
44,EBIT,7.17,1.85,4.52,-6.07,11.71,14.62,16.33,9.1,18.05,14.76,16.32,14.25,19.37,20.04,14.51
45,EBIT Margin,5.30%,1.41%,4.11%,-5.13%,7.91%,9.05%,10.60%,6.04%,10.87%,8.33%,10.99%,7.96%,10.06%,9.77%,9.17%
46,Effective Tax Rate,8.22%,-,3.57%,-,5.67%,6.91%,14.99%,3.33%,9.84%,10.94%,9.97%,8.96%,9.38%,8.44%,11.90%
47,Revenue as Reported,135.29,131.7,110.19,118.33,148.05,161.43,153.96,150.75,166.05,177.28,148.6,178.95,192.48,205.14,158.29
