,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3484,2460,1810,1929,2484,2562,3045,2281,1961,2113,2385,2530,-,-,-,-
1,Market Cap Growth,-3.99%,-3.99%,-40.55%,-15.45%,26.66%,21.24%,27.70%,-9.84%,-,-,-,-,-,-,-,-
2,Enterprise Value,3147,2083,1448,1563,2118,2159,2595,1832,1532,1671,1879,2480,-,-,-,-
3,Last Close Price,32.02,22.61,16.64,17.49,22.52,23.23,27.61,20.32,17.47,18.82,21.24,22.11,-,-,-,-
4,PE Ratio,170.12,120.99,82.40,60.92,-,47.01,49.47,34.89,30.29,30.94,35.41,38.81,-,-,-,-
5,Forward PE,-,25.18,25.18,29.31,38.69,40.96,37.95,28.43,25.41,-,-,-,-,-,-,-
6,PS Ratio,6.98,4.96,3.56,3.59,4.27,4.17,4.82,3.52,3.05,3.15,3.42,3.49,-,-,-,-
7,PB Ratio,3.88,2.74,2.03,2.12,2.75,2.83,3.41,2.48,2.17,2.37,2.73,2.82,-,-,-,-
8,P/TBV Ratio,2.85,2.85,2.12,2.20,2.85,2.93,3.53,2.53,2.21,2.42,2.79,2.88,-,-,-,-
9,P/FCF Ratio,112.00,-,356.55,-235.63,-104.90,-,-,-,532.82,-,-610.19,-,-,-,-,-
10,P/OCF Ratio,40.80,-,32.39,41.00,63.41,-,-,21.18,23.22,55.31,84.92,-,-,-,-,-
11,EV/Sales Ratio,6.35,4.20,2.85,2.90,3.64,3.52,4.11,2.83,2.38,2.49,2.69,3.42,-,-,-,-
12,EV/EBITDA Ratio,98.92,71.41,44.49,35.51,-,31.46,34.94,25.02,21.13,21.71,24.13,29.97,-,-,-,-
13,EV/EBIT Ratio,278.86,278.86,120.52,63.08,-,41.72,44.67,31.45,26.31,26.36,29.04,35.44,-,-,-,-
14,EV/FCF Ratio,101.17,-,285.09,-190.90,-89.44,-,-,-,416.31,-,-480.83,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,-
16,Debt / EBITDA Ratio,0.09,0.06,0.09,0.05,-,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,-,0.01,-
17,Debt / FCF Ratio,0.09,-,0.57,-0.22,-0.08,-,-,-,0.39,-,-0.36,-,-0.08,-,-,-
18,Asset Turnover,0.53,0.51,0.43,0.45,0.56,0.60,0.57,0.56,0.61,0.64,0.67,-,-,-,-,
19,Inventory Turnover,3.35,3.55,3.38,2.93,3.54,3.52,3.55,3.22,3.44,3.44,3.65,3.43,-,-,-,-
20,Quick Ratio,4.54,4.54,4.56,5.02,4.34,4.58,4.09,4.07,4.17,3.91,3.31,3.53,1.61,-,1.75,-
21,Current Ratio,5.86,5.86,5.57,6.51,5.23,5.54,4.94,5.02,5.06,4.74,4.11,4.26,2.27,-,2.47,-
22,Return on Equity (ROE),3.99%,2.24%,2.80%,-0.00%,4.72%,6.50%,6.90%,6.00%,8.01%,8.39%,9.00%,-,-,16.58%,-,
23,Return on Assets (ROA),1.75%,0.45%,1.09%,-1.45%,2.78%,3.40%,3.77%,2.12%,4.17%,3.34%,4.59%,-,-,-,-,
24,Return on Capital (ROIC),2.00%,0.51%,1.24%,-1.68%,3.25%,4.02%,4.47%,2.53%,5.11%,4.17%,6.08%,-,-,12.64%,-,
25,Return on Capital Employed (ROCE),0.83%,0.83%,1.34%,2.71%,-,5.71%,6.48%,6.32%,6.43%,7.10%,7.39%,7.77%,15.23%,-,8.35%,-
26,Earnings Yield,0.58%,0.83%,1.21%,1.64%,1.65%,2.13%,2.02%,2.87%,3.30%,3.23%,2.82%,2.58%,-,-,-,-
27,FCF Yield,0.89%,1.26%,0.28%,-0.42%,-0.95%,-0.96%,-0.14%,0.58%,0.19%,-0.26%,-0.16%,-0.73%,-,-,-,-
28,Dividend Yield,0.67%,-,-,-,1.02%,-,-,-,2.15%,-,-,-,-,-,-,-
29,Payout Ratio,122.95%,-,496.69%,-,-,0.08%,277.09%,-,1.76%,0.04%,229.56%,-,-,0.16%,-,-
30,Buyback Yield / Dilution,0.85%,-0.04%,-3.36%,3.25%,1.37%,3.58%,-36.79%,0.33%,-36.93%,-34.94%,-0.23%,-31.93%,-,-,-,-
31,Total Shareholder Return,1.51%,-0.04%,-3.36%,3.25%,2.39%,3.58%,-36.79%,0.33%,-34.79%,-34.94%,-0.23%,-31.93%,-,-,-,-
