,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,234.38,258.96,253.87,258.24,642.16,321.72,794.86,311.34,712.77,606.55
1,Short-Term Investments,21.56,18.58,25.38,12.89,0.44,415.96,197.63,545.56,5.02,1.47
2,Trading Asset Securities,10.36,10.1,14.16,30.99,37.38,40.9,-,-,-,-
3,Cash & Short-Term Investments,266.31,287.64,293.42,302.12,679.98,778.58,992.49,856.9,717.79,608.02
4,Cash Growth,-9.24%,-4.79%,-56.85%,-61.20%,-31.49%,-9.14%,38.27%,40.93%,95.70%,-
5,Accounts Receivable,322.8,275.14,279.49,244.19,347.56,320.26,247.84,262.51,140.86,182.01
6,Other Receivables,67.5,214.38,213.98,200.49,27.25,30.96,28.97,7.55,5.35,4.47
7,Receivables,390.3,489.52,544.85,469.14,374.81,351.21,276.81,270.06,146.21,186.48
8,Inventory,53.67,53.6,-,-,-,-,-,-,-,-
9,Prepaid Expenses,-,11.75,-,11.65,-,11.11,-,7.02,-,-
10,Other Current Assets,264.88,102.92,121.8,118.31,0.98,0.89,11.76,0.49,10.12,3.04
11,Total Current Assets,975.15,945.42,960.07,901.22,1056,1142,1281,1134,874.12,797.53
12,"Property, Plant & Equipment",32.88,21.52,15.46,12.64,10.73,11.47,11.76,12.08,8.95,4.51
13,Long-Term Investments,4.6,0.48,0.35,0.4,1.63,1.52,7.09,7.09,9.25,10.61
14,Goodwill,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,-,-
15,Other Intangible Assets,111.93,3.02,3.19,3.33,2.12,2.2,1.68,0.98,0.85,0.91
16,Long-Term Deferred Tax Assets,40.63,27.09,26.63,21.95,18.54,12.03,5.09,3.92,2.87,1.7
17,Other Long-Term Assets,74.13,74.81,89.07,89.07,294.53,280.54,89.07,89.07,89.07,89.07
18,Total Assets,1242,1075,1098,1032,1434,1493,1399,1251,985.11,904.33
19,Accounts Payable,127.56,106.68,109.23,112.49,101.44,102.9,77.11,44.04,31.78,37.07
20,Accrued Expenses,41.48,45.53,37.26,40.56,27.66,104.15,55.63,63.91,46.14,52.65
21,Current Portion of Leases,2.75,3.61,2.27,1.87,1.51,1.39,1.38,1.36,1.56,-
22,Current Income Taxes Payable,98.72,89.58,73.05,72.21,75.25,74.09,48.01,59.48,42.97,38.5
23,Current Unearned Revenue,155.39,106.5,129.69,109.36,160.25,138.82,159.51,124.13,143.46,103.45
24,Other Current Liabilities,228.91,168.85,178.72,172.25,143.46,145.74,149.47,149.64,114.27,106.39
25,Total Current Liabilities,654.81,520.75,530.21,508.73,509.57,567.09,491.12,442.56,380.18,338.04
26,Long-Term Leases,4.23,7.61,3.1,2.12,0.48,0.69,1.51,2.14,3.02,-
27,Long-Term Deferred Tax Liabilities,8.96,5.34,9.34,7.55,10.88,10.11,8.12,8.12,1.51,3.2
28,Total Liabilities,667.99,533.71,542.65,518.39,520.94,577.88,500.75,452.82,384.7,341.24
29,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0
30,Additional Paid-In Capital,628.8,628.8,628.8,628.8,594.4,594.4,594.4,563.29,449.22,449.22
31,Retained Earnings,98.03,67.15,79.75,39.02,438.17,440.06,429.21,365.05,289.19,257.68
32,Treasury Stock,-,-,-,-,-,-,-,-,-0.95,-
33,Comprehensive Income & Other,-157.33,-157.33,-157.33,-157.33,-122.87,-122.93,-127.64,-132.3,-138.64,-144.97
34,Total Common Equity,569.51,538.63,551.23,510.51,909.71,911.54,895.98,796.03,598.83,561.94
35,Minority Interest,4.91,3.09,3.96,2.81,3.76,3.35,2.11,1.85,1.58,1.15
36,Shareholders' Equity,574.42,541.73,555.2,513.31,913.47,914.89,898.08,797.89,600.42,563.09
37,Total Liabilities & Equity,1242,1075,1098,1032,1434,1493,1399,1251,985.11,904.33
38,Total Debt,6.98,11.22,5.37,3.98,1.99,2.09,2.89,3.5,4.57,-
39,Net Cash (Debt),259.32,276.41,288.05,298.13,677.99,776.5,989.59,853.4,713.22,608.02
40,Net Cash Growth,-9.97%,-7.29%,-57.51%,-61.61%,-31.49%,-9.01%,38.75%,40.36%,94.45%,-
41,Net Cash Per Share,0.46,0.49,0.51,0.53,1.19,1.37,1.76,1.56,1.43,1.41
42,Filing Date Shares Outstanding,593.04,567.5,567.5,567.5,567.5,567.5,567.5,549.5,499.5,500
43,Total Common Shares Outstanding,567.5,567.5,567.5,567.5,567.5,567.5,567.5,549.5,499.5,500
44,Working Capital,320.34,424.67,429.85,392.49,546.19,574.71,789.93,691.91,493.95,459.49
45,Book Value Per Share,1.00,0.95,0.97,0.90,1.60,1.61,1.58,1.45,1.20,1.12
46,Tangible Book Value,454.5,532.52,544.95,504.09,904.5,906.25,891.21,791.96,597.98,561.03
47,Tangible Book Value Per Share,0.80,0.94,0.96,0.89,1.59,1.60,1.57,1.44,1.20,1.12
48,Buildings,-,3.24,-,3.24,-,3.24,-,3.24,-,0.27
49,Machinery,-,19.36,-,17.47,-,16.93,-,14.07,-,11.75
50,Leasehold Improvements,-,2.77,-,1.06,-,0.89,-,0.87,-,-
