,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,350,187,494,494,494,1203,1203,1203,1319,1429,710
1,Market Cap Growth,-62.07%,-62.07%,0%,-58.96%,-58.96%,0%,-8.77%,-15.78%,85.75%,-,-
2,Enterprise Value,77,-114,-296,-296,-296,254,15,422,538,750,283
3,Last Close Price,0.59,0.30,0.76,0.76,0.76,1.66,1.66,1.66,1.87,2.23,1.08
4,PE Ratio,8.15,4.56,-,-1.27,-,8.57,8.23,7.31,8.67,11.40,7.98
5,Forward PE,-,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,6.97,-
6,PS Ratio,0.38,0.21,0.60,0.69,0.64,1.30,1.27,1.37,1.70,2.33,1.19
7,PB Ratio,0.55,0.30,0.83,0.82,0.85,1.12,1.07,1.11,1.39,2.17,1.13
8,P/TBV Ratio,0.38,0.38,0.84,0.84,0.87,1.14,1.08,1.12,1.40,2.18,1.13
9,P/FCF Ratio,-,-,43.40,1.69,1.72,-,-30.00,-,6.62,7.37,11.54
10,P/OCF Ratio,-,-,31.71,1.67,1.71,-,-33.14,-,6.50,7.30,11.17
11,EV/Sales Ratio,0.09,-,-,-,-,0.27,0.02,0.48,0.69,1.22,0.47
12,EV/EBITDA Ratio,0.81,-,-,-,-,1.38,0.07,1.74,2.32,4.00,1.94
13,EV/EBIT Ratio,0.90,-,-,-,-,1.39,0.07,1.76,2.34,4.03,1.96
14,EV/FCF Ratio,-7.04,-,-,-,-,-,-0.39,-,2.70,3.87,4.60
15,Debt / Equity Ratio,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.01,-
16,Debt / FCF Ratio,-,-,1.09,0.02,0.02,-,-0.06,-,0.02,0.03,-
17,Return on Capital Employed (ROCE),13.44%,13.44%,18.07%,-1.71%,-,16.85%,19.37%,21.98%,23.98%,28.02%,22.80%
18,Earnings Yield,11.75%,21.95%,6.28%,-78.44%,-76.54%,12.00%,12.51%,14.00%,11.81%,8.91%,12.81%
19,FCF Yield,-3.11%,-5.80%,2.30%,59.13%,58.28%,3.87%,-3.33%,-5.00%,15.10%,13.56%,8.66%
20,Dividend Yield,18.71%,18.23%,-,-,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,-,-,-,0.20%,-0.67%,-4.15%,-12.77%,-26.61%,-35.55%,-,
22,Total Shareholder Return,18.71%,18.23%,-,-,0.20%,-0.67%,-4.15%,-12.77%,-26.61%,-35.55%,-
