,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,181.44,178.74,108.95,251.95,200.26,399.06,326.46,647.98,189.15,-,-,149.7,-,285.84,285.84
1,Short-Term Investments,-,-,20.02,-,-,-,50,-,50,-,-,-,-,-,-,-
2,Trading Asset Securities,-,39,40.15,130.07,110.17,323,285,650,610,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,220.44,220.44,238.91,239.02,362.13,523.26,734.06,976.46,1308,189.15,-,149.7,149.7,-,285.84,285.84
4,Cash Growth,-39.13%,-57.87%,-67.45%,-75.52%,-72.31%,176.63%,-,552.28%,773.75%,-,-,-47.63%,-,-,-,-
5,Accounts Receivable,-,387.79,320.1,310.97,319.51,278.21,243.11,225.71,232.06,200.71,-,-,135.26,-,98.01,98.01
6,Other Receivables,-,15.81,16.2,17.69,17.93,18.23,13.85,15.55,16.87,20.57,-,-,25.4,-,33.47,33.47
7,Receivables,-,403.6,336.3,328.66,337.44,296.44,256.96,241.26,248.93,221.28,-,-,160.66,-,131.48,131.48
8,Inventory,-,7.79,7.01,4.6,4.69,3.17,2.51,3.17,5.18,5.03,-,-,6.34,-,5.08,5.08
9,Other Current Assets,-,254.45,210.07,176.64,150.68,172.53,135.01,163.03,84.96,61.41,-,-,76.48,-,48.3,48.3
10,Total Current Assets,-,886.27,792.29,748.91,854.94,995.4,1129,1384,1647,476.87,-,-,393.18,-,470.69,470.69
11,"Property, Plant & Equipment",-,3206,2963,2739,2520,2182,2028,1764,1545,1454,-,-,1097,-,774.11,774.11
12,Long-Term Investments,-,85,85,85,85,85,55,50,50,-,-,-,-,-,-,-
13,Other Intangible Assets,-,40.4,39.83,40.35,40.94,41.46,42.07,31.55,32.06,12.62,-,-,10.05,-,2.41,2.41
14,Long-Term Deferred Tax Assets,-,29.27,27.2,21.63,14.88,11.16,9.42,8.91,2.51,1.48,-,-,1.27,-,0.82,0.82
15,Long-Term Deferred Charges,-,67.6,69.08,71.58,71.28,71.56,73.45,75.68,74.31,77.3,-,-,38.09,-,35.13,35.13
16,Other Long-Term Assets,-,68.83,28.53,56.63,21.08,43.1,48.36,57.68,34.49,32.03,-,-,29.58,-,14.52,14.52
17,Total Assets,-,4384,4005,3763,3608,3430,3385,3372,3386,2054,-,-,1569,-,1298,1298
18,Accounts Payable,-,317.9,149.84,341.29,107.99,132.92,37.98,83.07,20.98,83.13,-,-,13.37,-,12.81,12.81
19,Accrued Expenses,-,26.56,23.24,15.94,33.58,24.3,19.39,12.75,32.41,28.94,-,-,28.96,-,14.02,14.02
20,Short-Term Debt,-,70.54,40.53,102.11,103.3,97.3,96.86,143.74,135.69,170.66,-,-,102.91,-,67.31,67.31
21,Current Portion of Long-Term Debt,-,159.19,121.53,165.67,108.9,171.9,112.87,109.35,72.5,163.14,-,-,56.07,-,29.63,29.63
22,Current Portion of Leases,-,-,33.79,-,39.45,-,35.06,-,63.64,-,-,-,104.55,-,105.25,105.25
23,Current Income Taxes Payable,-,7.59,1.85,3.63,3.54,0.04,0.1,12.47,12.09,2.73,-,-,13.88,-,5.32,5.32
24,Current Unearned Revenue,-,-,-,-,-,0.06,0.07,-,-,-,-,-,-,-,0.09,0.09
25,Other Current Liabilities,-,0.21,178.42,6.17,126.24,7.28,149.96,4.19,73.92,12.35,-,-,75.52,-,59.64,59.64
26,Total Current Liabilities,-,581.99,549.19,634.81,523.01,433.79,452.29,365.58,411.23,460.94,-,-,395.26,-,294.08,294.08
27,Long-Term Debt,-,1126,849.94,507.88,477.26,453.89,426.89,460.31,476.2,402.01,-,-,166.67,-,54.25,54.25
28,Long-Term Leases,-,22.03,23.09,25.62,37.92,45.36,46.48,53.79,70.16,86.73,-,-,90.49,-,124.19,124.19
29,Long-Term Unearned Revenue,-,111.89,115.61,119.33,111.25,79.31,81.7,84.09,46.76,39.02,-,-,17.98,-,4.2,4.2
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,1.89,1.07,1.37,1.34,-,-,-,-,-,-,-
31,Total Liabilities,-,1841,1538,1288,1149,1014,1008,965.13,1006,988.7,-,-,670.4,-,476.72,476.72
32,Common Stock,-,113.83,113.37,113.37,113.37,113.37,87.21,87.21,87.21,65.41,-,-,65.41,-,65.41,65.41
33,Additional Paid-In Capital,-,1954,1931,1914,1897,1882,1888,1888,1888,672.6,-,-,672.6,-,672.6,672.6
34,Retained Earnings,-,474.27,423.11,448.22,448.53,420.17,401.3,431.62,404.66,327.46,-,-,160.95,-,82.96,82.96
35,Shareholders' Equity,2542,2542,2467,2475,2459,2415,2376,2407,2380,1065,-,898.96,898.96,-,820.96,820.96
36,Total Liabilities & Equity,-,4384,4005,3763,3608,3430,3385,3372,3386,2054,-,-,1569,-,1298,1298
37,Total Debt,1377,1377,1069,801.28,766.84,768.45,718.17,767.19,818.2,822.53,-,520.69,520.69,-,380.62,380.62
38,Net Cash (Debt),-1157,-1157,-829.98,-562.26,-404.71,-245.19,15.89,209.27,489.78,-633.38,-,-370.99,-370.99,-,-94.79,-94.79
39,Net Cash Per Share,-9.95,-9.55,-7.99,-4.97,-3.57,-2.16,0.14,1.83,4.69,-7.48,-,-4.38,-4.98,-,-1.19,-1.19
40,Filing Date Shares Outstanding,113.83,113.83,113.37,113.37,113.37,113.37,113.37,113.37,113.37,85.03,85.03,84.75,85.03,94.88,85.03,85.03
41,Total Common Shares Outstanding,113.83,113.83,113.37,113.37,113.37,113.37,113.37,113.37,113.37,85.03,85.03,84.75,85.03,94.88,85.03,85.03
42,Working Capital,-,304.28,243.09,114.1,331.93,561.61,676.25,1018,1236,15.93,-,-,-2.08,-,176.61,176.61
43,Book Value Per Share,22.33,22.33,21.76,21.83,21.69,21.30,20.96,21.23,20.99,12.53,-,10.57,10.57,-,9.65,9.65
44,Tangible Book Value,2502,2502,2427,2435,2418,2374,2334,2375,2348,1053,-,888.9,888.9,-,818.55,818.55
45,Tangible Book Value Per Share,21.98,21.98,21.41,21.48,21.33,20.94,20.59,20.95,20.71,12.38,-,10.45,10.45,-,9.63,9.63
46,Buildings,-,-,19.5,-,19.5,-,19.85,-,19.5,-,-,-,18.19,-,-,-
47,Machinery,-,-,2834,-,2428,-,2081,-,1542,-,-,-,800.32,-,408.83,408.83
48,Construction In Progress,-,-,686.79,-,514.14,-,259.52,-,119.44,-,-,-,109.63,-,87.28,87.28
