,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,336.48,356.86,199.98,183.55,171.41,220.62,154.78,140.13,159.43,202.06,175.36,165.6,131.12,134.43,103.27,103.27
1,Other Revenue,-,-46.38,46.38,-,49.6,-16.98,16.98,-,30.57,-15.01,15.01,-,21.04,-7.62,3.81,3.81
2,Revenue,336.48,310.48,246.36,183.55,221,203.64,171.76,140.13,190,187.05,190.37,165.6,152.16,126.82,107.08,107.08
3,Revenue Growth (YoY),52.25%,52.47%,43.44%,30.99%,16.32%,8.87%,-9.78%,-15.38%,24.87%,47.50%,77.78%,54.65%,-,-,-,-
4,Cost of Revenue,-485.84,178.65,172.35,134.84,132.29,123.29,105.45,88.63,103.93,96.46,97.67,81.68,70.95,63.15,55.83,55.83
5,Gross Profit,822.32,131.83,74.01,48.71,88.72,80.35,66.31,51.5,86.07,90.6,92.7,83.92,81.22,63.67,51.25,51.25
6,"Selling, General & Admin",-78.4,31.02,25.64,21.74,24.25,25.05,12.81,14.27,13.28,13.65,11.71,9.92,8.79,9.82,6.45,6.45
7,Research & Development,-101.4,36.9,33.9,30.6,33.26,31.87,23.26,15.42,22.22,18.4,15.57,13,13.8,14.12,9.91,9.91
8,Other Operating Expenses,950.31,-8.26,2,-3.17,9.01,-2.61,-6.25,-1.54,13.26,-8.52,-3.32,-0.34,3.59,-2.69,-0.07,-0.07
9,Operating Expenses,762.97,66.69,61.82,49.4,68.3,56.48,30.63,27.67,47.77,26.28,24.42,24.33,27.61,20.48,17.7,17.7
10,Operating Income,59.35,65.14,12.19,-0.68,20.42,23.87,35.68,23.82,38.3,64.31,68.28,59.59,53.6,43.18,33.55,33.55
11,Interest Expense,-3.93,-8.97,-8.39,-6.99,-7.67,-8.5,-8.22,-8.68,-9.26,-9.02,-8.5,-6.58,-7.11,-4.21,-3.43,-3.43
12,Interest & Investment Income,24.35,0.88,1.64,1.4,3.18,3.25,6.32,5.83,4.07,0.86,0.45,0.25,1.44,0.33,0.25,0.25
13,Currency Exchange Gain (Loss),-,0.49,-0.49,-,-8.63,1.98,-1.98,-,-4.25,3.5,-3.5,-,1.76,-1.61,0.8,0.8
14,Other Non Operating Income (Expenses),0.87,1.64,-2.3,0.19,5.3,-6.5,0.14,0.36,2.46,-3.75,-1.34,0.26,-2.53,0.69,-0.34,-0.34
15,EBT Excluding Unusual Items,80.64,59.19,2.66,-6.08,12.6,14.1,31.94,21.34,31.33,55.91,55.39,53.52,47.16,38.39,30.84,30.84
16,Gain (Loss) on Sale of Investments,-0.15,-,0.15,-,0.17,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.03,-,-,0.03,0.01,-,0.07,1.77,-,-,-,0.85,-0.08,0.3,-0.01,-0.01
18,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-
19,Other Unusual Items,-,-5.49,5.36,0.13,13.57,-,-,-,47.73,-,-,-,4.95,-,-,-
20,Pretax Income,80.46,53.7,8.17,-5.92,26.51,14.1,32.01,23.11,79.1,55.91,55.39,54.37,52.02,38.69,30.83,30.83
21,Income Tax Expense,14.06,2.53,-2.99,-5.62,-1.85,-4.77,-11.44,-4.2,1.61,3.81,-13.68,9.39,6.58,6.14,3.74,3.74
22,Net Income,66.41,51.16,11.16,-0.31,28.36,18.87,43.45,27.31,77.48,52.09,69.07,44.98,45.45,32.55,27.09,27.09
23,Net Income to Common,66.41,51.16,11.16,-0.31,28.36,18.87,43.45,27.31,77.48,52.09,69.07,44.98,45.45,32.55,27.09,27.09
24,Net Income Growth,134.15%,171.09%,-74.31%,-,-63.40%,-63.77%,-37.08%,-39.29%,70.49%,60.05%,154.94%,66.05%,-,-,-,-
25,Shares Outstanding (Basic),116,121,104,113,113,113,113,115,104,85,86,85,75,95,80,80
26,Shares Outstanding (Diluted),116,121,104,113,113,113,113,115,104,85,86,85,75,95,80,80
27,Shares Change (YoY),2.53%,6.97%,-7.75%,-1.11%,8.57%,33.73%,31.47%,35.11%,40.17%,-10.74%,7.47%,6.31%,-,-,-,-
28,EPS (Basic),0.57,0.42,0.11,-0.00,0.25,0.17,0.39,0.24,0.74,0.62,0.81,0.53,0.61,0.34,0.34,0.34
29,EPS (Diluted),0.57,0.42,0.11,-0.00,0.25,0.17,0.39,0.24,0.74,0.62,0.81,0.53,0.61,0.34,0.34,0.34
30,EPS Growth,128.36%,153.43%,-72.15%,-,-66.29%,-72.91%,-52.14%,-55.07%,21.63%,79.31%,138.21%,56.83%,-,-,-,-
31,Free Cash Flow,-,-271.71,-220.69,-216.79,-182.36,-106.68,-180.14,-289.84,-84.17,-163.92,86.9,-141.5,-186.16,-141.61,-46.93,-46.93
32,Free Cash Flow Per Share,-,-2.24,-2.12,-1.91,-1.61,-0.94,-1.60,-2.53,-0.81,-1.94,1.01,-1.67,-2.50,-1.49,-0.59,-0.59
33,Dividend Per Share,-,-,-,-,0.320,-,-,-,0.654,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-51.06%,-,-,-,-,-,-,-,-,-,-,-
