,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,9551,6662,6153,4459,7551,8889,11930,13356,9230,8306,-,-,-,-,-,-,-
1,Market Cap Growth,-25.05%,-25.05%,-48.43%,-66.62%,-18.19%,7.01%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10708,7818,6983,5021,7955,9134,11914,13147,9863,8939,-,-,-,-,-,-,-
3,Last Close Price,83.90,58.52,54.05,39.33,66.15,77.87,104.51,116.32,80.38,72.33,-,-,-,-,-,-,-
4,PE Ratio,74.25,51.87,68.08,76.76,-,75.33,71.39,66.67,40.85,34.09,-,-,-,-,-,-,-
5,Forward PE,52.03,39.40,36.63,21.61,46.57,32.31,37.67,37.86,29.90,-,-,-,-,-,-,-,-
6,PS Ratio,8.85,6.19,6.40,5.22,9.68,12.07,16.91,19.39,13.04,11.33,-,-,-,-,-,-,-
7,PB Ratio,3.76,2.62,2.42,1.81,3.05,3.62,4.94,5.62,3.83,3.49,-,-,-,-,-,-,-
8,P/TBV Ratio,2.66,2.66,2.46,1.84,3.10,3.68,5.03,5.72,3.89,3.54,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,13.60,9.18,15.01,19.22,27.48,34.00,19.34,16.62,-,-,-,-,-,-,-
10,EV/Sales Ratio,9.94,7.26,7.26,5.88,10.20,12.40,16.89,19.08,13.94,12.20,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,30.77,21.34,21.33,19.19,30.78,35.34,47.31,47.14,33.78,28.44,-,-,-,-,-,-,-
12,EV/EBIT Ratio,78.73,57.49,71.94,89.99,-,87.99,97.92,81.09,50.65,38.78,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.54,0.54,0.54,0.43,0.32,0.31,0.32,0.30,0.32,0.34,0.77,-,0.58,0.58,-,0.46,0.46
14,Debt / EBITDA Ratio,3.96,3.06,2.91,2.97,3.83,2.22,3.67,1.96,3.67,1.99,2.59,-,1.74,1.37,-,1.84,1.84
15,Asset Turnover,-,0.30,0.25,0.20,0.25,0.24,0.20,0.17,0.28,-,-,-,-,-,0.33,-,
16,Inventory Turnover,-,-,96.58,118.76,116.11,134.60,173.56,148.56,84.97,81.42,-,-,-,-,-,43.98,-
17,Quick Ratio,-,-,1.07,1.05,0.89,1.34,1.89,2.19,3.33,3.79,0.89,-,-,0.79,-,1.42,1.42
18,Current Ratio,-,-,1.52,1.44,1.18,1.63,2.29,2.50,3.79,4.01,1.03,-,-,0.99,-,1.60,1.60
19,Return on Equity (ROE),10.45%,8.17%,1.81%,-0.05%,4.65%,3.15%,7.27%,4.56%,17.99%,-,-,20.02%,-,-,13.20%,-,
20,Return on Assets (ROA),-,3.88%,0.78%,-0.05%,1.45%,1.75%,2.64%,1.76%,3.52%,-,-,-,-,-,6.46%,-,
21,Return on Capital (ROIC),3.79%,4.37%,0.89%,-0.05%,1.59%,1.90%,2.85%,1.87%,3.77%,-,-,10.49%,-,-,6.98%,-,
22,Return on Capital Employed (ROCE),-,-,2.55%,1.61%,-,3.36%,4.06%,5.53%,6.48%,7.75%,15.43%,-,-,13.96%,-,6.69%,3.34%
23,Earnings Yield,1.34%,1.93%,1.47%,1.30%,1.20%,1.33%,1.40%,1.50%,2.45%,2.93%,-,-,-,-,-,-,-
24,FCF Yield,-,-14.49%,-16.29%,-9.08%,-8.54%,-5.54%,-5.38%,-4.89%,-3.64%,-,-,-,-,-,-,-,
25,Dividend Yield,0.37%,-,-,-,-,0.41%,-,-,-,0.90%,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,-,17.32%,391.46%,-,32.88%,322.70%,59.03%,30.74%,8.31%,12.42%,6.17%,9.75%,9.13%,7.90%,3.82%,3.82%
27,Buyback Yield / Dilution,-0.17%,-2.53%,-6.97%,7.75%,1.11%,-8.57%,-33.73%,-31.47%,-35.11%,-40.17%,10.74%,-7.47%,-6.31%,-,-,-,-
28,Total Shareholder Return,0.20%,-2.53%,-6.97%,7.75%,1.11%,-8.16%,-33.73%,-31.47%,-35.11%,-39.27%,10.74%,-7.47%,-6.31%,-,-,-,-
