,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Interest Income on Loans,33717,32184,32808,31304,29658,29079,28035,26207,25103,24727,Upgrade
1,Interest Income on Investments,-,4.64,-,6.4,-,-,-,1.44,-,-,Upgrade
2,Total Interest Income,33717,32189,32808,31311,29658,29079,28035,26209,25103,24727,Upgrade
3,Interest Paid on Deposits,19031,18606,17666,16334,15924,15403,14855,13292,12266,12212,Upgrade
4,Net Interest Income,14686,13583,15142,14977,13734,13676,13181,12917,12837,12516,Upgrade
5,Net Interest Income Growth (YoY),-3.01%,-9.31%,10.26%,9.52%,4.20%,5.88%,2.68%,3.21%,0.08%,80.73%,Upgrade
6,Income From Trading Activities,2900,1437,2165,469.51,1650,-1691,1691,1229,1268,1596,Upgrade
7,Gain (Loss) on Sale of Assets,-,-,-,-,-,-12.64,-,-,-,-,Upgrade
8,Gain (Loss) on Sale of Investments,1122,168.31,440.96,196.73,548.87,3745,607.8,-416.1,228.68,195.06,Upgrade
9,Other Non-Interest Income,1984,1390,2040,1471,3183,2425,2090,1806,2066,1696,Upgrade
10,Total Non-Interest Income,6006,2995,4646,2138,5381,4466,4389,2618,3562,3487,Upgrade
11,Non-Interest Income Growth (YoY),29.28%,40.11%,-13.67%,-52.14%,22.61%,70.59%,23.20%,-24.92%,43.42%,-47.03%,Upgrade
12,Revenues Before Loan Losses,20692,16577,19788,17115,19115,18142,17569,15535,16399,16003,Upgrade
13,Provision for Loan Losses,5700,3391,5178,539,6331,7048,6504,5650,6609,6003,Upgrade
14,Revenue,14992,13186,14609,16576,12784,11094,11066,9885,9790,9999,Upgrade
15,Revenue Growth (YoY),2.62%,-20.45%,14.28%,49.41%,15.53%,12.23%,13.03%,-1.14%,3.97%,12.97%,Upgrade
16,Salaries and Employee Benefits,3061,2972,2968,3044,2537,2599,2275,2028,2178,2165,Upgrade
17,Occupancy Expenses,410.22,411.49,412.56,405.66,412.51,411.62,406.61,392.74,312.27,307.54,Upgrade
18,Amortization of Goodwill & Intangibles,97.88,115.15,94.07,86.9,77.79,183.2,65.93,59.73,55.15,37.25,Upgrade
19,"Selling, General & Administrative",1088,1411,1083,1191,1098,1292,921.6,1327,634.86,978.68,Upgrade
20,Other Non-Interest Expense,322.83,422.81,309.7,331.17,291.53,154.33,295.9,417.77,248.75,231.06,Upgrade
21,Total Non-Interest Expense,4809,5182,4728,5005,4248,4867,3755,4242,3351,3787,Upgrade
22,EBT Excluding Unusual Items,10183,8005,9881,11571,8536,6227,7310,5643,6440,6212,Upgrade
23,Asset Writedown,-,-,-,-,-,-,-,-,-,-22.82,Upgrade
24,Pretax Income,10183,7776,9881,8779,8536,6227,7310,5643,6440,6190,Upgrade
25,Income Tax Expense,1197,1271,1395,2431,1201,533.77,1218,1052,1109,1139,Upgrade
26,Earnings From Continuing Operations,8986,6505,8486,6348,7335,5693,6092,4591,5331,5051,Upgrade
27,Minority Interest in Earnings,-355.72,-173.71,-383.61,-192.98,-92.49,-427.89,103.08,-270.88,-80.78,-151.9,Upgrade
28,Net Income,8631,6331,8102,6155,7243,5265,6195,4320,5250,4899,Upgrade
29,Preferred Dividends & Other Adjustments,-,490,-,490,-,837.02,-,847.6,-,379.5,Upgrade
30,Net Income to Common,8631,5841,8102,5665,7243,4428,6195,3472,5250,4520,Upgrade
31,Net Income Growth,6.53%,2.87%,11.86%,16.89%,16.91%,21.88%,18.01%,-11.82%,6.71%,9.51%,Upgrade
32,Basic Shares Outstanding,13890,13890,13890,13890,13890,13890,13890,12164,12155,12155,Upgrade
33,Diluted Shares Outstanding,13890,13890,13890,13890,13890,13890,13890,12164,12155,12155,Upgrade
34,Shares Change (YoY),-,-,-,-,-,14.19%,14.27%,0.08%,-,-,Upgrade
35,EPS (Basic),0.62,0.42,0.58,0.41,0.52,0.32,0.45,0.29,0.43,0.37,Upgrade
36,EPS (Diluted),0.62,0.42,0.58,0.41,0.52,0.31,0.45,0.29,0.43,0.37,Upgrade
37,EPS Growth,6.90%,2.98%,11.54%,29.89%,16.59%,9.99%,3.73%,-23.23%,7.50%,10.32%,Upgrade
