,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Revenue,889.62,941.3,888.08,901.47,665.69,648.69,575.9,424.23
1,Revenue Growth (YoY),0.17%,4.42%,33.41%,38.97%,15.59%,52.91%,-,-
2,Cost of Revenue,708.03,758.94,694.06,710.74,509.12,518.27,433.67,314.79
3,Gross Profit,181.59,182.36,194.03,190.73,156.57,130.42,142.23,109.44
4,"Selling, General & Admin",90.13,103.76,106.78,116.58,93.24,89.98,86.12,65.85
5,Other Operating Expenses,-0.65,-2.17,-3.87,-3.01,-2.58,-3.11,-2.01,-1.51
6,Operating Expenses,124.02,133.86,123.25,125.13,101.5,90.66,90.03,69.41
7,Operating Income,57.57,48.5,70.77,65.6,55.08,39.76,52.2,40.03
8,Interest Expense,-2.14,-0.68,-0.02,-,-0.1,-,-0.43,-0.14
9,Interest & Investment Income,6.9,9.73,10.8,11.8,10.45,11.06,7.61,5.62
10,Earnings From Equity Investments,0.09,0.12,-0.1,-,-,-,-,-
11,Currency Exchange Gain (Loss),-0.15,-,-0.24,0.2,4.67,-1.02,-,-
12,Other Non Operating Income (Expenses),-,-,-,-0.04,0.04,-,-,-
13,EBT Excluding Unusual Items,62.27,57.66,81.21,77.56,70.14,49.8,59.39,45.51
14,Gain (Loss) on Sale of Assets,-0.08,12.96,-0.02,-0.02,-0.07,0.02,-0.02,-0
15,Asset Writedown,-0.03,0.18,0.07,0.34,2.14,1.26,0.39,3.07
16,Other Unusual Items,-,-,-,-,-,-,-,0.17
17,Pretax Income,62.17,70.8,81.26,77.87,72.21,51.08,59.76,48.75
18,Income Tax Expense,15.19,16.74,19.63,15.8,19.11,12.82,13.87,11.82
19,Earnings From Continuing Operations,46.97,54.06,61.63,62.07,53.1,38.26,45.89,36.93
20,Minority Interest in Earnings,-1.68,0.85,-2.94,-0.31,-0.66,-0.35,-1.05,-12.59
21,Net Income,45.29,54.91,58.68,61.76,52.44,37.91,44.84,24.34
22,Net Income to Common,45.29,54.91,58.68,61.76,52.44,37.91,44.84,24.34
23,Net Income Growth,-22.82%,-11.09%,11.91%,62.90%,16.95%,55.76%,-,-
24,Shares Outstanding (Basic),147,147,147,147,147,120,110,-
25,Shares Outstanding (Diluted),147,147,147,147,147,120,110,-
26,Shares Change (YoY),-,-,-,21.77%,33.33%,-,-,-
27,EPS (Basic),0.31,0.37,0.40,0.42,0.36,0.31,0.41,-
28,EPS (Diluted),0.31,0.37,0.40,0.42,0.36,0.31,0.41,-
29,EPS Growth,-22.82%,-11.09%,11.91%,33.78%,-12.29%,-,-,-
30,Free Cash Flow,-93.66,70.42,-65.45,133.09,-48.87,-61.53,-28.6,95.92
31,Free Cash Flow Per Share,-0.64,0.48,-0.45,0.91,-0.33,-0.51,-0.26,-
32,Operating Margin,6.47%,5.15%,7.97%,7.28%,8.27%,6.13%,9.06%,9.44%
33,Profit Margin,5.09%,5.83%,6.61%,6.85%,7.88%,5.84%,7.79%,5.74%
34,Free Cash Flow Margin,-10.53%,7.48%,-7.37%,14.76%,-7.34%,-9.48%,-4.97%,22.61%
35,EBITDA,65.81,58.52,78.3,74.01,59.94,42.49,55.52,42.33
36,D&A For EBITDA,8.24,10.02,7.52,8.41,4.86,2.72,3.32,2.3
37,EBIT,57.57,48.5,70.77,65.6,55.08,39.76,52.2,40.03
