,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Market Capitalization,540,689,566,355,462,647,722,-,-
1,Market Cap Growth,94.21%,94.21%,22.54%,-45.12%,-35.98%,-,-,-,-
2,Enterprise Value,-363,-378,-532,-908,-704,-656,-316,-,-
3,Last Close Price,3.68,4.70,3.65,2.29,2.77,3.88,4.15,-,-
4,PE Ratio,5.01,6.40,4.52,2.73,3.58,6.11,7.10,-,-
5,PS Ratio,0.27,0.35,0.28,0.18,0.26,0.42,0.48,-,-
6,PB Ratio,0.60,0.74,0.60,0.41,0.52,0.74,0.83,-,-
7,P/TBV Ratio,0.78,0.78,0.63,0.43,0.55,0.79,0.87,-,-
8,P/FCF Ratio,-,-,103.54,-,4.85,-,-,-,-
9,P/OCF Ratio,-,-,12.88,-,3.52,-,-,-,-
10,Debt / Equity Ratio,0.14,0.14,0.14,0.00,0.00,0.00,0.01,-,-
11,Debt / FCF Ratio,-,-,23.27,-,0.01,-,-,-,-
12,Return on Capital Employed (ROCE),10.78%,10.78%,12.20%,15.02%,13.61%,11.24%,11.42%,-,-
13,Earnings Yield,19.95%,15.62%,22.10%,36.67%,27.94%,16.36%,14.08%,-,-
14,FCF Yield,-4.63%,-3.62%,0.97%,20.59%,20.61%,-19.99%,-15.33%,-,-
15,Buyback Yield / Dilution,-,-,-,-21.77%,-33.33%,-,-,-,
16,Total Shareholder Return,6.32%,-,-,-,-21.77%,-33.33%,-,-,-
