,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Cash & Equivalents,979.13,1105,1040,1141,1024,1087,-,-
1,Short-Term Investments,10.85,10.25,9.75,6.4,5.96,2.19,-,-
2,Cash & Short-Term Investments,989.98,1115,1049,1147,1030,1089,-,-
3,Cash Growth,-5.65%,-2.76%,1.91%,5.29%,-,-,-,-
4,Accounts Receivable,757.09,719.16,755.84,655.01,509.66,349.96,-,-
5,Other Receivables,30.34,30.06,9.41,6.85,15.99,12.55,-,-
6,Receivables,787.43,749.22,765.26,661.86,525.65,362.51,-,-
7,Inventory,0.61,0.62,5.69,5.84,5.77,5.65,-,-
8,Restricted Cash,9.59,11.88,8.07,7.59,8.63,6.05,-,-
9,Other Current Assets,38.75,34.65,37.5,57.97,63.74,97.77,-,-
10,Total Current Assets,1826,1912,1866,1880,1633,1561,-,-
11,"Property, Plant & Equipment",184.62,208.86,77.7,60.74,53.04,33.64,-,-
12,Long-Term Investments,54.29,63.01,65.03,72.58,95.7,95.73,-,-
13,Other Intangible Assets,12.71,13.74,12.96,14,11.06,2.85,-,-
14,Long-Term Deferred Tax Assets,71.89,62,51.37,44.03,36.65,32.24,-,-
15,Other Long-Term Assets,118.7,107.96,107.78,107.71,107.37,105.23,-,-
16,Total Assets,2269,2367,2181,2179,1937,1831,-,-
17,Accounts Payable,441.52,482.87,467.76,446.66,326.93,228.68,-,-
18,Accrued Expenses,58.61,71.62,70.62,61.41,52.51,37.62,-,-
19,Current Portion of Leases,101.77,95.21,0.47,0.65,2.31,3.43,-,-
20,Current Income Taxes Payable,14.9,25.32,14.18,12.72,11.85,16.56,-,-
21,Current Unearned Revenue,267.59,296.83,260.39,305.57,227.44,273.68,-,-
22,Other Current Liabilities,400.33,417.75,459.34,465.61,472.35,465.82,-,-
23,Total Current Liabilities,1285,1390,1273,1293,1093,1026,-,-
24,Long-Term Leases,15.61,20.29,0.5,0.49,1.03,1.47,-,-
25,Long-Term Deferred Tax Liabilities,33.65,33.64,34.03,34.32,35.23,33.34,-,-
26,Total Liabilities,1404,1512,1376,1397,1196,1127,-,-
27,Common Stock,146.67,146.67,146.67,146.67,146.67,146.67,-,-
28,Retained Earnings,478.55,464.3,409.39,382.61,320.84,291.6,-,-
29,Comprehensive Income & Other,206.59,213.54,216.67,224.12,242.53,242.54,-,-
30,Total Common Equity,831.81,824.51,772.72,753.4,710.04,680.8,-,-
31,Minority Interest,32.32,30.7,31.94,28.97,31.22,23.4,-,-
32,Shareholders' Equity,864.12,855.21,804.66,782.37,741.27,704.21,-,-
33,Total Liabilities & Equity,2269,2367,2181,2179,1937,1831,-,-
34,Total Debt,117.39,115.5,0.97,1.14,3.34,4.9,-,-
35,Net Cash (Debt),872.59,999.98,1048,1146,1026,1085,-,-
36,Net Cash Growth,-16.76%,-12.74%,2.14%,5.66%,-,-,-,-
37,Net Cash Per Share,5.95,6.82,7.15,7.81,7.00,9.00,-,-
38,Filing Date Shares Outstanding,146.67,146.67,146.67,146.67,146.67,146.67,110,-
39,Total Common Shares Outstanding,146.67,146.67,146.67,146.67,146.67,146.67,110,-
40,Working Capital,541.63,522.26,593.04,587.79,540.03,535.68,-,-
41,Book Value Per Share,5.67,5.62,5.27,5.14,4.84,4.64,-,-
42,Tangible Book Value,819.09,810.77,759.76,739.4,698.99,677.95,-,-
43,Tangible Book Value Per Share,5.58,5.53,5.18,5.04,4.77,4.62,-,-
44,Buildings,-,21.48,-,16.41,-,14.54,-,-
45,Machinery,-,92.14,-,80.55,-,40.4,-,-
