,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,142.41,312.53,228.02,392.23,414.33,490.71,598.42,651.46,503.74,536.66,871.22,1165,-,74.99,-,121.05
1,Trading Asset Securities,-,80.25,80.07,5,130.32,100.23,130.29,130.32,211.54,305.64,330.55,90,-,-,-,-,-
2,Cash & Short-Term Investments,222.66,222.66,392.6,233.02,522.55,514.57,621,728.74,863,809.38,867.2,961.22,1165,-,74.99,121.05,121.05
3,Cash Growth,-57.39%,-56.73%,-36.78%,-68.02%,-39.45%,-36.42%,-28.39%,-24.19%,-25.95%,-,1056.44%,694.09%,862.73%,-,-,-,-
4,Accounts Receivable,-,546.4,552.65,525.45,531.51,396.18,395.55,394.73,399.6,301.33,291.16,319.42,326.35,-,265.26,-,272.32
5,Other Receivables,-,11.09,13.23,19.87,11.78,9.86,7.73,16.44,6.56,6.62,8.02,8.36,9.37,-,7.43,-,8.16
6,Receivables,-,557.49,565.88,545.32,543.29,406.04,403.28,411.18,406.16,307.95,299.19,327.78,335.73,-,272.69,-,280.47
7,Inventory,-,354.27,313.02,302.24,285.26,344.54,264.14,254.92,220.63,265.6,232.86,203.84,189.58,-,213.28,-,167.72
8,Other Current Assets,-,23.58,24.14,251.16,17.05,48,8.94,11.49,8.73,24.72,21.33,21.35,3.14,-,9.77,-,8.42
9,Total Current Assets,-,1158,1296,1332,1368,1313,1297,1406,1499,1408,1421,1514,1694,-,570.73,-,577.66
10,"Property, Plant & Equipment",-,247.78,237.73,258.01,202.52,172.4,141.57,136.83,141.12,121.44,113.59,101.73,100.65,-,90.89,-,74.66
11,Long-Term Investments,-,218.61,127.56,97.14,91.08,94.73,99.1,4,14,4,4,-,-,-,-,-,-
12,Goodwill,-,30.97,30.97,30.97,30.97,30.83,17.17,17.17,17.17,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,140.96,142.86,144.75,146.69,147.75,142.87,144.54,145.93,134.16,134.16,135.17,136.18,-,136.2,-,137.8
14,Long-Term Deferred Tax Assets,-,29.09,25.31,23.42,21.23,21.56,18.56,12.08,13.19,12.92,11.04,9.06,8.9,-,12.24,-,8.22
15,Long-Term Deferred Charges,-,3.27,3.67,4.14,3.46,4.63,3.57,3.79,3.64,0.29,0.32,0.36,0.41,-,0.34,-,0.18
16,Other Long-Term Assets,-,52.41,11.57,16.06,10.15,15.62,11.53,21.04,10,13.28,4.56,4.45,4.34,-,16.11,-,15.92
17,Total Assets,-,1881,1875,1906,1874,1801,1732,1746,1844,1694,1688,1765,1944,-,826.52,-,814.43
18,Accounts Payable,-,101.92,111.5,105.44,126.13,83.47,73.24,83.75,103.46,53.82,49.47,50.34,84.88,-,56.68,-,59.47
19,Accrued Expenses,-,21.95,26.13,21.04,44.89,25.63,29.66,21.56,53.45,22.9,23.03,21.96,37.59,-,23.6,-,35.99
20,Short-Term Debt,-,147.86,136.45,97.1,42,30,30,30.36,49.82,39.85,51.05,91.84,92.02,-,80.8,-,62.46
21,Current Portion of Long-Term Debt,-,-,-,-,-,13.69,4.9,19.84,5.6,20.75,-,41.4,19.98,-,-,-,-
22,Current Portion of Leases,-,4.19,1.8,2.89,6.99,-,13.12,-,19.91,-,21.51,-,23.43,-,-,-,-
23,Current Income Taxes Payable,-,5.32,4.19,9.06,7.21,5,0.05,6.03,6.12,0.66,0,4.87,5.94,-,1.79,-,3.78
24,Current Unearned Revenue,-,136.14,119.59,140.8,121.88,172.67,105.24,85.09,84.46,125.38,115.63,96.14,90.94,-,109.85,-,79.84
25,Other Current Liabilities,-,87.7,82.63,129.24,94.23,77.63,39.45,36.32,37.89,25.78,21.81,30.78,137.11,-,64.86,-,57.01
26,Total Current Liabilities,-,505.07,482.29,505.58,443.33,408.08,295.67,282.94,360.71,289.14,282.51,337.33,491.87,-,337.59,-,298.56
27,Long-Term Debt,-,29.33,18.53,7.44,-,-,-,-,-,4.55,4.9,5.25,10.6,-,19.93,-,31.95
28,Long-Term Leases,-,3.63,4.74,7.23,5.26,4.55,6.73,6.82,8.21,13.9,18.69,18.79,22.69,-,34.24,-,-
