,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,4069,2874,1589,1369,1634,2156,2322,2807,3427,2219,1988,2422,2709,3627,-,-,-,-
1,Market Cap Growth,33.30%,33.30%,-31.59%,-51.23%,-52.33%,-2.85%,16.84%,15.92%,26.50%,-38.81%,-,-,-,-,-,-,-,-
2,Enterprise Value,4007,2812,1337,1232,1144,1667,1764,2146,2687,1480,1207,1609,2761,3679,-,-,-,-
3,Last Close Price,36.60,25.85,14.29,12.11,14.45,19.07,20.54,24.71,30.16,19.53,17.49,21.31,23.68,31.70,-,-,-,-
4,PE Ratio,-,-,-,-,-,-201.86,-,-,-,47.11,34.86,-,-,65.21,-,-,-,-
5,Forward PE,-,25.58,25.58,25.58,25.58,25.58,25.68,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.79,5.45,2.90,2.39,2.99,3.95,4.59,5.38,6.78,4.45,4.17,5.12,5.61,7.70,-,-,-,-
7,PB Ratio,3.02,2.17,1.20,1.02,1.20,1.54,1.71,2.00,2.39,1.53,1.45,1.77,1.96,2.59,-,-,-,-
8,P/TBV Ratio,2.45,2.45,1.35,1.15,1.36,1.74,1.93,2.27,2.72,1.74,1.60,1.95,2.15,2.85,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-10.71,-,-,-,-34.31,-,-,-,106.40,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-17.96,-,-106.01,-,119.13,-,60.06,-,56.23,-,-,-,-
11,EV/Sales Ratio,7.61,5.34,2.44,2.15,2.10,3.05,3.49,4.11,5.32,2.97,2.53,3.40,5.71,7.81,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-75.02,-,-,-,37.71,20.58,-,-,41.75,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-41.06,-,-,-,65.18,-,-,-,62.63,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-8.28,-,-,-,-22.88,-,-,-,107.94,-,-,-,-
15,Debt / Equity Ratio,0.14,0.14,0.14,0.12,0.08,0.04,0.04,0.04,0.04,0.06,0.06,0.07,0.11,0.12,-,0.32,0.22,0.22
16,Debt / EBITDA Ratio,-,-,-,-,-,0.26,-,-,-,0.26,8.56,8.15,-,0.43,-,2.77,-,0.27
17,Debt / FCF Ratio,-,-,-,-,-,-0.27,-,-,-,-1.29,-,-,-,4.95,-,-3.96,-,-
18,Asset Turnover,-,0.09,0.20,0.12,0.76,0.15,0.16,0.13,0.70,0.20,0.12,0.11,-,-,-,-,-,
19,Inventory Turnover,-,-,0.33,0.78,0.49,2.89,0.56,0.82,0.51,3.01,0.78,0.58,0.66,-,-,-,-,-
20,Quick Ratio,-,-,1.54,1.99,1.54,2.40,2.26,3.46,4.03,3.52,3.86,4.13,3.82,3.05,-,1.03,-,1.34
21,Current Ratio,-,-,2.29,2.69,2.63,3.09,3.22,4.39,4.97,4.15,4.87,5.03,4.49,3.44,-,1.69,-,1.93
22,Return on Equity (ROE),-2.96%,-7.44%,-1.77%,-7.07%,12.13%,-6.53%,-3.57%,-5.02%,18.93%,0.92%,-1.53%,-4.21%,-,-,0.84%,-14.47%,-,
23,Return on Assets (ROA),-,-3.91%,-1.39%,-3.81%,4.19%,-4.12%,-3.05%,-2.94%,7.49%,-0.28%,-1.76%,-2.18%,-,-,-,-,-,
24,Return on Capital (ROIC),-1.81%,-4.87%,-1.76%,-4.92%,5.39%,-5.07%,-3.59%,-3.49%,8.89%,-0.33%,-2.03%,-2.60%,-,-,1.44%,-7.57%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-2.84%,-,-,-,1.53%,-,-,-,4.04%,-,13.35%,-,15.13%
26,Earnings Yield,-1.60%,-2.26%,-0.83%,-0.69%,-0.93%,-0.50%,0.78%,1.38%,1.31%,2.12%,2.87%,2.06%,2.07%,1.53%,-,-,-,-
27,FCF Yield,-,-14.25%,-18.64%,-12.64%,-9.33%,-6.70%,-3.74%,-2.96%,-2.91%,-1.92%,-0.45%,0.26%,0.94%,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.64%,-,-,-,0.47%,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,3.96%,-,-,-,1.67%,18.67%,-,-,0.30%,-,6.77%,-,-
30,Buyback Yield / Dilution,5.50%,14.41%,5.60%,-0.27%,0.67%,-11.98%,-6.81%,3.33%,-7.95%,-39.30%,-37.99%,-77.74%,2.40%,-1.79%,-,-,-,-
31,Total Shareholder Return,5.50%,14.41%,5.60%,-0.27%,0.67%,-11.98%,-6.81%,3.33%,-7.95%,-38.66%,-37.99%,-77.74%,2.40%,-1.32%,-,-,-,-
