,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,329.37,43.56,95.77,58.21,350.43,68.18,69.14,58.51,309.89,84.47,52.36,51.78,288.19,80.59,62.44,39.6,306.09
1,Other Revenue,-,-0.02,0.02,-,-,-,-,-,-,-,-,-,0.19,-0.1,0.1,-,0.12
2,Revenue,329.37,43.54,95.79,58.21,350.43,68.18,69.14,58.51,309.89,84.47,52.36,51.78,288.38,80.49,62.53,39.6,306.21
3,Revenue Growth (YoY),-6.01%,-36.13%,38.54%,-0.51%,13.08%,-19.29%,32.04%,13.00%,7.46%,4.94%,-16.27%,30.75%,-5.82%,-,-,-,-
4,Cost of Revenue,-123.74,27.5,60.14,36.1,227.85,42.97,52.89,30.34,183.08,48.43,31.9,32.56,154.28,50.07,34.95,20.72,184
5,Gross Profit,453.11,16.05,35.65,22.11,122.58,25.21,16.25,28.17,126.82,36.04,20.46,19.22,134.1,30.42,27.59,18.88,122.21
6,"Selling, General & Admin",-87.17,27.91,22.71,36.55,36.03,33.71,23.66,34.58,27.9,25.4,21.65,30.01,24.92,19.68,19.12,26.49,83.79
7,Research & Development,-47.6,12.39,18.28,16.92,12.45,17.29,16.45,16.26,13.13,14.24,13.83,12.12,13.44,12.2,11.01,9.01,33.93
8,Other Operating Expenses,612.68,-3.61,0.57,-3.15,2.73,-2.54,-1.49,-4.28,6.15,-1.97,-1.59,-7.33,5.75,-1.11,-2.44,-4.24,-86.98
9,Operating Expenses,464.03,45.41,46.13,50.93,91.77,54.29,37.47,49.28,73.82,37.96,32.64,35.42,61.91,31.08,24.5,34.75,44.16
10,Operating Income,-10.92,-29.36,-10.49,-28.82,30.81,-29.08,-21.21,-21.11,52.99,-1.91,-12.18,-16.2,72.19,-0.66,3.09,-15.87,78.05
11,Interest Expense,-7.44,-1.75,-1.18,-0.62,-0.73,-0.53,-0.76,-0.81,-1.28,-0.86,-1.66,-1.99,-2.38,-2.42,-2.38,-2.54,-10.75
12,Interest & Investment Income,3.54,3.15,1.79,2.51,2.72,4.56,3.9,5.4,4.64,6.5,4.79,5.16,0.36,0.34,0.27,0.36,0.93
13,Other Non Operating Income (Expenses),0.2,-0.39,0.53,-0.06,0.32,0.01,-0.08,0.11,-1.62,0.45,-0.61,-0.05,-0.56,0.19,-0.36,-0.1,-0.51
14,EBT Excluding Unusual Items,-14.62,-28.36,-9.35,-26.99,33.13,-25.04,-18.15,-16.41,54.73,4.17,-9.66,-13.08,69.61,-2.55,0.63,-18.15,67.71
15,Gain (Loss) on Sale of Investments,0.07,0.18,0.07,-0.32,0.09,-0.06,-0.03,-1.22,0.9,0.1,0.55,-,-0.01,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.59,0.36,0.06,0.17,0.06,-0.12,0.08,0.01,0.01,0.03,0,0,0.11,0.09,0.01,0,0.03
17,Asset Writedown,-0.26,0.26,0.18,-0.18,0.49,-0.49,0.15,-0.15,3.05,-3.05,1.71,-1.71,4.85,-4.85,0.07,-0.07,-
18,Other Unusual Items,-0.37,-1.28,1.32,0.33,8.79,0.09,-0.09,-,8.53,-,-,-,7.5,-,-,-,12.59
19,Pretax Income,-15.78,-28.83,-7.72,-26.99,42.55,-25.61,-18.05,-17.77,67.22,1.25,-7.4,-14.79,82.05,-7.31,0.71,-18.21,80.34
20,Income Tax Expense,-5.98,-3.99,-1.72,-2.58,0.74,-3.07,-5.38,0.33,0.51,-1.91,-2.13,-0.15,9.07,-2.32,-0.18,-2.66,10.1
21,Earnings From Continuing Operations,-9.8,-24.84,-6,-24.41,41.81,-22.55,-12.67,-18.1,66.71,3.15,-5.26,-14.64,72.99,-4.99,0.89,-15.55,70.24
