,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4645,3177,2447,1911,2409,3005,4287,6519,7515,6198,5591,4147,3447,6118,6518,-,-,-,-,-,-
1,Market Cap Growth,5.74%,5.74%,-42.92%,-70.69%,-67.95%,-51.52%,-23.33%,57.22%,118.00%,1.31%,-14.22%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4569,3102,2378,1842,2275,2871,4117,6312,7250,5932,5304,3862,3154,5824,6429,-,-,-,-,-,-
3,Last Close Price,53.13,36.34,29.98,23.41,29.37,36.63,52.27,79.49,91.68,75.61,68.22,50.59,41.94,74.44,79.31,-,-,-,-,-,-
4,PE Ratio,40.56,29.56,29.92,29.61,-,47.92,-,79.78,-,53.40,58.93,43.01,-,75.31,97.50,-,-,-,-,-,-
5,Forward PE,33.84,24.76,21.96,18.51,16.18,23.81,26.30,39.28,43.62,39.04,38.47,29.96,25.75,50.41,58.19,-,-,-,-,-,-
6,PS Ratio,7.47,5.44,4.52,3.73,4.80,6.03,8.18,11.99,13.31,11.33,11.56,8.95,8.40,15.41,18.82,-,-,-,-,-,-
7,PB Ratio,5.41,3.96,3.05,2.40,3.07,3.75,5.85,8.74,10.05,8.15,8.21,6.24,5.53,9.64,11.15,-,-,-,-,-,-
8,P/TBV Ratio,4.00,4.00,3.08,2.43,3.11,3.79,5.93,8.85,10.18,8.25,8.32,6.33,5.62,9.79,11.33,-,-,-,-,-,-
