,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,240.99,127.8,154.17,60.78,173.85,98.99,143.78,57.17,210.84,121.03,161.95,39.64,146,96.23,113.21,26.38,106.17,61.92,74.65,16.66
1,Other Revenue,-,-4.99,4.99,-,24.25,-5.1,5.1,-,13.58,-7.79,7.79,-,15.27,-3.64,3.64,-,4.39,-0.59,0.54,0.05
2,Revenue,240.99,122.8,159.17,60.78,198.1,93.9,148.88,57.17,224.42,113.23,169.74,39.64,161.28,92.59,116.85,26.38,110.55,61.32,75.19,16.72
3,Revenue Growth (YoY),21.65%,30.79%,6.91%,6.32%,-11.73%,-17.08%,-12.29%,44.22%,39.15%,22.30%,45.26%,50.24%,45.88%,50.99%,55.41%,57.83%,-,-,-,-
4,Cost of Revenue,-130.7,48.29,59.46,22.95,76.15,37.42,54.96,20.45,73.65,41.61,65.22,15.56,68.84,31.12,45.65,8.18,34.15,21.09,22.4,4.44
5,Gross Profit,371.69,74.52,99.7,37.83,121.95,56.47,93.91,36.71,150.77,71.62,104.52,24.07,92.44,61.47,71.2,18.2,76.4,40.23,52.78,12.28
6,"Selling, General & Admin",-138.95,54.64,44.08,40.24,17.6,52.84,51.83,41.34,43.45,44.41,37.52,33.61,29.11,35.48,26.48,26.45,27.34,23.48,22.23,15.96
7,Research & Development,-87.94,30.38,29.96,27.6,10.87,35.43,33.33,29.5,27.64,26.91,20.29,17.15,16.51,16.53,12.77,12.87,11.98,10.85,8.7,8.6
8,Other Operating Expenses,492.24,-9.13,-3.37,-3.14,-1.57,-7.45,-6.04,-7,-4.78,-7.04,-4.5,-2.51,-6.06,-3.53,-6.4,-1.2,-1.17,-3.24,-6.83,0.42
