,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters
0,Market Capitalization,268,331,189,215,341,352,488,620,550,405,295,Upgrade
1,Market Cap Growth,53.66%,53.66%,-44.62%,-38.81%,-30.11%,-43.22%,-11.19%,53.04%,86.44%,9.46%,-21.33%,Upgrade
2,Enterprise Value,239,310,177,186,310,304,434,577,522,365,269,Upgrade
3,Last Close Price,0.26,0.32,0.18,0.20,0.31,0.32,0.43,0.55,0.51,0.37,0.27,Upgrade
4,PE Ratio,-,-,-,-,59.49,58.05,72.94,98.27,43.01,36.87,112.55,Upgrade
5,PS Ratio,2.17,2.81,1.52,1.40,2.16,2.06,2.85,4.29,3.78,2.73,1.86,Upgrade
6,PB Ratio,2.25,2.78,1.34,1.36,1.89,2.06,2.79,3.64,3.80,2.86,2.09,Upgrade
7,P/TBV Ratio,2.78,2.78,1.40,1.45,2.03,2.22,2.80,3.65,3.79,2.86,2.09,Upgrade
8,P/FCF Ratio,17.99,22.23,20.03,601.54,-,-,872.29,-,71.26,-,24.48,Upgrade
9,P/OCF Ratio,21.72,21.72,18.87,273.64,-,-,89.20,-,61.95,-,23.56,Upgrade
10,EV/Sales Ratio,1.93,2.64,1.42,1.20,1.97,1.78,2.53,4.00,3.59,2.46,1.70,Upgrade
11,EV/EBITDA Ratio,-,-,-,22.03,29.34,28.41,36.82,58.66,35.78,19.21,10.60,Upgrade
12,EV/EBIT Ratio,-,-,-,39.48,48.21,42.17,49.60,84.30,45.77,23.23,12.16,Upgrade
13,EV/FCF Ratio,16.04,20.83,18.71,518.59,-,-,774.72,-,67.68,-,22.31,Upgrade
14,Debt / Equity Ratio,0.10,0.10,0.11,0.11,0.10,0.12,0.13,0.14,0.18,0.20,0.22,Upgrade
15,Debt / FCF Ratio,0.83,0.83,1.66,50.35,-,-,40.23,-,3.42,-,2.57,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,2.92%,3.54%,4.18%,4.95%,3.99%,7.81%,11.03%,15.57%,Upgrade
17,Earnings Yield,-8.34%,-6.23%,-5.90%,1.10%,1.68%,1.72%,1.37%,1.02%,2.33%,2.71%,0.89%,Upgrade
18,FCF Yield,5.56%,4.50%,4.99%,0.17%,-1.46%,2.09%,0.11%,0.22%,1.40%,2.83%,4.08%,Upgrade
19,Buyback Yield / Dilution,-,-,-,0.27%,-3.51%,-5.34%,-1.49%,-,-,-,Upgrade,
20,Total Shareholder Return,-,-,-,0.27%,-3.51%,-5.34%,-1.49%,-,-,-,Upgrade,
