,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters
0,Interest and Dividend Income,10.44,10.64,13.82,14.17,15.94,14.31,10.62,2.91,1.94,0.61,Upgrade
1,Total Interest Expense,23.39,9.9,6.1,5.98,5.13,6.09,2.81,1.97,0.1,0.13,Upgrade
2,Net Interest Income,-12.96,0.74,7.72,8.19,10.81,8.22,7.81,0.95,1.84,0.48,Upgrade
3,Brokerage Commission,11.68,9.2,7.97,9.92,3.39,3.21,5.34,5.27,1.75,0.2,Upgrade
4,Underwriting & Investment Banking Fee,32.34,58.52,64.89,32.49,77.61,51.43,71.49,183.21,97.98,12.71,Upgrade
5,Other Revenue,28.6,22.74,14.58,9.36,28.25,83.54,69.13,66.36,67.12,80.13,Upgrade
6,Revenue Before Loan Losses,59.65,91.2,95.16,59.95,120.06,146.39,153.77,255.79,168.69,93.52,Upgrade
7,Provision for Loan Losses,-0.44,2.07,4.01,-0.84,1.44,-2.94,2.69,1.28,0.5,0.16,Upgrade
8,Revenue,60.09,89.13,91.15,60.79,118.62,149.33,151.08,254.51,168.19,93.36,Upgrade
9,Revenue Growth (YoY),-34.07%,46.61%,-23.16%,-59.29%,-21.49%,-41.33%,-10.17%,172.62%,26.82%,72.05%,Upgrade
10,Salaries & Employee Benefits,-,-,-,15.51,-,-,-,31.96,-,-1.79,Upgrade
11,Cost of Services Provided,83.91,84.26,99.99,70.03,100.81,112.42,105.91,101.67,153.53,97.55,Upgrade
12,Other Operating Expenses,-1.49,0.43,-1.94,-2.04,-0.91,-0.02,-0.33,-1.47,-0.3,-0.09,Upgrade
13,Total Operating Expenses,82.41,86.93,98.09,83.22,101.24,111.81,106.45,132.47,153.68,95.67,Upgrade
14,Operating Income,-22.32,2.2,-6.94,-22.43,17.39,37.52,44.64,122.05,14.51,-2.31,Upgrade
15,Currency Exchange Gains,-,-0.07,-,0.28,0.03,0.09,-0.02,0.94,0.49,-,Upgrade
16,Other Non-Operating Income (Expenses),1.29,0.42,2.83,0.7,0.02,0.02,0.08,0.01,0,0,Upgrade
17,EBT Excluding Unusual Items,-21.03,4.89,2.04,-20.26,17.43,37.63,44.69,122.99,15,-2.31,Upgrade
18,Impairment of Goodwill,-,-,-,1.34,-1.34,-,-,-,-,-,Upgrade
19,Asset Writedown,-,0.03,-0.03,0.83,-0.83,-,-,-,-,-0.75,Upgrade
20,Gain (Loss) on Sale of Investments,29.35,24.4,5.54,0.58,-41.51,27.85,10.06,23.77,54.53,-1.45,Upgrade
21,Other Unusual Items,-0.01,67.96,-,-0.88,0.87,0.31,-,1.03,1.17,-,Upgrade
22,Pretax Income,8.36,97.28,7.56,-18.39,-25.37,65.78,54.75,147.09,70.7,-4.52,Upgrade
23,Income Tax Expense,0.61,4.36,0.57,0.59,4.83,7.6,3.16,12.57,4.43,-0.58,Upgrade
24,Net Income,7.75,92.92,6.98,-18.98,-30.2,58.19,51.59,134.53,66.27,-3.94,Upgrade
25,Net Income to Common,7.75,92.92,6.98,-18.98,-30.2,58.19,51.59,134.53,66.27,-3.94,Upgrade
26,Net Income Growth,10.97%,-,-,-,-,-56.75%,-22.15%,-,-,-,Upgrade
27,Shares Outstanding (Basic),1480,1424,1429,1418,1431,1432,1439,1430,1335,1166,Upgrade
28,Shares Outstanding (Diluted),1490,1441,1434,1418,1431,1437,1446,1442,1335,1166,Upgrade
29,Shares Change (YoY),3.92%,1.67%,0.18%,-1.31%,-1.04%,-0.35%,8.28%,23.59%,14.59%,-2.20%,Upgrade
30,EPS (Basic),0.01,0.07,0.00,-0.01,-0.02,0.04,0.04,0.09,0.05,-0.00,Upgrade
31,EPS (Diluted),0.01,0.06,0.00,-0.01,-0.02,0.04,0.04,0.09,0.05,-0.00,Upgrade
32,EPS Growth,6.45%,-,-,-,-,-56.55%,-28.06%,-,-,-,Upgrade
33,Free Cash Flow,-22.43,180.26,-23.02,229.25,-35.06,145.61,-39.65,11.43,36.88,7.75,Upgrade
34,Free Cash Flow Per Share,-0.02,0.13,-0.02,0.16,-0.02,0.10,-0.03,0.01,0.03,0.01,Upgrade
35,Dividend Per Share,-,-,-,-,-,0.013,0.010,0.035,0.007,-,Upgrade
36,Dividend Growth,-,-,-,-,-,-60.87%,51.52%,-,-,-,Upgrade
37,Operating Margin,-37.14%,2.46%,-7.61%,-36.90%,14.66%,25.13%,29.54%,47.95%,8.63%,-2.48%,Upgrade
38,Profit Margin,12.89%,104.26%,7.66%,-31.22%,-25.46%,38.96%,34.15%,52.86%,39.40%,-4.22%,Upgrade
39,Free Cash Flow Margin,-37.32%,202.25%,-25.25%,377.11%,-29.56%,97.51%,-26.24%,4.49%,21.93%,8.30%,Upgrade
