,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,156.26,248.33,281.7,-,568.51,-,182.59,182.59,-,-
1,Short-Term Investments,-,290.95,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,156.26,539.28,281.7,-,568.51,182.59,182.59,182.59,-,-
3,Cash Growth,-72.51%,195.35%,54.28%,-,-,-,-,-,-,-
4,Accounts Receivable,277.35,294.48,311.41,-,308.05,-,247.71,247.71,-,-
5,Other Receivables,17.63,20.29,19.37,-,4.99,-,8.29,8.29,-,-
6,Receivables,294.99,314.77,330.78,-,313.04,-,255.99,255.99,-,-
7,Inventory,74.6,86.61,79.52,-,73.81,-,70.99,70.99,-,-
8,Other Current Assets,369.98,13.17,249.06,-,22.05,-,6.01,6.01,-,-
9,Total Current Assets,895.83,953.82,941.07,-,977.41,-,515.58,515.58,-,-
10,"Property, Plant & Equipment",152,134.84,117.97,-,98.13,-,70.38,70.38,-,-
11,Other Intangible Assets,9.17,9.24,9.3,-,9.42,-,9.59,9.59,-,-
12,Long-Term Deferred Tax Assets,2.58,3.1,2.69,-,2.47,-,2.3,2.3,-,-
13,Long-Term Deferred Charges,5.93,6.31,4.98,-,6.28,-,7.43,7.43,-,-
14,Other Long-Term Assets,25.1,22.51,15.99,-,1.22,-,2.82,2.82,-,-
15,Total Assets,1091,1130,1092,-,1095,-,608.1,608.1,-,-
16,Accounts Payable,124.01,143.08,111.08,-,122.54,-,75.78,75.78,-,-
17,Accrued Expenses,5.76,5.73,5.08,-,5.09,-,8.39,8.39,-,-
18,Short-Term Debt,-,10,-,-,-,-,15.01,15.01,-,-
19,Current Portion of Leases,6.61,7.44,6.47,-,5.21,-,7.57,7.57,-,-
20,Current Income Taxes Payable,1.03,1.61,0.84,-,2.07,-,0.76,0.76,-,-
21,Current Unearned Revenue,0.04,0.96,0.02,-,0.54,-,0.17,0.17,-,-
22,Other Current Liabilities,0.64,12.78,0,-,0.32,-,14.7,14.7,-,-
23,Total Current Liabilities,138.1,181.6,123.5,-,135.77,-,122.38,122.38,-,-
24,Long-Term Leases,13.28,13.18,13,-,13.4,-,15.03,15.03,-,-
25,Long-Term Unearned Revenue,2.64,2.66,2.67,-,2.72,-,0.45,0.45,-,-
26,Long-Term Deferred Tax Liabilities,0.85,1.12,1.97,-,3.3,-,3.2,3.2,-,-
27,Total Liabilities,154.87,198.55,141.14,-,155.19,-,141.06,141.06,-,-
28,Common Stock,68.69,68.69,68.69,-,68.69,-,51.52,51.52,-,-
29,Additional Paid-In Capital,574.25,574.25,574.25,-,574.25,-,149.09,149.09,-,-
30,Retained Earnings,255.77,252.66,261.95,-,248.03,-,223.13,223.13,-,-
31,Total Common Equity,898.71,895.6,904.89,-,890.97,423.74,423.74,423.74,-,-
32,Minority Interest,37.04,35.66,45.97,-,48.78,-,43.31,43.31,-,-
33,Shareholders' Equity,935.75,931.26,950.86,-,939.75,467.04,467.04,467.04,-,-
34,Total Liabilities & Equity,1091,1130,1092,-,1095,-,608.1,608.1,-,-
35,Total Debt,19.89,30.62,19.48,-,18.61,37.6,37.6,37.6,-,-
36,Net Cash (Debt),136.36,508.66,262.23,-,549.89,144.99,144.99,144.99,-,-
37,Net Cash Growth,-75.20%,250.82%,80.86%,-,-,-,-,-,-,-
38,Net Cash Per Share,1.91,7.75,3.65,-,10.48,2.87,2.81,2.81,-,-
39,Filing Date Shares Outstanding,68.69,68.69,68.69,73.46,68.69,50.55,51.65,51.65,51.64,51.64
40,Total Common Shares Outstanding,68.69,68.69,68.69,73.46,68.69,50.55,51.65,51.65,51.64,51.64
41,Working Capital,757.73,772.22,817.57,-,841.64,-,393.2,393.2,-,-
42,Book Value Per Share,13.08,13.04,13.17,-,12.97,8.20,8.20,8.20,-,-
43,Tangible Book Value,889.53,886.36,895.59,-,881.54,414.15,414.15,414.15,-,-
44,Tangible Book Value Per Share,12.95,12.90,13.04,-,12.83,8.02,8.02,8.02,-,-
45,Machinery,-,69.71,-,-,52.88,-,50.72,50.72,-,-
46,Construction In Progress,-,78.7,-,-,39,-,6.66,6.66,-,-
