,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2157,1945,1758,2106,2911,2791,-,-,-,-,-
1,Market Cap Growth,-33.18%,-30.31%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2057,1472,1541,1901,2410,2793,-,-,-,-,-
3,Last Close Price,31.40,28.28,25.56,30.39,42.00,40.28,-,-,-,-,-
4,PE Ratio,156.61,104.57,58.04,58.59,66.58,58.62,-,-,-,-,-
5,PS Ratio,3.23,2.76,2.40,2.97,4.25,4.42,-,-,-,-,-
6,PB Ratio,2.40,2.08,1.89,2.21,-,2.97,-,-,-,-,-
7,P/TBV Ratio,2.19,2.19,1.98,2.35,-,3.17,-,-,-,-,-
8,P/FCF Ratio,-,-,99.87,-,-,96.89,-,-,-,-,-
9,P/OCF Ratio,32.85,26.93,22.30,-10705.38,122.65,54.95,-,-,-,-,-
10,EV/Sales Ratio,3.02,2.09,2.11,2.68,3.51,4.42,-,-,-,-,-
11,EV/EBITDA Ratio,66.96,40.82,42.30,37.68,42.23,50.94,-,-,-,-,-
12,EV/EBIT Ratio,130.30,49.65,51.15,42.79,46.93,56.94,-,-,-,-,-
13,EV/FCF Ratio,-701.63,-,87.58,-,-,96.93,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.03,0.02,-,0.02,0.08,0.08,0.08,-,-
15,Debt / EBITDA Ratio,0.65,0.45,0.93,0.86,-,0.31,0.50,0.66,0.66,-,-
16,Debt / FCF Ratio,-,-,1.74,-,-,0.65,-,0.27,0.34,-,-
17,Asset Turnover,0.60,0.60,-,-,-,-,0.97,-,-,-,
18,Inventory Turnover,-,7.14,7.04,-,-,-,-,6.93,-,-,-
19,Quick Ratio,3.27,3.27,4.70,4.96,-,6.49,-,3.58,3.58,-,-
20,Current Ratio,6.49,6.49,5.25,7.62,-,7.20,-,4.21,4.21,-,-
21,Return on Equity (ROE),1.92%,2.82%,-,-,10.39%,10.37%,11.86%,-,-,-,
22,Return on Assets (ROA),2.11%,0.71%,-,-,-,-,4.47%,-,-,-,
23,Return on Capital (ROIC),2.44%,0.82%,-,-,3.37%,8.65%,5.38%,-,-,-,
24,Return on Capital Employed (ROCE),1.66%,3.11%,3.18%,4.59%,-,5.11%,-,12.38%,10.14%,-,-
25,Earnings Yield,0.65%,0.96%,1.72%,1.71%,1.50%,1.71%,-,-,-,-,-
26,FCF Yield,-0.14%,0.51%,1.00%,-2.38%,-0.30%,1.03%,-,-,-,-,-
27,Dividend Yield,0.25%,0.14%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,98.17%,0.99%,308.81%,-,0.09%,92.80%,1.20%,3.13%,3.13%,3.73%,3.73%
29,Buyback Yield / Dilution,-22.59%,-36.34%,-29.80%,-38.94%,-42.24%,-1.62%,2.11%,-,-,-,-
30,Total Shareholder Return,-22.34%,-36.20%,-29.80%,-38.94%,-42.24%,-1.62%,2.11%,-,-,-,-
