,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,169.12,165.66,170.5,201.51,191.99,145.37,146.07,146.07,252.88,252.88
1,Other Revenue,-1.33,1.33,-,-0.77,0.77,-,0.71,0.71,2.27,2.27
2,Revenue,167.8,166.99,170.5,200.74,192.76,145.37,146.78,146.78,255.15,255.15
3,Revenue Growth (YoY),-12.95%,14.87%,16.16%,36.76%,-24.45%,-43.02%,-,-,-,-
4,Cost of Revenue,143.93,146.12,150.33,171.88,166.75,119.93,122.92,122.92,218.08,218.08
5,Gross Profit,23.87,20.87,20.16,28.86,26.02,25.45,23.86,23.86,37.07,37.07
6,"Selling, General & Admin",10.48,12.63,11.39,9.79,10.23,7.22,8.67,8.67,8.94,8.94
7,Research & Development,4.06,5.12,4.73,5.55,6.29,2.21,5.19,5.19,8.48,8.48
8,Other Operating Expenses,0.15,0.08,0.18,0.1,-0.66,-1.78,0.12,0.12,0.45,0.45
9,Operating Expenses,14.51,17.7,16.22,15.69,16.17,7.99,12.99,12.99,17.87,17.87
10,Operating Income,9.37,3.17,3.94,13.17,9.85,17.46,10.87,10.87,19.2,19.2
11,Interest Expense,-0.25,-0.21,-0.22,-0.2,-0.18,-0.4,-0.62,-0.62,-1.11,-1.11
12,Interest & Investment Income,1.89,2.43,1.58,0.85,0.66,0.53,0.26,0.26,0.02,0.02
13,Currency Exchange Gain (Loss),-1.8,1.8,-,-6.51,6.51,-,6,6,7.73,7.73
14,Other Non Operating Income (Expenses),-0.87,-0.17,0.03,4.77,3.1,-3.39,0.02,0.02,-0.17,-0.17
15,EBT Excluding Unusual Items,8.33,7.03,5.33,12.07,19.95,14.2,16.52,16.52,25.66,25.66
16,Gain (Loss) on Sale of Investments,-0.05,-0.19,-0,0.08,-0.32,0.12,-3.48,-3.48,0.06,0.06
17,Gain (Loss) on Sale of Assets,-0.11,0.06,-0.06,-,-,-,-0,-0,0.01,0.01
18,Asset Writedown,-3.48,0.32,-0.39,-0.89,0.93,-0.93,-0.02,-0.02,-,-
19,Other Unusual Items,0.29,0.03,0.07,-,-,-,1.75,1.75,0.39,0.39
20,Pretax Income,4.99,7.25,4.95,11.26,20.56,13.38,14.76,14.76,26.13,26.13
21,Income Tax Expense,0.51,0.61,0.3,1.36,2.3,1.28,0.92,0.92,2.75,2.75
22,Earnings From Continuing Operations,4.48,6.64,4.65,9.9,18.26,12.11,13.85,13.85,23.38,23.38
23,Minority Interest in Earnings,-1.38,-2.19,-1.06,-2.44,-3.48,-1.99,-2.48,-2.48,-3.76,-3.76
24,Net Income,3.11,4.45,3.59,7.46,14.79,10.11,11.36,11.36,19.62,19.62
25,Net Income to Common,3.11,4.45,3.59,7.46,14.79,10.11,11.36,11.36,19.62,19.62
26,Net Income Growth,-78.99%,-56.00%,-68.42%,-34.35%,-24.65%,-48.48%,-,-,-,-
27,Shares Outstanding (Basic),72,66,72,73,52,51,52,52,52,52
28,Shares Outstanding (Diluted),72,66,72,73,52,51,52,52,52,52
29,Shares Change (YoY),36.34%,29.80%,38.94%,42.24%,1.62%,-2.11%,-,-,-,-
30,EPS (Basic),0.04,0.07,0.05,0.10,0.28,0.20,0.22,0.22,0.38,0.38
31,EPS (Diluted),0.04,0.07,0.05,0.10,0.28,0.20,0.22,0.22,0.38,0.38
32,EPS Growth,-84.59%,-66.10%,-77.27%,-53.85%,-25.85%,-47.37%,-,-,-,-
33,Free Cash Flow,-3.59,30.34,-10.26,-6.5,4.01,-37.32,31.06,31.06,39.39,39.39
34,Free Cash Flow Per Share,-0.05,0.46,-0.14,-0.09,0.08,-0.74,0.60,0.60,0.76,0.76
35,Dividend Per Share,0.040,-,-,-,-,-,-,-,-,-
36,Gross Margin,14.23%,12.50%,11.83%,14.38%,13.50%,17.50%,16.26%,16.26%,14.53%,14.53%
37,Operating Margin,5.58%,1.90%,2.31%,6.56%,5.11%,12.01%,7.40%,7.40%,7.52%,7.52%
38,Profit Margin,1.85%,2.66%,2.10%,3.72%,7.67%,6.96%,7.74%,7.74%,7.69%,7.69%
39,Free Cash Flow Margin,-2.14%,18.17%,-6.02%,-3.24%,2.08%,-25.67%,21.16%,21.16%,15.44%,15.44%
40,EBITDA,11.09,4.79,5.67,14.51,11.47,18.8,12.28,12.28,20.47,20.47
41,EBITDA Margin,6.61%,2.87%,3.32%,7.23%,5.95%,12.93%,8.36%,8.36%,8.02%,8.02%
42,D&A For EBITDA,1.72,1.62,1.72,1.34,1.62,1.34,1.41,1.41,1.27,1.27
43,EBIT,9.37,3.17,3.94,13.17,9.85,17.46,10.87,10.87,19.2,19.2
44,EBIT Margin,5.58%,1.90%,2.31%,6.56%,5.11%,12.01%,7.40%,7.40%,7.52%,7.52%
45,Effective Tax Rate,10.13%,8.44%,6.15%,12.07%,11.18%,9.53%,6.23%,6.23%,10.51%,10.51%
46,Revenue as Reported,167.8,166.99,170.5,200.74,192.76,145.37,146.78,146.78,255.15,255.15
