,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,25134,37230,36335,41968,31663,40665,33039,31547,20937,26944
1,Revenue Growth (YoY),-30.83%,-11.29%,14.75%,3.21%,-4.16%,28.90%,57.80%,17.08%,47.49%,38.30%
2,Cost of Revenue,22813,33539,31542,36330,25994,34007,26200,25413,15413,19030
3,Gross Profit,2321,3691,4792,5638,5669,6657,6838,6134,5524,7914
4,"Selling, General & Admin",1717,2140,1938,2591,1926,3005,3040,3190,2522,2871
5,Other Operating Expenses,102.4,-634.74,-67.6,-300.23,-159.93,-401.47,-337.33,-207.28,-258.31,-443.07
6,Operating Expenses,1883,1529,1929,2284,1807,2672,2711,2985,2264,2428
7,Operating Income,438.18,2162,2863,3354,3861,3985,4127,3149,3260,5486
8,Interest Expense,-169.29,-,-,-,-,-,-,-,-,-
9,Interest & Investment Income,94.01,157.14,158.23,1.67,438.46,282.58,322.04,281.24,160.18,113.35
10,Earnings From Equity Investments,966.25,-212.63,142.76,138.16,-37.51,62.19,-85.54,153.02,198.03,235.35
11,Currency Exchange Gain (Loss),-43.93,70.44,-166.61,-229.41,-233.59,51.26,71.98,226.86,-23.85,-11.19
12,Other Non Operating Income (Expenses),-,-367.41,-,-274.72,-,-245.95,-,-65.89,-,-
13,EBT Excluding Unusual Items,1285,1810,2997,2989,4029,4135,4436,3744,3594,5823
14,Gain (Loss) on Sale of Investments,3.24,23.67,-31.2,50.88,-7.1,128.33,19.67,42.12,120.91,209.59
15,Gain (Loss) on Sale of Assets,-0.41,-34.09,-128.68,-33.61,-23.61,31.79,-43.87,41.64,-0.11,-0.89
16,Asset Writedown,-64.13,-63.16,-86.61,-144.96,-136.8,12.46,0.07,31.38,-3.64,-1089
17,Other Unusual Items,-,-,-,-,165.23,-,-,-,-,-
18,Pretax Income,1224,1736,2751,2862,4026,4308,4412,3859,3711,4943
19,Income Tax Expense,627.74,1277,1085,1893,1418,2007,1409,1388,1357,2505
20,Earnings From Continuing Operations,596.18,459.57,1665,968.4,2608,2300,3002,2471,2354,2438
21,Minority Interest in Earnings,-220.31,-328.09,-883.4,-780.12,-1070,-711.85,-847.4,-168.88,-330.14,97.93
22,Net Income,375.87,131.49,782.1,188.28,1538,1589,2155,2302,2024,2536
23,Net Income to Common,375.87,131.49,782.1,188.28,1538,1589,2155,2302,2024,2536
24,Net Income Growth,-51.94%,-30.16%,-49.15%,-88.15%,-28.63%,-31.00%,6.46%,-9.20%,14.40%,46.00%
25,Shares Outstanding (Basic),1431,1414,1348,1339,1232,1229,1230,1231,1231,1195
26,Shares Outstanding (Diluted),1431,1414,1348,1345,1232,1235,1230,1231,1231,1195
27,Shares Change (YoY),6.11%,5.18%,9.41%,8.84%,0.17%,0.39%,-0.02%,3.00%,3.36%,10.21%
28,EPS (Basic),0.26,0.09,0.58,0.14,1.25,1.29,1.75,1.87,1.64,2.12
29,EPS (Diluted),0.26,0.09,0.58,0.14,1.25,1.29,1.75,1.87,1.64,2.12
30,EPS Growth,-55.17%,-33.79%,-53.53%,-89.27%,-28.68%,-31.00%,6.39%,-11.85%,10.68%,32.48%
31,Free Cash Flow,-3920,2066,1406,4752,-1776,10627,-7530,4698,-6754,8820
32,Free Cash Flow Per Share,-2.74,1.46,1.04,3.53,-1.44,8.60,-6.12,3.82,-5.49,7.38
33,Operating Margin,1.74%,5.81%,7.88%,7.99%,12.19%,9.80%,12.49%,9.98%,15.57%,20.36%
34,Profit Margin,1.50%,0.35%,2.15%,0.45%,4.86%,3.91%,6.52%,7.30%,9.67%,9.41%
35,Free Cash Flow Margin,-15.60%,5.55%,3.87%,11.32%,-5.61%,26.13%,-22.79%,14.89%,-32.26%,32.73%
36,EBITDA,505.34,2180,2942,3372,3935,4012,4211,3140,3364,5472
37,D&A For EBITDA,67.17,18.14,79.3,17.87,73.73,26.94,83.97,-9.16,104.41,-13.57
38,EBIT,438.18,2162,2863,3354,3861,3985,4127,3149,3260,5486
