,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4665,9545,7708,9559,16319,15714,14960,20293,21313,23332,29411
1,Market Cap Growth,-0.15%,-0.15%,-52.77%,-39.16%,9.08%,-22.57%,-29.81%,-13.02%,-27.53%,-2.01%,54.39%
2,Enterprise Value,51513,54659,56805,61704,69835,69742,63509,72280,75348,67154,73474
3,Last Close Price,3.25,6.65,4.97,6.52,10.06,10.59,9.01,12.22,11.72,12.83,14.93
4,PE Ratio,8.58,17.51,7.66,9.12,8.36,4.29,3.26,3.79,4.15,4.66,6.11
5,Forward PE,5.68,8.45,3.92,4.23,4.50,3.29,2.32,3.11,3.09,4.03,4.63
6,PS Ratio,0.07,0.14,0.10,0.11,0.20,0.19,0.17,0.26,0.34,0.44,0.64
7,PB Ratio,0.17,0.19,0.14,0.18,0.29,0.27,0.25,0.39,0.45,0.61,0.84
8,P/TBV Ratio,0.36,0.36,0.28,0.36,0.59,0.55,0.52,0.75,0.82,1.08,1.35
9,P/FCF Ratio,-,-,2.02,1.44,4.85,-,3.94,-,-8.73,-,66.62
10,P/OCF Ratio,-,-,1.92,1.42,4.74,-,3.80,-,-8.83,-,44.14
11,PEG Ratio,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12
12,EV/Sales Ratio,0.77,0.82,0.70,0.73,0.84,0.82,0.70,0.93,1.21,1.28,1.60
13,EV/EBITDA Ratio,13.84,18.94,10.07,9.04,8.45,7.49,6.29,8.18,9.76,6.93,7.46
14,EV/EBIT Ratio,14.29,19.56,10.26,9.19,8.56,7.59,6.38,8.26,9.90,7.00,7.53
15,EV/FCF Ratio,-25.86,-,14.85,9.27,20.76,-,16.71,-,-30.86,-,166.42
16,Debt / Equity Ratio,0.79,0.79,0.76,0.88,0.97,1.06,1.18,1.33,1.46,1.62,1.76
17,Debt / FCF Ratio,-,-,10.99,7.13,16.34,-,18.26,-,-28.64,-,139.11
18,Return on Capital Employed (ROCE),3.44%,3.44%,6.59%,7.59%,8.42%,8.62%,9.04%,8.02%,7.29%,10.82%,11.13%
19,Earnings Yield,11.69%,5.71%,13.06%,10.97%,11.96%,23.31%,30.72%,26.42%,24.11%,21.44%,16.38%
20,FCF Yield,-42.70%,-20.87%,49.62%,69.60%,20.61%,65.98%,25.41%,-16.79%,-11.46%,9.72%,1.50%
21,Buyback Yield / Dilution,-5.65%,-6.11%,-5.18%,-9.41%,-8.84%,-0.17%,-0.39%,0.02%,-3.00%,-3.36%,-10.21%
22,Total Shareholder Return,5.43%,-6.11%,-5.18%,-9.41%,-8.84%,-0.17%,-0.39%,0.02%,-3.00%,-3.36%,-10.21%
