,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,87,144,254,301,249,422,405,428,607,474,532,Upgrade
1,Market Cap Growth,-51.92%,-51.92%,2.33%,-28.77%,-38.57%,-1.35%,-33.33%,-9.76%,14.13%,-30.65%,-20.89%,Upgrade
2,Enterprise Value,188,260,384,422,388,399,484,453,642,488,719,Upgrade
3,Last Close Price,0.01,0.03,0.04,0.05,0.04,0.07,0.07,0.07,0.10,0.08,0.09,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-5.01,-,Upgrade
5,PS Ratio,0.44,0.74,0.94,0.67,0.60,0.27,0.25,0.30,0.28,0.49,1.71,Upgrade
6,PB Ratio,0.81,1.35,1.79,1.45,0.94,0.96,0.62,0.53,0.68,0.54,0.63,Upgrade
7,P/TBV Ratio,1.35,1.35,1.79,1.45,0.94,0.96,0.62,0.53,0.68,0.54,0.63,Upgrade
8,P/FCF Ratio,9.82,-,6.48,35.46,-,-,-,11.33,22.19,-,-10.55,Upgrade
9,P/OCF Ratio,15.04,-,6.34,34.10,-,-,-,11.09,20.37,12.65,-11.30,Upgrade
10,EV/Sales Ratio,0.96,1.33,1.42,0.94,0.93,0.26,0.30,0.32,0.30,0.50,2.32,Upgrade
11,EV/EBITDA Ratio,-,-,-9.90,-,-,-,-,-,22.48,-64.04,-,Upgrade
12,EV/EBIT Ratio,-,-,-9.13,-,-,-,-,-,30.82,-25.84,-,Upgrade
13,EV/FCF Ratio,21.32,-,9.79,49.77,-,-,-,12.00,23.47,-,-14.27,Upgrade
14,Debt / Equity Ratio,1.34,1.34,1.17,0.83,0.72,0.39,0.27,0.25,0.25,0.21,0.45,Upgrade
15,Debt / FCF Ratio,16.30,-,4.25,20.40,-,-,-,5.44,8.19,-,-7.48,Upgrade
16,Return on Capital Employed (ROCE),-,-,-21.12%,-,-,-,-,-,1.69%,-1.42%,-,Upgrade
17,Earnings Yield,-114.79%,-68.87%,-46.18%,-78.05%,-141.99%,-82.03%,-66.74%,-23.83%,0.49%,-19.96%,-13.86%,Upgrade
18,FCF Yield,10.18%,6.11%,15.44%,2.82%,-14.15%,-10.92%,-4.17%,8.83%,4.51%,7.17%,-9.48%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-29.96%,-63.65%,-34.31%,Upgrade,
20,Total Shareholder Return,-,-,-,-,-,-,-,-29.96%,-63.65%,-34.31%,Upgrade,
