,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,21.49,22.13,23.8,23.49,24.1,28.43,27.15,25.39,23.29,21.55
1,Cash & Short-Term Investments,21.49,22.13,23.8,23.49,24.1,28.43,27.15,25.39,23.29,21.55
2,Cash Growth,-9.71%,-5.78%,-1.27%,-17.37%,-11.22%,11.99%,16.56%,17.79%,291.73%,405.61%
3,Accounts Receivable,0.3,0.3,0.48,0.37,0.69,0.2,0.33,0.17,0.37,0.39
4,Other Receivables,2.2,0.54,1.42,0.26,1.11,0.23,1.65,0.47,3.91,2.15
5,Receivables,2.5,0.84,1.9,0.63,1.8,0.43,1.98,0.64,4.28,2.54
6,Inventory,1.41,1.3,1.22,1.55,1.55,1.46,1.21,1.26,1.35,1.25
7,Prepaid Expenses,-,0.35,-,0.18,-,0.17,-,0.35,-,1.28
8,Other Current Assets,-,1.15,-,0.9,-,0.79,-,0.81,-,0.77
9,Total Current Assets,25.4,25.77,26.92,26.75,27.45,31.28,30.33,28.45,28.92,27.39
10,"Property, Plant & Equipment",8.96,8,6.64,6.15,5.76,5.85,6.13,5.77,5.6,5.54
11,Other Intangible Assets,0.13,0.15,-,-,-,-,-,-,-,-
12,Total Assets,34.49,33.92,33.56,32.9,33.21,37.13,36.46,34.22,34.52,32.93
13,Accounts Payable,0.55,0.52,0.5,0.51,0.45,0.56,0.45,0.47,0.57,0.33
14,Accrued Expenses,-,1.73,-,1.58,-,1.38,-,1.23,-,0.89
15,Current Portion of Long-Term Debt,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.08
16,Current Portion of Leases,2.09,1.88,1.17,1.33,1.19,1.33,1.12,1.06,0.79,1.01
17,Current Income Taxes Payable,0.07,0.05,0.09,0,0.34,0.34,0.38,0.16,0.51,0.56
18,Current Unearned Revenue,0.24,0.23,0.25,0.34,0.36,0.44,0.71,0.62,0.46,0.47
19,Other Current Liabilities,2.24,0.85,2.31,0.82,1.68,0.56,1.82,0.64,1.65,0.55
20,Total Current Liabilities,5.32,5.37,4.45,4.71,4.15,4.73,4.6,4.32,4.12,3.89
21,Long-Term Debt,1.76,1.82,1.89,1.95,2.01,2.08,2.14,2.21,2.27,2.36
22,Long-Term Leases,1.78,1.62,1.54,1.09,0.8,0.72,1.18,0.77,0.83,0.57
23,Long-Term Unearned Revenue,0.62,0.75,0.95,0.66,0.69,0.71,0.74,0.84,0.98,1.03
24,Long-Term Deferred Tax Liabilities,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
25,Total Liabilities,9.49,9.58,8.83,8.41,7.66,8.25,8.69,8.15,8.22,7.86
26,Common Stock,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
27,Additional Paid-In Capital,10.91,10.91,10.91,11.05,12.09,17.09,17.09,17.09,17.09,17.09
28,Retained Earnings,12.6,12.4,12.66,12.22,12.15,10.37,9.24,7.55,7.74,6.51
29,Comprehensive Income & Other,0.1,-0.36,-0.24,-0.16,-0.09,0.02,0.05,0.04,0.07,0.07
30,Shareholders' Equity,25,24.34,24.72,24.49,25.55,28.88,27.77,26.07,26.29,25.07
31,Total Liabilities & Equity,34.49,33.92,33.56,32.9,33.21,37.13,36.46,34.22,34.52,32.93
32,Total Debt,5.75,5.45,4.73,4.5,4.13,4.25,4.57,4.17,4.03,4.03
33,Net Cash (Debt),15.74,16.69,19.07,19,19.97,24.18,22.58,21.22,19.26,17.53
34,Net Cash Growth,-17.47%,-12.16%,-4.53%,-21.42%,-11.55%,13.97%,17.21%,21.03%,926.76%,907.36%
35,Net Cash Per Share,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02
36,Filing Date Shares Outstanding,800,800,800,800,800,800,800,800,800,800
37,Total Common Shares Outstanding,800,800,800,800,800,800,800,800,800,800
38,Working Capital,20.08,20.4,22.47,22.05,23.3,26.55,25.73,24.14,24.8,23.5
39,Book Value Per Share,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03
40,Tangible Book Value,24.87,24.19,24.72,24.49,25.55,28.88,27.77,26.07,26.29,25.07
41,Tangible Book Value Per Share,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03
42,Machinery,-,0.94,-,0.6,-,0.53,-,0.48,-,0.41
