,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,98,125,138,204,208,208,192,256,264,168,170
1,Market Cap Growth,-38.82%,-38.82%,-33.46%,-1.92%,8.33%,-18.75%,-27.27%,52.38%,54.93%,-,-
2,Enterprise Value,2,28,29,92,99,68,62,133,155,72,160
3,Last Close Price,0.12,0.16,0.17,0.26,0.26,0.25,0.21,0.27,0.28,0.18,0.18
4,PE Ratio,-,-355.20,-,69.61,19.12,13.07,11.74,29.73,-,10.44,8.79
5,PS Ratio,0.59,0.75,0.95,1.43,1.33,1.46,1.38,1.99,2.13,1.28,1.29
6,PB Ratio,0.64,0.82,0.98,1.44,1.44,1.49,1.15,1.61,1.75,1.13,1.25
7,P/TBV Ratio,0.83,0.83,0.99,1.44,1.44,1.49,1.15,1.61,1.75,1.13,1.25
8,P/FCF Ratio,-,-60.77,-,12.67,11.41,9.68,6.82,8.24,8.09,60.49,-
9,P/OCF Ratio,16.63,16.63,11.08,10.93,10.38,8.79,6.40,7.87,7.69,40.08,-
10,EV/Sales Ratio,0.01,0.17,0.20,0.64,0.63,0.48,0.45,1.04,1.25,0.55,1.21
11,EV/EBITDA Ratio,0.18,18.82,-,19.18,-,4.46,4.38,13.74,-,5.49,7.47
12,EV/EBIT Ratio,-,-11.91,-,33.44,9.51,5.22,5.08,19.53,-,5.93,7.99
13,EV/FCF Ratio,-1.11,-13.60,-,5.70,5.42,3.17,2.22,4.29,4.74,26.09,-
14,Debt / Equity Ratio,0.23,0.23,0.22,0.19,0.18,0.16,0.15,0.16,0.16,0.15,0.16
15,Debt / FCF Ratio,-,-16.96,-,1.68,1.46,1.05,0.87,0.84,0.74,8.24,-
16,Return on Capital Employed (ROCE),-,-1.33%,-,1.65%,6.24%,8.22%,6.56%,3.74%,-,7.08%,12.64%
17,Earnings Yield,-0.36%,-0.28%,0.75%,1.44%,5.23%,7.65%,8.52%,3.36%,2.27%,9.58%,11.38%
18,FCF Yield,-2.10%,-1.65%,4.38%,7.89%,8.76%,10.33%,14.66%,12.14%,12.36%,1.65%,4.61%
19,Dividend Yield,0.00%,-,-,-,3.42%,2.89%,-,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-3.10%,-33.33%,-29.33%,
21,Total Shareholder Return,-,-,-,3.42%,2.89%,-,-,-3.10%,-33.33%,-29.33%,
