,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,14.51,12.79,12.37,12.56,13.85,12.26,11.79,10.66,10.79,12.25
1,Revenue Growth (YoY),17.31%,1.82%,-10.64%,2.45%,17.42%,14.98%,9.30%,-12.98%,-10.16%,2.33%
2,Cost of Revenue,5.3,4.79,4.77,4.79,5.5,4.81,4.18,4.43,3.87,4.52
3,Gross Profit,9.21,8,7.6,7.77,8.35,7.45,7.61,6.23,6.92,7.74
4,"Selling, General & Admin",8.89,8.71,7.2,7.69,6.66,6.75,6.19,6.46,5.95,6.56
5,Operating Expenses,8.89,8.71,7.2,7.69,6.66,6.75,6.19,6.46,5.95,6.56
6,Operating Income,0.32,-0.71,0.4,0.08,1.68,0.71,1.42,-0.23,0.97,1.18
7,Interest Expense,-0.14,-0.13,-0.11,-0.1,-0.06,-0.07,-0.06,-0.09,-0.06,-0.06
8,Interest & Investment Income,0.18,0.19,0.17,0.15,0.04,0.01,0.01,0.01,0.08,0.07
9,Currency Exchange Gain (Loss),-,-0.05,-,-0.07,-,-0.02,-,-0.55,-,0.9
10,Other Non Operating Income (Expenses),0.06,0.13,0.18,-0.09,0.51,-0.44,0.89,-0.46,0.69,0.07
11,EBT Excluding Unusual Items,0.42,-0.57,0.64,-0.02,2.17,0.18,2.26,-1.31,1.67,2.16
12,Other Unusual Items,-,0.15,-,0.25,-,1.08,-,1.45,-,-
13,Pretax Income,0.42,-0.42,0.64,0.22,2.17,1.26,2.26,0.13,1.67,2.16
14,Income Tax Expense,0.22,-0.15,0.2,0.16,0.39,0.12,0.57,0.33,0.44,0.56
15,Net Income,0.21,-0.27,0.45,0.07,1.78,1.13,1.7,-0.19,1.23,1.6
16,Net Income to Common,0.21,-0.27,0.45,0.07,1.78,1.13,1.7,-0.19,1.23,1.6
17,Net Income Growth,-53.48%,-,-74.96%,-94.17%,4.84%,-,37.58%,-,-37.01%,-17.52%
18,Shares Outstanding (Basic),800,800,800,800,800,800,800,800,800,776
19,Shares Outstanding (Diluted),800,800,800,800,800,800,800,800,800,776
20,Shares Change (YoY),-,-,-,-,-,-,-,3.10%,33.33%,29.33%
21,EPS (Basic),0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00
22,EPS (Diluted),0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00
23,EPS Growth,-53.60%,-,-74.97%,-94.21%,4.86%,-,37.53%,-,-52.76%,-36.23%
24,Free Cash Flow,0.04,-0.38,1.43,1.38,1.7,2.22,2.64,2.77,2.87,-2.38
25,Free Cash Flow Per Share,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00
26,Dividend Per Share,-,-,-,0.000,0.001,-,-,-,-,-
27,Operating Margin,2.23%,-5.55%,3.26%,0.61%,12.16%,5.75%,12.03%,-2.15%,9.02%,9.62%
28,Profit Margin,1.43%,-2.07%,3.60%,0.53%,12.83%,9.24%,14.38%,-1.82%,11.42%,13.07%
29,Free Cash Flow Margin,0.28%,-2.97%,11.52%,11.01%,12.31%,18.12%,22.42%,25.99%,26.62%,-19.45%
30,EBITDA,1.64,-1.4,1.45,-0.61,2.74,0.05,2.41,-0.72,1.75,0.57
31,D&A For EBITDA,1.32,-0.69,1.04,-0.69,1.06,-0.65,0.99,-0.49,0.78,-0.61
32,EBIT,0.32,-0.71,0.4,0.08,1.68,0.71,1.42,-0.23,0.97,1.18
