,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Market Capitalization,12934,5273,3012,2257,2014,1898,1911,-,-
1,Market Cap Growth,133.65%,133.65%,49.58%,18.88%,5.36%,-,-,-,-
2,Enterprise Value,12511,4902,2814,2147,1901,1732,2356,-,-
3,Last Close Price,26.95,12.24,6.86,5.14,4.45,4.20,4.13,-,-
4,PE Ratio,28.11,13.01,8.36,7.23,7.17,7.43,8.48,-,-
5,PS Ratio,5.57,2.58,1.55,1.27,1.14,1.11,1.15,-,-
6,PB Ratio,7.33,3.36,1.96,1.69,1.55,1.61,1.66,-,-
7,P/TBV Ratio,3.36,3.36,1.96,1.69,1.56,1.61,1.66,-,-
8,P/FCF Ratio,30.20,12.31,7.84,14.24,27.14,301.62,-,-,-
9,P/OCF Ratio,8.92,8.92,5.69,7.57,9.62,50.61,-,-,-
10,EV/Sales Ratio,6.11,2.39,1.45,1.21,1.08,1.02,1.42,-,-
11,EV/EBITDA Ratio,23.72,9.28,6.07,5.40,4.80,4.39,6.42,-,-
12,EV/EBIT Ratio,27.31,10.63,7.02,6.22,5.53,5.09,7.55,-,-
13,EV/FCF Ratio,29.21,11.44,7.32,13.55,25.62,275.18,-,-,-
14,Debt / Equity Ratio,0.15,0.15,0.15,0.25,0.31,0.45,0.64,-,-
15,Debt / FCF Ratio,0.55,0.55,0.62,2.07,5.41,83.66,-,-,-
16,Return on Capital Employed (ROCE),27.33%,27.40%,23.45%,22.51%,22.26%,22.00%,19.79%,-,-
17,Earnings Yield,3.13%,7.69%,11.96%,13.84%,13.96%,13.45%,11.79%,-,-
18,FCF Yield,3.31%,8.12%,12.76%,7.02%,3.69%,0.33%,-,-,-
19,Dividend Yield,0.96%,1.05%,-,-,-,-,-,-,-
20,Buyback Yield / Dilution,0.90%,1.80%,-,-,-35.43%,-39.87%,-,-,-
21,Total Shareholder Return,1.86%,2.86%,-,-,-35.43%,-39.87%,-,-,-
