,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Revenue,976.4,928.49,831.16,814.7,746.62,708.12,647.96,364.14
1,Revenue Growth (YoY),17.47%,13.97%,11.32%,15.05%,15.23%,94.46%,-,-
2,Cost of Revenue,594.04,580,521.51,526.6,496.84,468.01,427.91,243.7
3,Gross Profit,382.35,348.49,309.65,288.09,249.78,240.11,220.05,120.44
4,"Selling, General & Admin",148.55,160.45,117.75,125.52,99.22,96.71,102.42,48.52
5,Other Operating Expenses,0.95,0.45,1.01,-0.92,2.55,-3.16,5.14,1.42
6,Operating Expenses,157.43,144.33,149.71,128.66,104.98,94.64,111.17,53.6
7,Operating Income,224.92,204.15,159.94,159.43,144.8,145.47,108.88,66.84
8,Interest Expense,-4.8,-6.19,-7.43,-,-27.77,-17.56,-15.5,-21.34
9,Interest & Investment Income,2.39,1.28,2.28,3.58,0.9,0.15,0.13,0.02
10,Earnings From Equity Investments,-1.5,-0.16,-0.01,0.08,0.13,-0.07,-0.82,-0.01
11,Currency Exchange Gain (Loss),3.61,-4.86,18.62,8.22,5.01,-6.49,-,-0.35
12,Other Non Operating Income (Expenses),17.97,13.81,9.65,10.92,7.73,12.12,8.78,5.82
13,EBT Excluding Unusual Items,242.58,208.03,183.05,182.23,130.8,133.62,101.47,50.98
14,Gain (Loss) on Sale of Investments,3.14,-0.94,6.17,-27.5,-,1.9,1.04,0.17
15,Gain (Loss) on Sale of Assets,-0.02,-2.23,-1.06,-3.99,-,-,-,-0.31
16,Other Unusual Items,-,-,-,-,-,-22.93,-,-8.9
17,Pretax Income,245.7,204.86,188.15,150.74,130.8,112.59,102.51,41.95
18,Income Tax Expense,36.97,36.41,29.58,20.28,12.7,12.69,18.89,9.44
19,Net Income,208.73,168.45,158.58,130.46,118.1,99.91,83.62,32.5
20,Net Income to Common,208.73,168.45,158.58,130.46,118.1,99.91,83.62,32.5
21,Net Income Growth,31.63%,29.11%,34.27%,30.59%,41.24%,207.38%,-,-
22,Shares Outstanding (Basic),419,427,427,427,427,315,305,-
23,Shares Outstanding (Diluted),419,427,427,427,427,315,305,-
24,Shares Change (YoY),-1.80%,-,-,35.43%,39.87%,-,-,-
25,EPS (Basic),0.50,0.39,0.37,0.31,0.28,0.32,0.27,-
26,EPS (Diluted),0.50,0.39,0.37,0.31,0.28,0.32,0.27,-
27,EPS Growth,34.05%,29.12%,34.27%,-3.58%,0.98%,-,-,-
28,Free Cash Flow,136.24,262.41,86.36,60.27,5.37,-,-,32.34
29,Free Cash Flow Per Share,0.33,0.62,0.20,0.14,0.01,-,-,-
30,Dividend Per Share,0.120,-,-,-,-,-,-,-
31,Operating Margin,23.04%,21.99%,19.24%,19.57%,19.39%,20.54%,16.80%,18.36%
32,Profit Margin,21.38%,18.14%,19.08%,16.01%,15.82%,14.11%,12.90%,8.93%
33,Free Cash Flow Margin,13.95%,28.26%,10.39%,7.40%,0.72%,-,-,8.88%
34,EBITDA,256.5,234.97,185.82,181.87,168.13,168.33,130.77,84.83
35,D&A For EBITDA,31.58,30.82,25.88,22.43,23.33,22.86,21.89,17.99
36,EBIT,224.92,204.15,159.94,159.43,144.8,145.47,108.88,66.84
