,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Cash & Equivalents,541.66,330.52,470.82,335.62,419.73,589.84,-,-
1,Trading Asset Securities,71,221,15,116.52,126.06,145.51,-,-
2,Cash & Short-Term Investments,612.66,551.52,485.82,452.14,545.8,735.34,-,-
3,Cash Growth,26.11%,21.98%,-10.99%,-38.51%,-,-,-,-
4,Accounts Receivable,354.52,291.71,289.05,251.29,261.4,212.7,-,-
5,Other Receivables,-,75.69,-,16.26,-,16.32,-,-
6,Receivables,354.52,367.4,289.05,267.55,261.4,229.02,-,-
7,Inventory,513.95,486.51,498.17,533.24,402.66,408.91,-,-
8,Prepaid Expenses,-,2.31,-,4.49,-,-,-,-
9,Other Current Assets,75.68,6.94,63.46,6.03,94.94,24.85,-,-
10,Total Current Assets,1557,1415,1336,1263,1305,1398,-,-
11,"Property, Plant & Equipment",495.09,470.54,432.32,411.28,332.25,341.79,-,-
12,Long-Term Investments,58.66,60.1,62.51,62.53,44.33,14.2,-,-
13,Other Intangible Assets,0.4,0.35,0.3,0.31,0.34,0.54,-,-
14,Long-Term Deferred Tax Assets,5.58,11.92,18.87,28.46,20.81,27.03,-,-
15,Other Long-Term Assets,62.17,26.72,44.26,22.6,54.44,29.66,-,-
16,Total Assets,2179,1984,1895,1789,1757,1811,-,-
17,Accounts Payable,164.15,126.16,95.57,94.35,88.33,78.96,-,-
18,Accrued Expenses,-,115.46,-,92.26,-,98.36,-,-
19,Short-Term Debt,-,-,-,-,-,213.48,-,-
20,Current Portion of Long-Term Debt,144.67,95.25,155.31,172.43,167.26,72.08,-,-
21,Current Portion of Leases,1.38,1.38,1.75,1.75,1.4,1.38,-,-
22,Current Income Taxes Payable,27.38,25.43,13.87,17.32,12.34,17.46,-,-
23,Current Unearned Revenue,59.81,45.57,-,23.15,-,22.49,-,-
24,Other Current Liabilities,215.34,22.46,209.34,20.37,168.18,21.87,-,-
25,Total Current Liabilities,612.72,431.7,475.85,421.63,437.5,526.07,-,-
26,Long-Term Debt,65,110,145,180,280,311.62,-,-
27,Long-Term Leases,7.81,8.33,0.98,0.9,0.86,1.19,-,-
28,Long-Term Unearned Revenue,7.64,8.69,9.75,11.6,11.47,13.67,-,-
29,Long-Term Deferred Tax Liabilities,17.15,20.35,17.15,18.46,8.17,11.38,-,-
30,Total Liabilities,719.52,589.41,659.16,643.02,748.02,873.95,-,-
31,Common Stock,426.6,426.6,426.6,426.6,426.6,426.6,-,-
32,Additional Paid-In Capital,219.63,286.73,286.73,286.73,-,286.73,-,-
33,Retained Earnings,835.56,712.15,543.71,449.12,-,236.81,-,-
34,Comprehensive Income & Other,-22.62,-30.58,-21.44,-16.83,582.35,-12.74,-,-
35,Shareholders' Equity,1459,1395,1236,1146,1009,937.4,-,-
36,Total Liabilities & Equity,2179,1984,1895,1789,1757,1811,-,-
37,Total Debt,218.85,214.95,303.05,355.08,449.52,599.75,-,-
38,Net Cash (Debt),393.81,336.57,182.77,97.06,96.28,135.59,-,-
39,Net Cash Growth,115.46%,246.76%,89.84%,-28.42%,-,-,-,-
40,Net Cash Per Share,0.94,0.79,0.43,0.23,0.23,0.43,-,-
41,Filing Date Shares Outstanding,426.6,426.6,426.6,426.6,426.6,426.6,305,-
42,Total Common Shares Outstanding,426.6,426.6,426.6,426.6,426.6,426.6,305,-
43,Working Capital,944.09,982.98,860.64,841.82,867.3,872.05,-,-
44,Book Value Per Share,3.42,3.27,2.90,2.69,2.37,2.20,-,-
45,Tangible Book Value,1459,1395,1235,1145,1009,936.86,-,-
46,Tangible Book Value Per Share,3.42,3.27,2.90,2.68,2.36,2.20,-,-
47,Land,-,244.05,-,235.14,-,220.67,-,-
48,Machinery,-,519.59,-,435.76,-,373.95,-,-
49,Construction In Progress,-,15.5,-,-,-,-,-,-
50,Leasehold Improvements,-,19.76,-,12.13,-,12.14,-,-
