,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,3541,2979,3291,2909,3449,4535,5158,4571,6255,2138
1,Short-Term Investments,-,15.2,-,25.58,-,19.03,-,2.94,-,4.02
2,Trading Asset Securities,-,50.12,3.36,2.18,2.27,10.3,315.51,330.92,424.77,428.77
3,Cash & Short-Term Investments,3541,3045,3294,2937,3451,4565,5473,4905,6680,2571
4,Cash Growth,7.48%,3.67%,-4.55%,-35.66%,-36.94%,-6.94%,-18.06%,90.77%,289.43%,36.61%
5,Accounts Receivable,513.57,704.96,756.27,913.77,540.66,562.93,470.35,483.28,193.12,653.04
6,Other Receivables,948.33,1146,857.2,1094,850.78,1253,838.3,2087,1864,2335
7,Receivables,1462,1851,1613,2070,1391,1848,1309,2583,2057,2988
8,Inventory,1893,3090,2616,3820,2702,2975,2123,2420,1420,2448
9,Prepaid Expenses,1770,-,2005,-,1949,-,1757,2.17,1835,6.99
10,Restricted Cash,-,-,-,-,-,-,-,-,293.15,-
11,Other Current Assets,55.33,577.4,104.16,630.36,440.03,570.33,7.15,687.37,42.37,645.65
12,Total Current Assets,8721,8562,9633,9458,9934,9958,10669,10597,12328,8660
13,"Property, Plant & Equipment",22107,23210,23205,22295,20472,20498,20609,21029,20663,21677
14,Long-Term Investments,601.03,620.09,590.18,576.76,489.65,410.85,396.47,302.61,231.81,223.19
15,Goodwill,1767,1811,1814,1714,1622,1669,1772,1847,1833,1730
16,Other Intangible Assets,2500,2570,2554,2508,2505,2443,2731,2836,2815,2757
17,Long-Term Deferred Tax Assets,771.96,787.81,289.72,289.57,217.79,205.51,149.11,106.42,182.14,294.35
18,Other Long-Term Assets,979.68,929.2,1060,962.93,1487,1824,1567,1781,1619,1323
19,Total Assets,37447,38623,39147,37930,36728,37190,37894,38687,39671,36803
20,Accounts Payable,2024,2291,2568,2703,2366,2368,1859,1539,1526,1769
21,Accrued Expenses,5751,1021,6345,1042,5487,1083,5121,861.89,4522,691.83
22,Current Portion of Long-Term Debt,3379,3558,2422,2474,958.58,2180,2282,2201,1921,2060
23,Current Portion of Leases,994.43,944.42,930.86,866.22,779.97,770.78,795.98,922.76,856.46,864.35
24,Current Income Taxes Payable,271.92,397.56,400.2,321.96,130.27,415.55,226.55,30.09,772.44,913.44
25,Current Unearned Revenue,829.14,962.48,1059,808.61,1350,1029,1603,618.46,276.82,1175
26,Other Current Liabilities,848.7,6939,906.59,6405,886.89,5423,863.05,4199,2002,4911
27,Total Current Liabilities,14099,16113,14632,14621,11959,13269,12751,10372,11877,12386
28,Long-Term Debt,9483,8127,9818,9487,11060,11084,11485,11165,11392,4777
29,Long-Term Leases,10318,11025,11043,10411,9010,8640,8867,8845,8158,8240
30,Long-Term Unearned Revenue,53.15,56.74,57.78,110.31,112.25,123.76,128.32,139.01,112.02,113.52
31,Long-Term Deferred Tax Liabilities,564.36,633.95,407.87,394.87,441.87,446.73,498.22,505.7,554.28,602.9
32,Other Long-Term Liabilities,284.4,14.59,278.47,24.02,837.85,440.14,616.34,1911,446.04,1842
33,Total Liabilities,34803,36243,36237,35299,33421,34293,34346,33253,32539,28373
34,Common Stock,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18
35,Additional Paid-In Capital,11276,11261,11235,11224,11204,11191,11180,11146,11146,11168
36,Retained Earnings,-5601,-5923,-5758,-6230,-5780,-5685,-4953,-2871,-1279,-380.46
37,Comprehensive Income & Other,-3096,-3042,-2655,-2536,-2276,-2779,-2876,-3061,-2980,-2658
38,Total Common Equity,2579,2296,2823,2458,3148,2727,3351,5213,6887,8130
39,Minority Interest,65.68,83.88,87.49,172.8,158.42,170.7,197.02,220.37,244.78,300.31
40,Shareholders' Equity,2645,2380,2910,2631,3307,2897,3548,5434,7132,8430
41,Total Liabilities & Equity,37447,38623,39147,37930,36728,37190,37894,38687,39671,36803
42,Total Debt,24175,23655,24214,23239,21809,22676,23430,23134,22328,15942
43,Net Cash (Debt),-20634,-20611,-20920,-20303,-18358,-18111,-17957,-18229,-15648,-13371
44,Net Cash Per Share,-16.57,-16.58,-16.76,-16.37,-14.82,-14.63,-14.53,-14.76,-12.67,-10.80
45,Filing Date Shares Outstanding,1243,1243,1242,1241,1239,1239,1236,1235,1235,1235
46,Total Common Shares Outstanding,1243,1243,1242,1241,1239,1239,1236,1235,1235,1235
47,Working Capital,-5378,-7551,-4999,-5163,-2025,-3312,-2082,225.63,450.29,-3726
48,Book Value Per Share,2.07,1.85,2.27,1.98,2.54,2.20,2.71,4.22,5.58,6.58
49,Tangible Book Value,-1688,-2084,-1546,-1764,-978.81,-1385,-1153,529.7,2239,3643
50,Tangible Book Value Per Share,-1.36,-1.68,-1.25,-1.42,-0.79,-1.12,-0.93,0.43,1.81,2.95
51,Land,-,957.61,-,971.01,-,1173,-,1244,-,1463
52,Buildings,-,11574,-,9099,-,8739,-,8382,-,8644
53,Machinery,-,4276,-,3505,-,3161,-,3164,-,2999
54,Construction In Progress,-,200.52,-,1276,-,731.28,-,692.08,-,373.15
