,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Feb '25 Feb 26, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,13065,11613,9898,11745,13197,14781,11745,12801,11350,11350,13197,13857,15968,18872,10558,10162,9898,11086,9502,8446,6862,Upgrade
1,Market Cap Growth,-21.43%,-21.43%,-15.73%,-8.25%,16.28%,30.23%,-11.00%,-7.62%,-28.93%,-39.86%,25.00%,36.36%,61.33%,70.24%,11.11%,20.31%,44.23%,50.00%,20.00%,-3.03%,-32.47%,Upgrade
2,Enterprise Value,48992,52051,50335,44395,28264,44219,38199,38456,19470,29120,32431,30986,28903,18112,12909,8866,8602,9789,13676,12498,7661,Upgrade
3,Last Close Price,9900.00,8800.00,7500.00,8900.00,10000.00,11200.00,8900.00,9700.00,8600.00,8600.00,10000.00,10500.00,12100.00,14300.00,8000.00,7700.00,7500.00,8400.00,7200.00,6400.00,5200.00,Upgrade
4,PE Ratio,37.64,29.94,12.21,16.17,37.34,65.10,-35.22,-,-,70.28,-,12.01,10.77,14.94,8.92,11.02,9.93,16.69,11.76,8.08,-,Upgrade
5,PS Ratio,0.08,0.06,0.06,0.10,0.12,0.17,0.13,0.13,0.13,0.10,0.12,0.10,0.11,0.15,0.11,0.18,0.21,0.27,0.18,0.16,0.11,Upgrade
6,PB Ratio,0.67,0.60,0.51,0.61,0.69,0.78,0.64,0.70,-,0.60,0.70,0.72,0.83,0.99,0.57,0.56,0.56,0.63,0.55,0.49,0.41,Upgrade
7,P/TBV Ratio,0.60,0.60,0.51,0.61,0.69,0.78,0.64,0.70,-,0.60,0.70,0.72,0.83,0.99,0.57,0.56,0.56,0.63,0.55,0.49,0.41,Upgrade
8,P/FCF Ratio,-,-0.69,-1.42,-,-,-2.33,-,-,-,-,-0.99,-,-,-,-0.72,-,-,-,0.97,-,-,Upgrade
9,P/OCF Ratio,-,-0.76,-1.59,-,-,-2.33,-,-,-,-,-1.35,-,-,-,-0.73,-,-,-,0.88,2.62,-,Upgrade
10,EV/Sales Ratio,0.29,0.29,0.32,0.39,0.26,0.49,0.42,0.39,0.22,0.25,0.29,0.22,0.19,0.14,0.13,0.16,0.18,0.24,0.26,0.23,0.13,Upgrade
11,EV/EBIT Ratio,11.25,11.55,11.14,10.75,7.95,12.45,12.78,17.39,11.16,11.72,13.97,11.20,10.07,7.03,5.61,4.69,4.86,8.48,13.02,8.22,-,Upgrade
12,EV/FCF Ratio,-2.93,-3.11,-7.22,-,-,-6.96,-,-,-,-,-2.43,-,-,-,-0.88,-,-,-,1.40,-,-,Upgrade
13,Debt / Equity Ratio,3.15,3.15,3.15,2.24,2.10,1.91,1.77,1.49,-,1.41,1.07,1.11,1.13,1.13,0.63,0.54,0.74,0.74,0.41,0.37,0.33,Upgrade
14,Debt / FCF Ratio,-,-3.65,-8.75,-,-,-5.73,-,-,-,-,-1.51,-,-,-,-0.81,-,-,-,0.73,-,-,Upgrade
15,Asset Turnover,1.38,1.53,0.93,0.80,1.60,0.64,-,-,1.99,1.02,0.83,1.48,1.84,2.42,-,-,1.00,0.72,1.73,0.17,Upgrade,
16,Inventory Turnover,3.98,4.71,4.79,2.71,3.12,5.55,1.70,-,-,5.91,2.74,2.38,4.13,5.52,8.43,-,-,2.55,1.90,3.94,0.34,Upgrade
17,Quick Ratio,0.60,0.60,0.60,0.57,0.65,0.78,0.67,0.64,-,0.73,0.53,0.67,0.66,0.63,0.79,0.44,-,0.65,0.77,0.80,0.44,Upgrade
