,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,66561,58425,28312,25708,44124,14743,25897,4571,46416,21406,16641,32636,40812,49540,28122,8299,12265,8137,18370,1775,Upgrade
1,Revenue Growth (YoY),50.85%,296.30%,9.32%,462.36%,-4.94%,-31.13%,55.63%,-85.99%,13.73%,-56.79%,-40.83%,293.25%,232.75%,508.82%,53.08%,367.51%,-48.29%,-17.09%,-26.79%,-73.04%,Upgrade
2,Cost of Revenue,60504,54164,25606,25320,41006,12835,22851,4446,44221,20208,15116,30987,38425,48030,26176,7231,10959,7062,16777,1550,Upgrade
3,Gross Profit,6057,4261,2706,388.11,3118,1907,3046,125.28,2195,1198,1525,1649,2387,1510,1946,1068,1306,1075,1594,224.87,Upgrade
4,"Selling, General & Admin",4564,2920,1047,375.67,1610,958.4,1958,118.99,1249,1028,903.17,902.25,1604,895.48,1219,616,796.36,871,990.08,386.35,Upgrade
5,Operating Expenses,4564,2920,1047,375.67,1610,958.4,1958,118.99,1249,1028,903.17,902.25,1604,895.48,1219,616,796.36,871,990.08,386.35,Upgrade
6,Operating Income,1494,1341,1660,12.44,1507,949.03,1088,6.3,946.18,170.62,621.97,746.33,782.75,614.64,727.02,451.63,509.33,203.75,603.46,-161.49,Upgrade
7,Interest Expense,-1020,-981.06,-1387,-193.83,-792.83,-815.68,-1261,-112.01,-657.68,-390.75,-506.84,-380.92,-328.49,-224.67,-365.56,-331.51,-193.45,-164.67,-87.51,-121.97,Upgrade
8,Interest & Investment Income,69.8,49.03,24.38,220.3,4.22,37.41,10.98,11.21,7.46,24.1,8.75,4.85,16.49,68.97,131.88,0.2,0.82,36.43,4.02,16.23,Upgrade
9,Other Non Operating Income (Expenses),-181.49,-103.59,-28.93,-1.39,74.38,-1.02,-43.52,-2.19,-122.95,-,-4.25,-5.66,114.28,-1.46,-2.52,-10,109.56,67.36,-9.72,-10.89,Upgrade
10,EBT Excluding Unusual Items,362.01,305.03,268.13,37.51,793.08,169.75,-205.22,-96.69,173.01,-196.04,119.63,364.6,585.04,457.48,490.82,110.32,426.27,142.88,510.25,-278.11,Upgrade
11,Pretax Income,362.01,305.03,268.13,37.51,793.08,169.75,-205.22,-96.69,173.01,-196.04,119.63,364.6,585.04,457.48,490.82,110.32,426.27,142.88,510.25,-278.11,Upgrade
12,Income Tax Expense,186.69,170.86,219.48,7.78,195,119.78,119.11,-,135.47,-,73.94,90.32,117.13,91.79,115.68,56.16,38.14,38.51,60.33,-,Upgrade
13,Net Income,175.31,134.17,48.65,29.73,598.08,49.97,-324.33,-96.69,37.55,-196.04,45.69,274.28,467.91,365.69,375.14,54.16,388.13,104.36,449.93,-278.11,Upgrade
14,Net Income to Common,175.31,134.17,48.65,29.73,598.08,49.97,-324.33,-96.69,37.55,-196.04,45.69,274.28,467.91,365.69,375.14,54.16,388.13,104.36,449.93,-278.11,Upgrade
15,Net Income Growth,-70.69%,168.49%,-,-,1492.92%,-,-,-,-91.98%,-,-87.82%,406.42%,20.55%,250.40%,-16.62%,-,-27.02%,-69.47%,560.56%,-,Upgrade
16,Shares Outstanding (Basic),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,Upgrade
17,Shares Outstanding (Diluted),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,Upgrade
18,Shares Change (YoY),-0.16%,-0.52%,-0.27%,-2.40%,-1.54%,-0.05%,0.99%,0.44%,1.74%,-0.34%,-1.17%,-0.18%,-0.16%,-0.07%,0.11%,-,-,-,0.73%,-,Upgrade
19,EPS (Basic),133.00,102.56,37.00,23.00,453.00,38.00,-246.00,-73.00,28.00,-149.00,35.00,208.00,355.00,277.00,284.00,41.00,294.00,79.00,341.00,-,Upgrade
20,EPS (Diluted),133.00,102.56,37.00,23.00,453.00,38.00,-246.00,-73.00,28.00,-149.00,35.00,208.00,355.00,277.00,284.00,41.00,294.00,79.00,341.00,-,Upgrade
21,EPS Growth,-70.64%,169.90%,-,-,1517.86%,-,-,-,-92.11%,-,-87.68%,407.32%,20.75%,250.63%,-16.72%,-,-,-,555.77%,-,Upgrade
22,Free Cash Flow,4474,4474,-7857,-17802,14211,-3137,-,-17427,-,7229,-2100,-4268,-14187,275.31,-,-4956,-9918,7542,-126.78,-3265,Upgrade
23,Free Cash Flow Per Share,3393.86,3419.72,-5975.45,-13771.26,10764.13,-2385.62,-,-13157.32,-,5494.49,-1608.82,-3236.88,-10763.95,208.54,-,-3751.68,-7512.79,5709.19,-96.09,-,Upgrade
24,Gross Margin,9.10%,7.29%,9.56%,1.51%,7.07%,12.94%,11.76%,2.74%,4.73%,5.60%,9.17%,5.05%,5.85%,3.05%,6.92%,12.86%,10.65%,13.21%,8.67%,12.67%,Upgrade
25,Operating Margin,2.24%,2.29%,5.86%,0.05%,3.42%,6.44%,4.20%,0.14%,2.04%,0.80%,3.74%,2.29%,1.92%,1.24%,2.59%,5.44%,4.15%,2.50%,3.28%,-9.10%,Upgrade
26,Profit Margin,0.26%,0.23%,0.17%,0.12%,1.36%,0.34%,-1.25%,-2.11%,0.08%,-0.92%,0.27%,0.84%,1.15%,0.74%,1.33%,0.65%,3.16%,1.28%,2.45%,-15.67%,Upgrade
27,Free Cash Flow Margin,6.72%,7.66%,-27.75%,-69.25%,32.21%,-21.28%,-,-381.20%,-,33.77%,-12.62%,-13.08%,-34.76%,0.56%,-,-59.72%,-80.87%,92.69%,-0.69%,-183.91%,Upgrade
28,EBIT,1494,1341,1660,12.44,1507,949.03,1088,6.3,946.18,170.62,621.97,746.33,782.75,614.64,727.02,451.63,509.33,203.75,603.46,-161.49,Upgrade
29,EBIT Margin,2.24%,2.29%,5.86%,0.05%,3.42%,6.44%,4.20%,0.14%,2.04%,0.80%,3.74%,2.29%,1.92%,1.24%,2.59%,5.44%,4.15%,2.50%,3.28%,-9.10%,Upgrade
30,Effective Tax Rate,51.57%,56.01%,81.86%,20.74%,24.59%,70.56%,-,-,78.30%,-,61.81%,24.77%,20.02%,20.06%,23.57%,50.91%,8.95%,26.96%,11.82%,-,Upgrade
31,Revenue as Reported,66561,58425,28312,25708,44124,14743,25897,4571,46416,21406,16641,32636,40812,49540,28122,8299,12265,8137,18370,1775,Upgrade
