,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022"
0,Revenue,183.17,176.01,176.92,163.66,172.84
1,Revenue Growth (YoY),3.53%,7.54%,2.36%,-,-
2,Cost of Revenue,169.11,151.14,138.2,126.05,130.99
3,Gross Profit,14.06,24.87,38.72,37.61,41.85
4,"Selling, General & Admin",11.25,11.79,9.06,8.84,5.73
5,Other Operating Expenses,-,-,-,-0.09,-
6,Operating Expenses,11.25,11.79,9.06,8.75,5.73
7,Operating Income,2.81,13.08,29.66,28.86,36.12
8,Interest Expense,-0.07,-0.02,-0.02,-0.03,-0.04
9,Interest & Investment Income,-,2.28,-,0.89,-
10,Other Non Operating Income (Expenses),1.91,-1.01,1.09,-6.22,-5.56
11,EBT Excluding Unusual Items,4.65,14.34,30.73,23.5,30.53
12,Asset Writedown,-2.24,-1.32,-0.77,0.08,-0.2
13,Other Unusual Items,-,-,-,0.7,-
14,Pretax Income,2.41,13.02,29.96,24.28,30.33
15,Income Tax Expense,0.17,1.87,5.29,4.39,6.37
16,Net Income,2.24,11.15,24.68,19.89,23.96
17,Net Income to Common,2.24,11.15,24.68,19.89,23.96
18,Net Income Growth,-90.94%,-43.93%,3.00%,-,-
19,Shares Outstanding (Basic),408,408,408,336,306
20,Shares Outstanding (Diluted),408,408,408,336,306
21,Shares Change (YoY),-,21.47%,33.33%,-,-
22,EPS (Basic),0.01,0.03,0.06,0.06,0.08
23,EPS (Diluted),0.01,0.03,0.06,0.06,0.08
24,EPS Growth,-90.94%,-53.85%,-22.75%,-,-
25,Free Cash Flow,-,44.01,-15.49,-31.68,8.93
26,Free Cash Flow Per Share,-,0.11,-0.04,-0.09,0.03
27,Operating Margin,1.53%,7.43%,16.76%,17.63%,20.90%
28,Profit Margin,1.22%,6.34%,13.95%,12.15%,13.86%
29,Free Cash Flow Margin,-,25.01%,-8.75%,-19.36%,5.17%
30,EBITDA,3.37,13.94,29.92,29.03,36.42
31,D&A For EBITDA,0.56,0.86,0.26,0.18,0.3
32,EBIT,2.81,13.08,29.66,28.86,36.12
