,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,22.52,158.01,113.39,128.55,-
1,Cash & Short-Term Investments,22.52,158.01,113.39,128.55,-
2,Cash Growth,-80.14%,22.92%,-,-,-
3,Accounts Receivable,197.1,134.26,169.65,138.78,-
4,Other Receivables,11.96,16.3,10.02,8.94,-
5,Receivables,209.06,150.56,179.67,147.72,-
6,Other Current Assets,1.03,1.03,1.03,1.03,-
7,Total Current Assets,232.62,309.61,294.09,277.29,-
8,"Property, Plant & Equipment",4.86,5.9,3.12,1.96,-
9,Long-Term Deferred Tax Assets,0.27,0.03,0.19,0.1,-
10,Other Long-Term Assets,3.35,3.35,3.22,3.35,-
11,Total Assets,241.1,318.89,300.6,282.71,-
12,Accounts Payable,4.26,9.31,5.34,8.37,-
13,Accrued Expenses,3.46,3.68,2.26,3.78,-
14,Current Portion of Leases,1.45,1.48,0.77,1.14,-
15,Current Income Taxes Payable,-,9.84,8.13,11.69,-
16,Current Unearned Revenue,6.08,0.39,2.29,0.75,-
17,Other Current Liabilities,0.4,0.1,0.13,0.1,-
18,Total Current Liabilities,15.64,24.79,18.91,25.83,-
19,Long-Term Leases,0.69,1.4,0.14,-,-
20,Total Liabilities,16.33,26.19,19.05,25.83,-
21,Common Stock,4.08,4.08,4.08,4.08,-
22,Additional Paid-In Capital,-,110.58,110.58,110.58,-
23,Retained Earnings,-,179.31,168.16,143.49,-
24,Comprehensive Income & Other,220.69,-1.27,-1.27,-1.27,-
25,Shareholders' Equity,224.77,292.71,281.56,256.88,-
26,Total Liabilities & Equity,241.1,318.89,300.6,282.71,-
27,Total Debt,2.15,2.87,0.91,1.14,-
28,Net Cash (Debt),20.38,155.14,112.48,127.41,-
29,Net Cash Growth,-81.88%,21.77%,-,-,-
30,Net Cash Per Share,0.05,0.38,0.28,0.38,-
31,Filing Date Shares Outstanding,408,408,408,408,306
32,Total Common Shares Outstanding,408,408,408,408,306
33,Working Capital,216.98,284.82,275.18,251.47,-
34,Book Value Per Share,0.55,0.72,0.69,0.63,-
35,Tangible Book Value,224.77,292.71,281.56,256.88,-
36,Tangible Book Value Per Share,0.55,0.72,0.69,0.63,-
37,Machinery,-,5.75,-,3.55,-
