,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,510,420,571,579,579,-
1,Market Cap Growth,-27.46%,-27.46%,-1.41%,-,-,-
2,Enterprise Value,490,265,459,452,514,-
3,Last Close Price,1.25,1.03,1.23,1.25,1.25,-
4,PE Ratio,38.11,31.39,15.94,13.00,13.21,-
5,PS Ratio,1.42,1.17,1.62,1.70,1.72,-
6,PB Ratio,2.27,1.87,1.95,2.06,2.26,-
7,P/TBV Ratio,1.87,1.87,1.95,2.06,2.26,-
8,P/FCF Ratio,-,-,20.02,-,-,-
9,P/OCF Ratio,-,-,17.94,-,-,-
10,EV/Sales Ratio,1.36,0.74,1.30,1.33,1.53,-
11,EV/EBITDA Ratio,28.29,15.32,10.46,7.67,7.85,-
12,EV/EBIT Ratio,30.81,16.68,10.73,7.72,7.91,-
13,EV/FCF Ratio,-,-,16.08,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.00,-
15,Debt / FCF Ratio,-,-,0.10,-,-,-
16,Return on Capital Employed (ROCE),7.05%,7.05%,14.53%,20.77%,25.30%,-
17,Earnings Yield,2.62%,3.19%,6.27%,7.69%,7.57%,-
18,FCF Yield,-,4.99%,-8.14%,-3.93%,-,
19,Buyback Yield / Dilution,-9.70%,-,-21.47%,-33.33%,-,-
20,Total Shareholder Return,4.06%,-,-21.47%,-33.33%,-,-
