,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,19913,7761,22457,19271,-,-,-,-,-,-,-
1,Enterprise Value,17410,4935,19523,26117,-,-,-,-,-,-,-
2,Last Close Price,45.00,17.54,49.80,42.90,-,-,-,-,-,-,-
3,PS Ratio,8.57,5.01,17.79,18.65,-,-,-,-,-,-,-
4,PB Ratio,6.23,2.44,6.67,5.50,-,-,-,-,-,-,-
5,P/TBV Ratio,2.50,2.50,6.83,5.63,-,-,-,-,-,-,-
6,EV/Sales Ratio,9.45,3.19,15.47,25.27,-,-,-,-,-,-,-
7,Debt / Equity Ratio,0.05,0.05,0.00,0.00,-,-1.46,-1.39,-1.39,-1.39,-,-1.53
8,Asset Turnover,0.42,0.37,-,-,-,-,0.17,-,-,-,
9,Inventory Turnover,-,5.92,5.55,-,-,-,-,2.48,-,-,-
10,Quick Ratio,3.43,3.43,5.00,4.20,-,5.12,-,0.36,0.36,-,-
11,Current Ratio,3.84,3.84,5.35,4.68,-,5.70,-,0.40,0.40,-,-
12,Return on Equity (ROE),-11.09%,-17.20%,-,-,-,-,-,-,-,-,
13,Return on Assets (ROA),-7.10%,-10.11%,-,-,-,-,-14.61%,-,-,-,
14,Return on Capital (ROIC),-8.94%,-12.64%,-,-,-32.71%,-14.65%,-25.17%,-,-,-,
15,Earnings Yield,-19.77%,-10.20%,-5.07%,-7.12%,-,-,-,-,-,-,-
16,Buyback Yield / Dilution,-261.03%,-350.54%,-355.27%,-338.28%,-0.00%,0.37%,0.37%,-,-,-,-
17,Total Shareholder Return,-261.03%,-350.54%,-355.27%,-338.28%,-0.00%,0.37%,0.37%,-,-,-,-
