,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,132500,123750,123750,137500,127500,128750,133750,143750,123750,141250,251250,235000,266250,235000,187500,138750,103750,95000,91250,90000,86250,Upgrade
1,Market Cap Growth,-3.88%,-3.88%,-7.48%,-4.35%,3.03%,-8.85%,-46.77%,-38.83%,-53.52%,-39.89%,34.00%,69.37%,156.63%,147.37%,105.48%,54.17%,20.29%,18.75%,28.07%,10.77%,-30.30%,Upgrade
2,Enterprise Value,113872,85435,68386,118636,98026,124341,59021,70895,84625,54764,182850,218099,190503,159253,48657,107162,50969,108732,77077,96203,20513,Upgrade
3,Last Close Price,10600.00,9900.00,9900.00,10200.00,9458.18,9550.91,9921.82,9512.88,8189.35,9347.44,14291.63,13367.30,15144.86,13367.30,10311.57,7630.56,5705.74,5224.53,4604.42,4541.34,4352.12,Upgrade
4,PE Ratio,8.71,8.68,18.01,17.94,15.55,-,39.90,101.24,23.18,-,5.80,4.89,5.85,5.82,7.98,7.82,6.47,10.68,9.97,9.10,10.63,Upgrade
5,PS Ratio,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.06,0.06,0.07,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.04,Upgrade
6,PB Ratio,0.77,0.72,0.75,0.80,0.76,0.77,0.80,0.88,0.70,0.81,1.18,1.11,1.31,1.24,1.05,0.81,0.64,0.61,0.57,0.56,0.55,Upgrade
7,P/TBV Ratio,0.79,0.79,0.82,0.88,0.83,0.85,0.88,0.97,0.76,0.88,1.27,1.20,1.42,1.35,1.16,0.90,0.70,0.68,0.62,0.62,0.61,Upgrade
8,P/FCF Ratio,-,-,-,-9.74,-,-29.22,-,11.08,1.98,-,13.27,-3.78,-,-,-,1.03,-,-26.84,-,3.61,-,Upgrade
