,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,18628,38315,55364,18864,29474,61037,74729,72855,39125,86486,68400,73571,66847,75747,138843,31588,52781,33560,14173,11442,Upgrade
1,Cash & Short-Term Investments,18628,38315,55364,18864,29474,61037,74729,72855,39125,86486,68400,73571,66847,75747,138843,31588,52781,33560,14173,11442,Upgrade
2,Cash Growth,-36.80%,-37.23%,-25.91%,-74.11%,-24.67%,-29.43%,9.25%,-0.97%,-41.47%,14.18%,-50.74%,132.91%,26.65%,125.71%,879.63%,176.09%,-19.71%,-8.54%,64.70%,-,Upgrade
3,Accounts Receivable,86491,208827,204343,156095,152752,219146,204562,107366,115706,183778,110492,113220,14003,101207,60496,103801,83062,104045,133590,89208,Upgrade
4,Other Receivables,16.03,3929,4660,1296,-,152.75,1440,4988,4784,170.81,723.14,822.8,600,12111,12184,5919,-,18744,15141,6699,Upgrade
5,Receivables,86507,212756,209003,157391,152752,219299,206001,112354,120490,183949,111215,114043,14603,113317,72680,109719,83062,122790,148731,95907,Upgrade
6,Inventory,116848,80047,122679,64117,32997,194654,73393,73367,103273,90835,92944,205585,189606,66953,21049,45589,59875,86899,104994,62338,Upgrade
7,Prepaid Expenses,-,0.48,1.92,12.64,360.95,11.42,39.18,63.38,91.26,267.45,473.33,1.61,122.32,6.56,15.35,7.1,13.72,9.31,13.12,1.86,Upgrade
8,Other Current Assets,662.44,142581,219942,72581,43784,37518,30276,31759,30437,110749,60898,125142,32431,115656,142903,57269,32726,54108,45969,36320,Upgrade
9,Total Current Assets,222646,473700,606990,312965,259368,512519,384439,290398,293416,472287,333930,518343,303610,371679,375491,244172,228458,297366,313880,206009,Upgrade
