,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Operating Revenue,718204,856591,926264,644234,638102,931687,919546,647403,580667,1038865,1012202,1116005,1147429,786926,711749,447737,459243,392341,552800,427508,Upgrade
1,Other Revenue,-,-,-,-,320.71,-,-,-,1536,-,-,-,7135,-,-,-,-,-,-,-,Upgrade
2,Revenue,718204,856591,926264,644234,638423,931687,919546,647403,582202,1038865,1012202,1116005,1154564,786926,711749,447737,459243,392341,552800,427508,Upgrade
3,Revenue Growth (YoY),12.50%,-8.06%,0.73%,-0.49%,9.66%,-10.32%,-9.15%,-41.99%,-49.57%,32.02%,42.21%,149.25%,151.41%,100.57%,28.75%,4.73%,-25.62%,-24.55%,24.62%,24.57%,Upgrade
4,Cost of Revenue,691445,836297,907367,628917,619473,915752,896470,628719,577191,1022218,985239,1081441,1105900,763860,691535,421558,442193,379456,533257,416384,Upgrade
5,Gross Profit,26759,20294,18897,15317,18949,15934,23076,18684,5012,16646,26963,34564,48664,23066,20214,26178,17050,12885,19543,11124,Upgrade
6,"Selling, General & Admin",16500,14701,12845,12811,14544,14124,16561,14816,23344,14599,13856,12899,21550,12078,13365,13052,16861,10246,13777,10063,Upgrade
7,Operating Expenses,16500,14701,12845,12811,14544,14124,16561,14816,23344,14599,13856,12899,21550,12078,13365,13052,16861,10246,13777,10063,Upgrade
8,Operating Income,10260,5593,6051,2506,4406,1810,6515,3869,-18332,2048,13107,21665,27114,10988,6849,13127,189.05,2639,5766,1061,Upgrade
