,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,48.1,174.29,87.01,290.86,85.28,251.88,262.36,361.29,155.26,242.09,340.48,373.13,263.2,367.53,146.88,205.26,-,128.85,-
1,Trading Asset Securities,-,235.68,211.85,265.78,90.31,213.6,-,-,-,75.2,34.2,20.64,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,283.78,283.78,386.13,352.79,381.17,298.88,251.88,262.36,361.29,230.46,276.29,361.12,373.13,263.2,367.53,146.88,205.26,-,128.85,143.02
3,Cash Growth,-25.55%,-5.05%,53.30%,34.47%,5.50%,29.69%,-8.83%,-27.35%,-3.17%,-12.44%,-24.82%,145.87%,81.78%,-,185.23%,2.69%,-,-,-,-
4,Accounts Receivable,-,554.34,505.52,394.57,468.48,441.3,479.7,371.67,412.1,422.79,419.61,357.83,426.23,322.17,296.27,195.59,247.82,-,194.26,-
5,Other Receivables,-,3.08,2.52,1.86,2.08,3.99,2.14,2.54,7.64,2.81,2.03,1.76,1.93,1.78,1.73,1.79,2.02,-,2.99,-
6,Receivables,-,557.42,508.04,396.44,470.57,445.3,481.84,374.22,419.74,425.6,421.64,359.59,428.16,323.96,298,197.38,249.84,-,197.25,-
7,Inventory,-,273.65,237.14,286.58,258.97,254.63,235,263.6,244.76,278.41,291.31,303.16,283.6,335.66,305.44,263.3,224.13,-,220.06,-
8,Other Current Assets,-,37.18,23.56,19.43,14.05,24.46,23.06,23.59,15.29,33.98,30.82,35.46,19.85,70.62,40.7,27.54,9.19,-,15.92,-
9,Total Current Assets,-,1152,1155,1055,1125,1023,991.79,923.77,1041,968.44,1020,1059,1105,993.43,1012,635.09,688.42,-,562.09,-
10,"Property, Plant & Equipment",-,98.94,98.92,100.44,104.03,108.34,110.53,109.79,112.51,114.61,116.38,115.27,118.07,69.54,63.51,13.16,12.51,-,14.16,-
11,Long-Term Investments,-,159.31,135.25,104.37,103.55,100.89,101.5,102.44,30.39,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,58.15,39.96,40.43,28.33,28.74,29.29,28.8,3.93,4.2,4.41,2.41,2.32,2.23,1.2,1.27,1.35,-,0.79,-
13,Long-Term Deferred Tax Assets,-,28.73,27.88,25.04,24.55,23.48,22.93,19.32,19.26,22.19,16.96,16.19,14.84,10.33,9.71,8.96,7.77,-,5.36,-
14,Long-Term Deferred Charges,-,5.06,6.07,7.07,7.82,8.21,9,9.77,10.48,8.85,9.68,10.47,8.87,9.27,8.7,9.09,7.42,-,0.95,-
15,Other Long-Term Assets,-,2.21,2.26,2.3,14.94,-,-,-,-,0.18,-,-,-,-,-,-,-,-,0.44,-
16,Total Assets,-,1504,1465,1335,1408,1293,1265,1194,1218,1118,1167,1204,1249,1085,1095,667.57,717.47,-,583.79,-
17,Accounts Payable,-,380.86,225.35,276.25,211.27,284.42,192.09,181.73,130.66,193.49,143.61,191.12,162.89,169.61,136.69,130.16,119.19,-,123.67,-
18,Accrued Expenses,-,8.37,82.85,7.83,113.29,8.64,73.83,6.45,77.57,5.4,52.38,5.85,74.49,4.68,41.24,3.86,49.34,-,7.36,-
19,Short-Term Debt,-,50.03,80.04,50.04,50.04,30.03,30.03,30,30.03,-,-,-,-,-,-,15.09,22.29,-,22.29,-
20,Current Portion of Leases,-,1.17,2.3,2.08,3.58,2,1.38,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.24,-,-,-,-,-
21,Current Income Taxes Payable,-,6.04,2.9,12.71,8.28,14.73,4.28,4.08,-,8.59,1.49,11.44,9.01,7.61,3.96,3.23,9.2,-,4.19,-
22,Current Unearned Revenue,-,93.91,84.53,108.43,69.97,69.32,67,115.2,83.33,60.65,82.84,137.79,130.34,103.86,94.24,117.33,91.12,-,88.1,-
23,Other Current Liabilities,-,7.7,50.56,6.28,61.04,3.75,29.89,7.27,43.82,5.68,53.91,5.54,38.17,2.95,51.68,5.27,32.02,-,6.41,-
24,Total Current Liabilities,-,548.08,528.53,463.62,517.47,412.89,398.49,345.26,365.94,274.34,334.76,352.28,415.43,289.23,328.05,274.94,323.15,-,252.01,-
25,Long-Term Debt,-,50.04,50.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,-,0.26,0.26,0.29,1.73,3.54,4.12,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.76,-,-,-,-,-
27,Long-Term Unearned Revenue,-,17.69,17.91,18.14,18.36,18.63,18.83,19.03,19.23,15.44,15.64,15.84,16.04,-,0,0.01,0.01,-,0.02,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.37,0.43,0.49,0.56,0.13,0.16,0.19,0.22,0.25,0.28,-,-,-,-,-
29,Total Liabilities,-,616.07,596.74,482.05,537.55,435.42,421.87,365.48,386.41,290.58,351.22,368.97,432.34,290.12,329.09,274.94,323.16,-,252.03,-
30,Common Stock,-,154.13,153.51,153.51,153.51,153.51,153.51,153.51,153.51,153.05,153.05,153.05,153.05,153.05,153.05,114.78,114.78,-,114.78,-
31,Additional Paid-In Capital,-,431.19,424.53,-,419.37,414.68,409.94,404.95,402.87,401.94,399.99,397.78,395.46,393.14,391.42,51.38,51.38,-,51.38,-
32,Retained Earnings,-,302.23,290.81,293.64,296.15,287.76,278.22,268.29,273.04,270.83,262.27,283.86,268,248.49,221.23,226.46,228.14,-,165.6,-
33,Treasury Stock,-,-,-1.35,-20.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-,-,424.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Total Common Equity,887.56,887.56,867.49,851.65,869.03,855.95,841.68,826.75,829.41,825.82,815.3,834.69,816.5,794.68,765.7,392.63,394.31,-,331.76,302.13
36,Minority Interest,-,0.79,0.99,1.19,1.39,1.55,1.5,1.65,1.82,2.06,0.96,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,888.35,888.35,868.48,852.84,870.42,857.5,843.18,828.41,831.24,827.87,816.26,834.69,816.5,794.68,765.7,392.63,394.31,-,331.76,302.13
