,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3505,2623,2675,2575,2619,2840,2947,2835,2794,1947,2008,2602,2473,3382,2922,3306,-,-,-,-,-
1,Market Cap Growth,-7.63%,-7.63%,-9.24%,-9.19%,-6.26%,45.90%,46.79%,8.98%,12.97%,-42.45%,-31.27%,-21.30%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3324,2442,2423,2275,2294,2578,2733,2606,2567,1719,1734,2242,2211,3120,2555,3174,-,-,-,-,-
3,Last Close Price,22.74,17.02,17.49,16.84,16.77,18.18,18.87,18.15,17.77,12.38,12.81,16.45,15.64,21.39,18.48,20.71,-,-,-,-,-
4,PE Ratio,68.91,52.28,59.24,59.51,-,68.38,83.38,82.48,-,69.54,44.33,40.65,28.10,48.00,31.42,38.33,-,-,-,-,-
5,PS Ratio,3.56,2.70,2.94,3.01,3.21,3.56,3.82,3.86,4.39,2.90,2.73,3.55,3.31,5.16,4.77,5.73,-,-,-,-,-
6,PB Ratio,3.95,2.95,3.01,2.96,3.07,3.26,3.44,3.36,3.37,2.34,2.43,3.19,2.96,4.14,3.68,4.32,-,-,-,-,-
7,P/TBV Ratio,3.16,3.16,3.23,3.11,3.23,3.38,3.56,3.49,3.50,2.36,2.44,3.21,2.97,4.15,3.69,4.32,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,41.52,20.82,32.07,-,170.89,-,-,-,-20.29,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,23.24,-,25.81,17.18,23.86,-,70.89,-,-,-,-66.64,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.42,2.51,2.66,2.66,2.81,3.23,3.54,3.55,4.03,2.56,2.36,3.06,2.96,4.76,4.17,5.50,-,-,-,-,-
11,EV/EBITDA Ratio,48.70,35.92,46.20,53.90,-,-,123.24,193.48,-224.77,-,55.98,41.47,28.26,55.90,26.53,34.54,-,-,-,-,-
12,EV/EBIT Ratio,62.65,46.03,64.60,81.71,-,-,325.82,2178.19,-,-,76.54,-,30.41,-,27.57,35.90,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,37.69,19.30,29.48,-,150.95,-,-,-,-18.72,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.11,0.11,0.11,0.15,0.06,0.06,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06,-,0.07,-
15,Debt / EBITDA Ratio,1.49,2.14,0.94,1.05,-,-,0.53,0.32,952.12,-,0.04,0.08,0.02,0.25,0.01,0.01,-,0.14,-,0.16,-
16,Debt / FCF Ratio,-,-,-,-,-,0.81,0.25,0.40,-,2.74,-,-,-,-0.01,-,-,-,0.61,-,-,-
17,Asset Turnover,-,0.65,0.93,0.32,0.70,0.58,0.93,0.30,0.71,0.53,0.64,0.40,0.93,0.54,0.93,0.19,-,-,-,-,
18,Inventory Turnover,-,-,2.42,3.49,1.06,2.38,1.96,3.05,0.93,2.44,1.41,1.74,1.05,2.35,1.12,1.94,0.31,-,-,-,-
19,Quick Ratio,-,-,1.53,1.69,1.62,1.65,1.80,1.84,1.84,2.13,2.39,2.08,2.05,1.93,2.03,2.03,1.25,1.41,-,1.29,-
20,Current Ratio,-,-,2.10,2.19,2.28,2.17,2.48,2.49,2.68,2.84,3.53,3.05,3.01,2.66,3.43,3.08,2.31,2.13,-,2.23,-
21,Return on Equity (ROE),6.31%,5.11%,12.85%,-1.26%,3.81%,4.42%,13.50%,-2.37%,0.95%,4.15%,0.66%,7.69%,9.69%,13.98%,17.53%,-1.71%,-,-,37.01%,-,
22,Return on Assets (ROA),-,3.89%,4.78%,-0.89%,-1.39%,2.63%,4.83%,-0.67%,-5.48%,1.38%,-0.04%,3.58%,-0.21%,6.95%,7.33%,-1.42%,-,-,-,-,
23,Return on Capital (ROIC),2.04%,5.81%,7.01%,-1.34%,-2.06%,3.80%,6.83%,-0.94%,-7.57%,1.91%,-0.06%,5.30%,-0.30%,9.70%,10.99%,-2.38%,-,-,25.36%,-,
24,Return on Capital Employed (ROCE),-,-,3.92%,2.97%,-,-,0.95%,0.14%,-,-,2.68%,-,8.54%,-,11.65%,11.53%,-,25.31%,-,10.03%,-
