,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,295.64,246.2,321.76,108.04,232.21,186.62,286.62,89.71,207.41,150.16,189.24,123.92,270.91,147.88,204.47,32.52,226.4,112.42,146.83,15.11
1,Other Revenue,-,-4.36,4.36,-,2.96,-0.15,0.15,-,0.5,-0.09,0.09,-,0.24,-0.04,0.04,-,1.48,-,-,-
2,Revenue,295.64,241.84,326.11,108.04,235.18,186.47,286.76,89.71,207.91,150.06,189.34,123.92,271.15,147.84,204.51,32.52,227.87,112.42,146.83,15.11
3,Revenue Growth (YoY),25.71%,29.69%,13.72%,20.43%,13.11%,24.26%,51.45%,-27.60%,-23.32%,1.51%,-7.42%,281.02%,18.99%,31.50%,39.29%,115.21%,-,-,-,-
4,Cost of Revenue,-455.19,154.53,228.38,72.28,152.85,119.73,190.18,59.38,159.7,100.62,129.56,76.81,182.28,90.08,137.83,18.91,140.95,61.15,87.62,9.89
5,Gross Profit,750.83,87.31,97.73,35.76,82.33,66.74,96.59,30.33,48.22,49.44,59.78,47.1,88.87,57.75,66.69,13.61,86.92,51.27,59.21,5.22
6,"Selling, General & Admin",-111.96,40.84,42.61,28.51,62.06,32.18,38.77,22.24,39.9,27.94,29.37,25.48,41.53,22.33,23.2,15.12,24.91,21.32,18.46,9
7,Research & Development,-74.06,27.18,24.69,22.19,28.94,25.23,26.92,19.7,33.01,17.78,20.89,15.71,24.42,18.2,15.23,11.17,16.7,8.65,8.28,5.62
8,Other Operating Expenses,936.51,-5.99,-7.22,-4.72,-1.88,-6.05,-3.98,-5.07,-3.03,-3.38,0.26,-5.48,15.71,-14.55,-4.54,-5.79,1.76,-4.85,-2.73,-6.92
9,Operating Expenses,742.76,64.18,70.98,40.65,89.81,53.26,72.83,33.55,73.84,43.15,60,29.56,89.83,27.43,40.86,17.54,46.45,25.23,25.93,5.22
10,Operating Income,8.07,23.13,26.75,-4.89,-7.48,13.48,23.75,-3.22,-25.62,6.29,-0.21,17.54,-0.97,30.32,25.82,-3.92,40.47,26.04,33.28,0
11,Interest Expense,-4.68,-0.21,-0.74,-,-0.27,-0.67,-0.14,-0.36,-0.18,-,-,-,-0.01,-,-0.05,-0.24,-0.3,-0.25,-0.21,-0
12,Interest & Investment Income,-,0.74,3.39,1.5,5.57,-,3.55,0.5,3.01,0.36,1.99,1.46,1.75,2.28,2.29,1.38,0.89,0.68,1.02,0.61
13,Other Non Operating Income (Expenses),0.02,1.05,-1.66,0.7,-1.46,0.38,-0.41,-0.05,-1.85,1.09,-1.35,-0.16,0.2,-0.99,-0.13,-0.17,0.88,-1.25,-0.3,-0.6
14,EBT Excluding Unusual Items,3.41,24.72,27.73,-2.69,-3.65,13.18,26.76,-3.13,-24.65,7.74,0.43,18.84,0.98,31.62,27.93,-2.95,41.94,25.22,33.79,0.01
15,Gain (Loss) on Sale of Investments,-1.78,0.44,1.34,-,0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0,-,-0,-,-0,-0,0.06,-,-0,-0,0.01,0.01,0,-0,-,-,-0.01,-,-,-
17,Asset Writedown,7.99,-7.99,0.72,-0.72,2.38,-2.38,1.61,-1.61,2.6,-2.6,1.67,-1.67,0.02,-0.02,-0.08,0.08,1.11,-1.11,0.06,-0.06
18,Other Unusual Items,-,-0.53,0.43,0.1,11.04,-0.29,0.29,-,22.89,-0.42,0.42,-,19.41,-0.43,0.43,-,5.5,-0.02,0.02,-
19,Pretax Income,9.61,16.64,30.22,-3.31,10.08,10.52,28.72,-4.74,0.84,4.72,2.53,17.17,20.41,31.17,28.27,-2.87,48.54,24.09,33.87,-0.05
20,Income Tax Expense,-4.4,5.42,2.57,-0.6,1.85,1.13,0.52,0.17,-1.13,-3.8,1.17,1.31,0.91,3.91,2.9,-1.19,6.52,3.57,4.55,-0.35
21,Earnings From Continuing Operations,14.01,11.23,27.65,-2.71,8.23,9.39,28.2,-4.92,1.97,8.52,1.36,15.86,19.51,27.27,25.38,-1.68,42.02,20.52,29.33,0.31
22,Minority Interest in Earnings,-0.6,0.2,0.2,0.2,0.16,0.15,0.15,0.17,0.23,0.04,0,-,-,-,-,-,-,-,-,-
23,Net Income,13.41,11.42,27.85,-2.51,8.39,9.53,28.36,-4.75,2.21,8.56,1.36,15.86,19.51,27.27,25.38,-1.68,42.02,20.52,29.33,0.31
24,Net Income to Common,13.41,11.42,27.85,-2.51,8.39,9.53,28.36,-4.75,2.21,8.56,1.36,15.86,19.51,27.27,25.38,-1.68,42.02,20.52,29.33,0.31
25,Net Income Growth,59.85%,19.80%,-1.78%,-,280.44%,11.36%,1982.24%,-,-88.69%,-68.60%,-94.63%,-,-53.58%,32.87%,-13.47%,-,-,-,-,-
26,Shares Outstanding (Basic),148,154,182,125,163,152,149,158,167,142,155,159,151,164,81,168,119,114,115,-
27,Shares Outstanding (Diluted),148,154,182,125,163,152,149,158,167,142,155,159,151,164,81,168,119,114,115,-
28,Shares Change (YoY),-9.59%,0.98%,21.99%,-20.71%,-2.18%,7.16%,-3.72%,-0.28%,10.93%,-13.37%,89.89%,-5.59%,26.58%,43.65%,-29.09%,-,-,-,-,-
29,EPS (Basic),0.09,0.07,0.15,-0.02,0.05,0.06,0.19,-0.03,0.01,0.06,0.01,0.10,0.13,0.17,0.31,-0.01,0.35,0.18,0.26,-
30,EPS (Diluted),0.09,0.07,0.15,-0.02,0.05,0.06,0.19,-0.03,0.01,0.06,0.01,0.10,0.13,0.17,0.31,-0.01,0.35,0.18,0.26,-
31,EPS Growth,76.82%,18.64%,-19.49%,-,288.91%,3.92%,2062.80%,-,-89.81%,-63.75%,-97.17%,-,-63.33%,-7.50%,22.03%,-,-,-,-,-
32,Free Cash Flow,-,-38.97,-0.77,-7.79,62.74,32.22,1.07,-27.64,135.9,-20.93,-85.47,-18.11,103.36,-69.71,-151,-49.35,71.31,6.56,-10.28,-31.13
33,Free Cash Flow Per Share,-,-0.25,-0.00,-0.06,0.38,0.21,0.01,-0.17,0.81,-0.15,-0.55,-0.11,0.69,-0.43,-1.86,-0.29,0.60,0.06,-0.09,-
34,Dividend Per Share,-,0.100,-,-,0.200,-,-,-,0.120,-,-,-,0.150,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,66.67%,-,-,-,-20.00%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,253.97%,36.10%,29.97%,33.10%,35.01%,35.79%,33.68%,33.81%,23.19%,32.95%,31.57%,38.01%,32.78%,39.07%,32.61%,41.86%,38.14%,45.60%,40.33%,34.53%
37,Operating Margin,2.73%,9.56%,8.20%,-4.53%,-3.18%,7.23%,8.28%,-3.59%,-12.32%,4.19%,-0.11%,14.16%,-0.36%,20.51%,12.63%,-12.07%,17.76%,23.16%,22.67%,0.00%
38,Profit Margin,4.54%,4.72%,8.54%,-2.32%,3.57%,5.11%,9.89%,-5.29%,1.06%,5.71%,0.72%,12.80%,7.19%,18.44%,12.41%,-5.17%,18.44%,18.25%,19.97%,2.03%
39,Free Cash Flow Margin,-,-16.11%,-0.24%,-7.21%,26.68%,17.28%,0.37%,-30.80%,65.36%,-13.95%,-45.14%,-14.61%,38.12%,-47.15%,-73.83%,-151.73%,31.29%,5.84%,-7.00%,-206.00%
