,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,54.15,6.42,32.57,20.2,-
1,Cash & Short-Term Investments,54.15,6.42,32.57,20.2,-
2,Cash Growth,66.28%,-68.21%,-,-,-
3,Accounts Receivable,481.96,455.25,358.18,341.85,-
4,Other Receivables,1.39,0.73,0.54,0.26,-
5,Receivables,483.35,455.98,358.73,342.12,-
6,Inventory,2.03,1.38,2.52,1.99,-
7,Restricted Cash,4.37,4.37,0.58,0.58,-
8,Other Current Assets,0.88,23.18,16.58,10.1,-
9,Total Current Assets,544.78,491.33,410.97,374.98,-
10,"Property, Plant & Equipment",48.77,45.65,47.05,48.3,-
11,Long-Term Accounts Receivable,6.24,6.37,6.48,6.6,-
12,Long-Term Deferred Tax Assets,3.59,4.33,2.32,2.24,-
13,Other Long-Term Assets,8.48,8.74,9,-,-
14,Total Assets,611.86,556.42,475.81,432.12,-
15,Accounts Payable,216.01,275.78,240.14,231.47,-
16,Accrued Expenses,15.15,20.21,15.07,12.39,-
17,Short-Term Debt,50,20,27.24,17.45,-
18,Current Portion of Leases,0.67,0.08,-,-,-
19,Current Income Taxes Payable,0.73,6.68,2.23,5.55,-
20,Current Unearned Revenue,0.62,0.75,1.52,0.75,-
21,Other Current Liabilities,3.86,7.58,14.1,7.62,-
22,Total Current Liabilities,287.05,331.09,300.29,275.22,-
23,Long-Term Leases,3.06,0.14,-,-,-
24,Total Liabilities,290.11,331.24,300.29,275.22,-
25,Common Stock,215.8,161.85,150,78,-
26,Retained Earnings,40.54,31.45,12.22,66.29,-
27,Comprehensive Income & Other,65.42,31.89,13.3,12.61,-
28,Shareholders' Equity,321.76,225.19,175.52,156.9,-
29,Total Liabilities & Equity,611.86,556.42,475.81,432.12,-
30,Total Debt,53.73,20.22,27.24,17.45,-
31,Net Cash (Debt),0.43,-13.8,5.32,2.75,-
32,Net Cash Growth,-91.96%,-,-,-,-
33,Net Cash Per Share,0.00,-0.09,0.04,0.02,-
34,Filing Date Shares Outstanding,215.79,215.79,161.84,78,150
35,Total Common Shares Outstanding,215.79,161.84,150,78,150
36,Working Capital,257.73,160.24,110.67,99.76,-
37,Book Value Per Share,1.49,1.39,1.17,2.01,-
38,Tangible Book Value,321.76,225.19,175.52,156.9,-
39,Tangible Book Value Per Share,1.49,1.39,1.17,2.01,-
40,Buildings,-,51.4,51.38,51.33,-
41,Machinery,-,9.53,9.37,8.74,-
