,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,94.57,213.61,105.83,230.87,57.09
1,Revenue Growth (YoY),-10.64%,-7.48%,85.38%,-,-
2,Cost of Revenue,71.69,159.9,79.23,171.55,43.82
3,Gross Profit,22.88,53.71,26.6,59.32,13.27
4,"Selling, General & Admin",17.42,-0.8,14.63,-3.3,11.71
5,Research & Development,-,8.31,-,10.23,-
6,Other Operating Expenses,-0.07,1.91,-0.28,1.62,-0.38
7,Operating Expenses,12.2,30.25,8.22,18.99,11.59
8,Operating Income,10.68,23.45,18.38,40.33,1.69
9,Interest Expense,-0.71,-0.31,-0.06,-,-
10,Interest & Investment Income,0.33,0.28,0.27,0.3,0.28
11,Currency Exchange Gain (Loss),1.77,-,-,-,-
12,Other Non Operating Income (Expenses),-0.14,2.4,2.52,-3.49,-
13,EBT Excluding Unusual Items,11.93,25.83,21.12,37.14,1.96
14,Gain (Loss) on Sale of Assets,-,-,-,0.08,-
15,Pretax Income,11.93,25.83,21.12,37.22,1.96
16,Income Tax Expense,1.44,3.41,2.49,4.44,-0.36
17,Net Income,10.49,22.42,18.62,32.77,2.32
18,Net Income to Common,10.49,22.42,18.62,32.77,2.32
19,Net Income Growth,-43.64%,-31.58%,703.32%,-,-
20,Shares Outstanding (Basic),182,155,150,150,150
21,Shares Outstanding (Diluted),182,155,150,150,150
22,Shares Change (YoY),21.53%,3.49%,-,-,-
23,EPS (Basic),0.06,0.14,0.12,0.22,0.02
24,EPS (Diluted),0.06,0.14,0.12,0.22,0.02
25,EPS Growth,-53.63%,-33.88%,703.34%,-,-
26,Free Cash Flow,-85.23,-34,-1.05,1.19,1.62
27,Free Cash Flow Per Share,-0.47,-0.22,-0.01,0.01,0.01
28,Operating Margin,11.29%,10.98%,17.37%,17.47%,2.95%
29,Profit Margin,11.10%,10.50%,17.60%,14.19%,4.06%
30,Free Cash Flow Margin,-90.13%,-15.92%,-0.99%,0.51%,2.84%
31,EBITDA,12.74,25.55,20.36,42.03,3.25
32,D&A For EBITDA,2.06,2.1,1.98,1.7,1.56
33,EBIT,10.68,23.45,18.38,40.33,1.69
