,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,104,250,-,-,-,-
1,Enterprise Value,103,266,-,-,-,-
2,Last Close Price,0.48,1.16,-,-,-,-
3,PE Ratio,2.29,7.08,-,-,-,-
4,PS Ratio,0.24,0.76,-,-,-,-
5,PB Ratio,0.30,0.72,-,-,-,-
6,P/TBV Ratio,0.72,0.72,-,-,-,-
7,EV/Sales Ratio,0.31,0.80,-,-,-,-
8,EV/EBITDA Ratio,2.33,6.45,-,-,-,-
9,EV/EBIT Ratio,2.62,7.24,-,-,-,-
10,Debt / Equity Ratio,0.17,0.17,0.09,0.16,0.11,-
11,Debt / FCF Ratio,-,-,-,-,6.22,-
12,Return on Capital Employed (ROCE),11.28%,10.51%,18.57%,33.45%,26.78%,-
13,Earnings Yield,34.15%,14.13%,-,-,-,-
14,FCF Yield,-123.68%,-51.18%,-,-,-,-
15,Buyback Yield / Dilution,-12.51%,-21.53%,-3.49%,-,-,-
16,Total Shareholder Return,-12.51%,-21.53%,-3.49%,-,-,-
