,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,241.2,183.06,418.68,332.98,722.52,216.87,-,58.79,-,-,-,52.64,52.64,36.18,36.18
1,Trading Asset Securities,678.9,823.09,610.04,318.3,196,-,-,6.5,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,920.1,1006,1029,651.29,918.52,216.87,65.29,65.29,-,-,52.64,52.64,52.64,36.18,36.18
3,Cash Growth,0.17%,363.94%,1475.68%,897.57%,-,-,24.02%,24.02%,-,-,45.50%,-,-,-,-
4,Accounts Receivable,363.74,339.67,321.46,298.23,273.43,269.61,-,232.6,-,-,-,229.19,229.19,271.45,271.45
5,Other Receivables,4.57,3.48,3.51,5.58,5.54,5.54,-,7.52,-,-,-,0.07,0.07,1.41,1.41
6,Receivables,368.31,343.15,324.97,303.81,278.97,275.15,-,240.12,-,-,-,229.26,229.26,272.86,272.86
7,Inventory,223.81,219.38,201.07,188.53,180.06,167.4,-,166.85,-,-,-,157.74,157.74,155.6,155.6
8,Prepaid Expenses,-,0.49,-,0.01,-,0.48,-,0.01,-,-,-,-,-,0.48,0.48
9,Other Current Assets,91.73,123.87,237.61,242.11,46.41,17.08,-,34.47,-,-,-,13.74,13.74,10.85,10.85
10,Total Current Assets,1604,1693,1792,1386,1424,676.98,-,506.74,-,-,-,453.38,453.38,475.98,475.98
11,"Property, Plant & Equipment",723.03,704.76,621.75,580.18,478.04,456.17,-,428.56,-,-,-,377.58,377.58,340.35,340.35
12,Long-Term Investments,117.58,106.23,56.54,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,62.76,50.13,50.6,51.07,51.52,51.99,-,52.68,-,-,-,27.54,27.54,26.51,26.51
