,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,9756,3564,3258,4122,4537,4350,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-18.06%,-18.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9941,3684,3368,3479,3894,4423,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,111.00,40.31,36.85,46.37,51.04,48.93,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,69.00,25.21,24.15,32.29,35.82,40.70,-,-,-,-,-,-,-,-,-,-
5,Forward PE,48.68,22.28,20.37,27.79,30.59,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,9.76,3.56,3.39,4.55,5.14,5.22,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,6.24,2.28,2.12,2.72,3.06,3.02,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.38,2.38,2.19,2.81,3.17,3.14,-,-,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,9.94,3.68,3.51,3.84,4.41,5.31,-,-,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,55.68,29.73,27.50,-,23.62,28.86,-,-,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,79.27,29.38,26.95,28.53,31.38,38.98,-,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.71,0.71,0.73,0.75,0.42,0.19,0.40,0.29,0.30,-,-,0.16,0.16,0.16,0.24,0.24
13,Debt / EBITDA Ratio,6.19,7.70,5.47,-,3.34,2.00,1.52,1.04,1.51,-,-,0.67,0.68,0.68,0.69,0.69
14,Debt / FCF Ratio,-,-,-,-,-,-,15.10,5.54,-,-,-,-,10.53,-3.26,-,-
15,Asset Turnover,0.32,0.37,-,0.46,0.49,-,-,-,-,-,-,1.00,1.01,1.01,-,
16,Inventory Turnover,3.71,3.23,3.83,-,4.06,3.28,-,-,-,-,-,-,4.43,4.46,4.05,-
17,Quick Ratio,1.08,1.08,1.13,1.14,1.22,2.65,1.26,-,1.00,-,-,-,0.97,0.97,0.96,0.96
18,Current Ratio,1.35,1.35,1.42,1.50,1.78,3.15,1.74,-,1.66,-,-,-,1.56,1.56,1.48,1.48
19,Return on Equity (ROE),7.27%,9.63%,-,12.39%,8.06%,16.97%,-,-,-,-,-15.47%,13.37%,13.82%,23.60%,-,
20,Return on Assets (ROA),2.13%,3.09%,-,3.28%,3.87%,-,-,-,-,-,-,6.72%,6.75%,11.17%,-,
21,Return on Capital (ROIC),2.36%,3.41%,-,3.75%,4.54%,8.87%,-,-,-,-,9.66%,8.89%,8.84%,14.46%,-,
22,Return on Capital Employed (ROCE),7.12%,7.12%,7.14%,7.04%,7.86%,7.34%,14.66%,-,16.34%,-,-,-,21.11%,17.11%,14.22%,7.11%
23,Earnings Yield,1.45%,3.97%,4.14%,3.10%,2.79%,2.46%,-,-,-,-,-,-,-,-,-,-
24,FCF Yield,-5.34%,-14.62%,-11.12%,-5.45%,-2.45%,0.26%,-,-,-,-,-,-,-,-,-,-
25,Dividend Yield,0.39%,-,1.22%,-,0.98%,-,-,-,-,-,-,-,-,-,-,-
26,Payout Ratio,24.15%,19.19%,63.25%,11.95%,3.94%,127.56%,4.65%,3.77%,3.81%,5.48%,20.53%,-,7.65%,7.65%,19.32%,19.32%
27,Buyback Yield / Dilution,-26.33%,-9.12%,-30.92%,-35.76%,-33.35%,-22.22%,-0.47%,-,-0.34%,-0.35%,0.34%,-,-,-,-,-
28,Total Shareholder Return,-25.94%,-9.12%,-29.70%,-35.76%,-32.37%,-22.22%,-0.47%,-,-0.34%,-0.35%,0.34%,-,-,-,-,-
