,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,685,1165,3445,-,-,-,-
1,Enterprise Value,650,1146,3426,-,-,-,-
2,Last Close Price,1.37,2.33,6.89,-,-,-,-
3,PE Ratio,8.25,18.13,52.64,-,-,-,-
4,PS Ratio,0.87,1.83,5.29,-,-,-,-
5,PB Ratio,1.13,1.91,5.61,-,-,-,-
6,P/TBV Ratio,1.92,1.92,5.63,-,-,-,-
7,EV/Sales Ratio,0.99,1.81,5.27,-,-,-,-
8,EV/EBITDA Ratio,8.52,17.36,50.61,-,-,-,-
9,EV/EBIT Ratio,8.82,17.41,50.77,-,-,-,-
10,Debt / Equity Ratio,0.11,0.11,0.11,0.14,-,0.10,0.10
11,Debt / EBITDA Ratio,0.84,0.97,0.97,0.88,-,0.55,0.28
12,Debt / FCF Ratio,-,-,-,2.32,-,-,24.12
13,Asset Turnover,0.74,0.86,-,-,-,-,
14,Quick Ratio,1.86,1.86,1.86,1.60,-,-,1.61
15,Current Ratio,3.30,3.30,3.30,3.67,-,-,3.57
16,Return on Equity (ROE),10.08%,11.51%,-,-,16.43%,-,
17,Return on Assets (ROA),4.54%,5.28%,-,-,-,-,
18,Return on Capital (ROIC),5.89%,6.65%,-,-,9.90%,-,
19,Return on Capital Employed (ROCE),12.05%,10.77%,10.94%,18.45%,-,-,8.58%
20,Earnings Yield,10.05%,5.52%,1.90%,-,-,-,-
21,FCF Yield,-9.09%,-4.76%,-0.71%,-,-,-,-
22,Buyback Yield / Dilution,-10.50%,-20.99%,-20.99%,-,-,-,-
23,Total Shareholder Return,-10.50%,-20.99%,-20.99%,-,-,-,-
